Date,short_int
2014-04-25,47890
2014-04-28,47890
2014-04-29,47890
2014-04-30,30890
2014-05-01,30890
2014-05-02,30890
2014-05-05,30890
2014-05-06,30890
2014-05-07,30890
2014-05-08,30890
2014-05-09,30890
2014-05-12,30890
2014-05-13,30890
2014-05-14,30890
2014-05-15,48171
2014-05-16,48171
2014-05-19,48171
2014-05-20,48171
2014-05-21,48171
2014-05-22,48171
2014-05-23,48171
2014-05-26,48171
2014-05-27,48171
2014-05-28,48171
2014-05-29,48171
2014-05-30,20071
2014-06-02,20071
2014-06-03,20071
2014-06-04,20071
2014-06-05,20071
2014-06-06,20071
2014-06-09,20071
2014-06-10,20071
2014-06-11,20071
2014-06-12,20071
2014-06-13,17137
2014-06-16,17137
2014-06-17,17137
2014-06-18,17137
2014-06-19,17137
2014-06-20,17137
2014-06-23,17137
2014-06-24,17137
2014-06-25,17137
2014-06-26,17137
2014-06-27,17137
2014-06-30,45317
2014-07-01,45317
2014-07-02,45317
2014-07-03,45317
2014-07-04,45317
2014-07-07,45317
2014-07-08,45317
2014-07-09,45317
2014-07-10,45317
2014-07-11,45317
2014-07-14,45317
2014-07-15,50152
2014-07-16,50152
2014-07-17,50152
2014-07-18,50152
2014-07-21,50152
2014-07-22,50152
2014-07-23,50152
2014-07-24,50152
2014-07-25,50152
2014-07-28,50152
2014-07-29,50152
2014-07-30,50152
2014-07-31,42049
2014-08-01,42049
2014-08-04,42049
2014-08-05,42049
2014-08-06,42049
2014-08-07,42049
2014-08-08,42049
2014-08-11,42049
2014-08-12,42049
2014-08-13,42049
2014-08-14,42049
2014-08-15,27172
2014-08-18,27172
2014-08-19,27172
2014-08-20,27172
2014-08-21,27172
2014-08-22,27172
2014-08-25,27172
2014-08-26,27172
2014-08-27,27172
2014-08-28,27172
2014-08-29,21101
2014-09-01,21101
2014-09-02,21101
2014-09-03,21101
2014-09-04,21101
2014-09-05,21101
2014-09-08,21101
2014-09-09,21101
2014-09-10,21101
2014-09-11,21101
2014-09-12,21101
2014-09-15,114273
2014-09-16,114273
2014-09-17,114273
2014-09-18,114273
2014-09-19,114273
2014-09-22,114273
2014-09-23,114273
2014-09-24,114273
2014-09-25,114273
2014-09-26,114273
2014-09-29,114273
2014-09-30,58542
2014-10-01,58542
2014-10-02,58542
2014-10-03,58542
2014-10-06,58542
2014-10-07,58542
2014-10-08,58542
2014-10-09,58542
2014-10-10,58542
2014-10-13,58542
2014-10-14,58542
2014-10-15,15554
2014-10-16,15554
2014-10-17,15554
2014-10-20,15554
2014-10-21,15554
2014-10-22,15554
2014-10-23,15554
2014-10-24,15554
2014-10-27,15554
2014-10-28,15554
2014-10-29,15554
2014-10-30,15554
2014-10-31,10963
2014-11-03,10963
2014-11-04,10963
2014-11-05,10963
2014-11-06,10963
2014-11-07,10963
2014-11-10,10963
2014-11-11,10963
2014-11-12,10963
2014-11-13,10963
2014-11-14,22781
2014-11-17,22781
2014-11-18,22781
2014-11-19,22781
2014-11-20,22781
2014-11-21,22781
2014-11-24,22781
2014-11-25,22781
2014-11-26,22781
2014-11-27,22781
2014-11-28,20820
2014-12-01,20820
2014-12-02,20820
2014-12-03,20820
2014-12-04,20820
2014-12-05,20820
2014-12-08,20820
2014-12-09,20820
2014-12-10,20820
2014-12-11,20820
2014-12-12,20820
2014-12-15,17848
2014-12-16,17848
2014-12-17,17848
2014-12-18,17848
2014-12-19,17848
2014-12-22,17848
2014-12-23,17848
2014-12-24,17848
2014-12-25,17848
2014-12-26,17848
2014-12-29,17848
2014-12-30,17848
2014-12-31,5271
2015-01-01,5271
2015-01-02,5271
2015-01-05,5271
2015-01-06,5271
2015-01-07,5271
2015-01-08,5271
2015-01-09,5271
2015-01-12,5271
2015-01-13,5271
2015-01-14,5271
2015-01-15,12013
2015-01-16,12013
2015-01-19,12013
2015-01-20,12013
2015-01-21,12013
2015-01-22,12013
2015-01-23,12013
2015-01-26,12013
2015-01-27,12013
2015-01-28,12013
2015-01-29,12013
2015-01-30,14121
2015-02-02,14121
2015-02-03,14121
2015-02-04,14121
2015-02-05,14121
2015-02-06,14121
2015-02-09,14121
2015-02-10,14121
2015-02-11,14121
2015-02-12,14121
2015-02-13,8894
2015-02-16,8894
2015-02-17,8894
2015-02-18,8894
2015-02-19,8894
2015-02-20,8894
2015-02-23,8894
2015-02-24,8894
2015-02-25,8894
2015-02-26,8894
2015-02-27,12136
2015-03-02,12136
2015-03-03,12136
2015-03-04,12136
2015-03-05,12136
2015-03-06,12136
2015-03-09,12136
2015-03-10,12136
2015-03-11,12136
2015-03-12,12136
2015-03-13,20598
2015-03-16,20598
2015-03-17,20598
2015-03-18,20598
2015-03-19,20598
2015-03-20,20598
2015-03-23,20598
2015-03-24,20598
2015-03-25,20598
2015-03-26,20598
2015-03-27,20598
2015-03-30,20598
2015-03-31,39280
2015-04-01,39280
2015-04-02,39280
2015-04-03,39280
2015-04-06,39280
2015-04-07,39280
2015-04-08,39280
2015-04-09,39280
2015-04-10,39280
2015-04-13,39280
2015-04-14,39280
2015-04-15,37232
2015-04-16,37232
2015-04-17,37232
2015-04-20,37232
2015-04-21,37232
2015-04-22,37232
2015-04-23,37232
2015-04-24,37232
2015-04-27,37232
2015-04-28,37232
2015-04-29,37232
2015-04-30,24721
2015-05-01,24721
2015-05-04,24721
2015-05-05,24721
2015-05-06,24721
2015-05-07,24721
2015-05-08,24721
2015-05-11,24721
2015-05-12,24721
2015-05-13,24721
2015-05-14,24721
2015-05-15,44024
2015-05-18,44024
2015-05-19,44024
2015-05-20,44024
2015-05-21,44024
2015-05-22,44024
2015-05-25,44024
2015-05-26,44024
2015-05-27,44024
2015-05-28,44024
2015-05-29,13607
2015-06-01,13607
2015-06-02,13607
2015-06-03,13607
2015-06-04,13607
2015-06-05,13607
2015-06-08,13607
2015-06-09,13607
2015-06-10,13607
2015-06-11,13607
2015-06-12,13607
2015-06-15,15225
2015-06-16,15225
2015-06-17,15225
2015-06-18,15225
2015-06-19,15225
2015-06-22,15225
2015-06-23,15225
2015-06-24,15225
2015-06-25,15225
2015-06-26,15225
2015-06-29,15225
2015-06-30,17531
2015-07-01,17531
2015-07-02,17531
2015-07-03,17531
2015-07-06,17531
2015-07-07,17531
2015-07-08,17531
2015-07-09,17531
2015-07-10,17531
2015-07-13,17531
2015-07-14,17531
2015-07-15,15863
2015-07-16,15863
2015-07-17,15863
2015-07-20,15863
2015-07-21,15863
2015-07-22,15863
2015-07-23,15863
2015-07-24,15863
2015-07-27,15863
2015-07-28,15863
2015-07-29,15863
2015-07-30,15863
2015-07-31,28652
2015-08-03,28652
2015-08-04,28652
2015-08-05,28652
2015-08-06,28652
2015-08-07,28652
2015-08-10,28652
2015-08-11,28652
2015-08-12,28652
2015-08-13,28652
2015-08-14,7831
2015-08-17,7831
2015-08-18,7831
2015-08-19,7831
2015-08-20,7831
2015-08-21,7831
2015-08-24,7831
2015-08-25,7831
2015-08-26,7831
2015-08-27,7831
2015-08-28,7831
