Date,short_int
2011-08-12,716575
2011-08-15,535436
2011-08-16,535436
2011-08-17,535436
2011-08-18,535436
2011-08-19,535436
2011-08-22,535436
2011-08-23,535436
2011-08-24,535436
2011-08-25,535436
2011-08-26,535436
2011-08-29,535436
2011-08-30,535436
2011-08-31,462479
2011-09-01,462479
2011-09-02,462479
2011-09-05,462479
2011-09-06,462479
2011-09-07,462479
2011-09-08,462479
2011-09-09,462479
2011-09-12,462479
2011-09-13,462479
2011-09-14,462479
2011-09-15,245478
2011-09-16,245478
2011-09-19,245478
2011-09-20,245478
2011-09-21,245478
2011-09-22,245478
2011-09-23,245478
2011-09-26,245478
2011-09-27,245478
2011-09-28,245478
2011-09-29,245478
2011-09-30,298327
2011-10-03,298327
2011-10-04,298327
2011-10-05,298327
2011-10-06,298327
2011-10-07,298327
2011-10-10,298327
2011-10-11,298327
2011-10-12,298327
2011-10-13,298327
2011-10-14,458739
2011-10-17,458739
2011-10-18,458739
2011-10-19,458739
2011-10-20,458739
2011-10-21,458739
2011-10-24,458739
2011-10-25,458739
2011-10-26,458739
2011-10-27,458739
2011-10-28,458739
2011-10-31,235573
2011-11-01,235573
2011-11-02,235573
2011-11-03,235573
2011-11-04,235573
2011-11-07,235573
2011-11-08,235573
2011-11-09,235573
2011-11-10,235573
2011-11-11,235573
2011-11-14,235573
2011-11-15,304091
2011-11-16,304091
2011-11-17,304091
2011-11-18,304091
2011-11-21,304091
2011-11-22,304091
2011-11-23,304091
2011-11-24,304091
2011-11-25,304091
2011-11-28,304091
2011-11-29,304091
2011-11-30,300404
2011-12-01,300404
2011-12-02,300404
2011-12-05,300404
2011-12-06,300404
2011-12-07,300404
2011-12-08,300404
2011-12-09,300404
2011-12-12,300404
2011-12-13,300404
2011-12-14,300404
2011-12-15,166589
2011-12-16,166589
2011-12-19,166589
2011-12-20,166589
2011-12-21,166589
2011-12-22,166589
2011-12-23,166589
2011-12-26,166589
2011-12-27,166589
2011-12-28,166589
2011-12-29,166589
2011-12-30,134121
2012-01-02,134121
2012-01-03,134121
2012-01-04,134121
2012-01-05,134121
2012-01-06,134121
2012-01-09,134121
2012-01-10,134121
2012-01-11,134121
2012-01-12,134121
2012-01-13,254151
2012-01-16,254151
2012-01-17,254151
2012-01-18,254151
2012-01-19,254151
2012-01-20,254151
2012-01-23,254151
2012-01-24,254151
2012-01-25,254151
2012-01-26,254151
2012-01-27,254151
2012-01-30,254151
2012-01-31,175686
2012-02-01,175686
2012-02-02,175686
2012-02-03,175686
2012-02-06,175686
2012-02-07,175686
2012-02-08,175686
2012-02-09,175686
2012-02-10,175686
2012-02-13,175686
2012-02-14,175686
2012-02-15,264646
2012-02-16,264646
2012-02-17,264646
2012-02-20,264646
2012-02-21,264646
2012-02-22,264646
2012-02-23,264646
2012-02-24,264646
2012-02-27,264646
2012-02-28,264646
2012-02-29,250262
2012-03-01,250262
2012-03-02,250262
2012-03-05,250262
2012-03-06,250262
2012-03-07,250262
2012-03-08,250262
2012-03-09,250262
2012-03-12,250262
2012-03-13,250262
2012-03-14,250262
2012-03-15,137846
2012-03-16,137846
2012-03-19,137846
2012-03-20,137846
2012-03-21,137846
2012-03-22,137846
2012-03-23,137846
2012-03-26,137846
2012-03-27,137846
2012-03-28,137846
2012-03-29,137846
2012-03-30,151091
2012-04-02,151091
2012-04-03,151091
2012-04-04,151091
2012-04-05,151091
2012-04-06,151091
2012-04-09,151091
2012-04-10,151091
2012-04-11,151091
2012-04-12,151091
2012-04-13,153165
2012-04-16,153165
2012-04-17,153165
2012-04-18,153165
2012-04-19,153165
2012-04-20,153165
2012-04-23,153165
2012-04-24,153165
2012-04-25,153165
2012-04-26,153165
2012-04-27,153165
2012-04-30,188845
2012-05-01,188845
2012-05-02,188845
2012-05-03,188845
2012-05-04,188845
2012-05-07,188845
2012-05-08,188845
2012-05-09,188845
2012-05-10,188845
2012-05-11,188845
2012-05-14,188845
2012-05-15,175256
2012-05-16,175256
2012-05-17,175256
2012-05-18,175256
2012-05-21,175256
2012-05-22,175256
2012-05-23,175256
2012-05-24,175256
2012-05-25,175256
2012-05-28,175256
2012-05-29,175256
2012-05-30,175256
2012-05-31,227218
2012-06-01,227218
2012-06-04,227218
2012-06-05,227218
2012-06-06,227218
2012-06-07,227218
2012-06-08,227218
2012-06-11,227218
2012-06-12,227218
2012-06-13,227218
2012-06-14,227218
2012-06-15,182650
2012-06-18,182650
2012-06-19,182650
2012-06-20,182650
2012-06-21,182650
2012-06-22,182650
2012-06-25,182650
2012-06-26,182650
2012-06-27,182650
2012-06-28,182650
2012-06-29,155707
2012-07-02,155707
2012-07-03,155707
2012-07-04,155707
2012-07-05,155707
2012-07-06,155707
2012-07-09,155707
2012-07-10,155707
2012-07-11,155707
2012-07-12,155707
2012-07-13,156216
2012-07-16,156216
2012-07-17,156216
2012-07-18,156216
2012-07-19,156216
2012-07-20,156216
2012-07-23,156216
2012-07-24,156216
2012-07-25,156216
2012-07-26,156216
2012-07-27,156216
2012-07-30,156216
2012-07-31,206722
2012-08-01,206722
2012-08-02,206722
2012-08-03,206722
2012-08-06,206722
2012-08-07,206722
2012-08-08,206722
2012-08-09,206722
2012-08-10,206722
2012-08-13,206722
2012-08-14,206722
2012-08-15,274601
2012-08-16,274601
2012-08-17,274601
2012-08-20,274601
2012-08-21,274601
2012-08-22,274601
2012-08-23,274601
2012-08-24,274601
2012-08-27,274601
2012-08-28,274601
2012-08-29,274601
2012-08-30,274601
2012-08-31,111617
2012-09-03,111617
2012-09-04,111617
2012-09-05,111617
2012-09-06,111617
2012-09-07,111617
2012-09-10,111617
2012-09-11,111617
2012-09-12,111617
2012-09-13,111617
2012-09-14,98291
2012-09-17,98291
2012-09-18,98291
2012-09-19,98291
2012-09-20,98291
2012-09-21,98291
2012-09-24,98291
2012-09-25,98291
2012-09-26,98291
2012-09-27,98291
2012-09-28,144009
2012-10-01,144009
2012-10-02,144009
2012-10-03,144009
2012-10-04,144009
2012-10-05,144009
2012-10-08,144009
2012-10-09,144009
2012-10-10,144009
2012-10-11,144009
2012-10-12,144009
2012-10-15,146124
2012-10-16,146124
2012-10-17,146124
2012-10-18,146124
2012-10-19,146124
2012-10-22,146124
2012-10-23,146124
2012-10-24,146124
2012-10-25,146124
2012-10-26,146124
2012-10-29,146124
2012-10-30,146124
2012-10-31,208285
2012-11-01,208285
2012-11-02,208285
2012-11-05,208285
2012-11-06,208285
2012-11-07,208285
2012-11-08,208285
2012-11-09,208285
2012-11-12,208285
2012-11-13,208285
2012-11-14,208285
2012-11-15,179002
2012-11-16,179002
2012-11-19,179002
2012-11-20,179002
2012-11-21,179002
2012-11-22,179002
2012-11-23,179002
2012-11-26,179002
2012-11-27,179002
2012-11-28,179002
2012-11-29,179002
2012-11-30,351389
2012-12-03,351389
2012-12-04,351389
2012-12-05,351389
2012-12-06,351389
2012-12-07,351389
2012-12-10,351389
2012-12-11,351389
2012-12-12,351389
2012-12-13,351389
2012-12-14,233188
2012-12-17,233188
2012-12-18,233188
2012-12-19,233188
2012-12-20,233188
2012-12-21,233188
2012-12-24,233188
2012-12-25,233188
2012-12-26,233188
2012-12-27,233188
2012-12-28,233188
2012-12-31,357036
2013-01-01,357036
2013-01-02,357036
2013-01-03,357036
2013-01-04,357036
2013-01-07,357036
2013-01-08,357036
2013-01-09,357036
2013-01-10,357036
2013-01-11,357036
2013-01-14,357036
2013-01-15,215794
2013-01-16,215794
2013-01-17,215794
2013-01-18,215794
2013-01-21,215794
2013-01-22,215794
2013-01-23,215794
2013-01-24,215794
2013-01-25,215794
2013-01-28,215794
2013-01-29,215794
2013-01-30,215794
2013-01-31,231995
2013-02-01,231995
2013-02-04,231995
2013-02-05,231995
2013-02-06,231995
2013-02-07,231995
2013-02-08,231995
2013-02-11,231995
2013-02-12,231995
2013-02-13,231995
2013-02-14,231995
2013-02-15,430960
2013-02-18,430960
2013-02-19,430960
2013-02-20,430960
2013-02-21,430960
2013-02-22,430960
2013-02-25,430960
2013-02-26,430960
2013-02-27,430960
2013-02-28,222818
2013-03-01,222818
2013-03-04,222818
2013-03-05,222818
2013-03-06,222818
2013-03-07,222818
2013-03-08,222818
2013-03-11,222818
2013-03-12,222818
2013-03-13,222818
2013-03-14,222818
2013-03-15,307116
2013-03-18,307116
2013-03-19,307116
2013-03-20,307116
2013-03-21,307116
2013-03-22,307116
2013-03-25,307116
2013-03-26,307116
2013-03-27,307116
2013-03-28,261656
2013-03-29,261656
2013-04-01,261656
2013-04-02,261656
2013-04-03,261656
2013-04-04,261656
2013-04-05,261656
2013-04-08,261656
2013-04-09,261656
2013-04-10,261656
2013-04-11,261656
2013-04-12,261656
2013-04-15,257973
2013-04-16,257973
2013-04-17,257973
2013-04-18,257973
2013-04-19,257973
2013-04-22,257973
2013-04-23,257973
2013-04-24,257973
2013-04-25,257973
2013-04-26,257973
2013-04-29,257973
2013-04-30,454940
2013-05-01,454940
2013-05-02,454940
2013-05-03,454940
2013-05-06,454940
2013-05-07,454940
2013-05-08,454940
2013-05-09,454940
2013-05-10,454940
2013-05-13,454940
2013-05-14,454940
2013-05-15,392949
2013-05-16,392949
2013-05-17,392949
2013-05-20,392949
2013-05-21,392949
2013-05-22,392949
2013-05-23,392949
2013-05-24,392949
2013-05-27,392949
2013-05-28,392949
2013-05-29,392949
2013-05-30,392949
2013-05-31,551567
2013-06-03,551567
2013-06-04,551567
2013-06-05,551567
2013-06-06,551567
2013-06-07,551567
2013-06-10,551567
2013-06-11,551567
2013-06-12,551567
2013-06-13,551567
2013-06-14,620925
2013-06-17,620925
2013-06-18,620925
2013-06-19,620925
2013-06-20,620925
2013-06-21,620925
2013-06-24,620925
2013-06-25,620925
2013-06-26,620925
2013-06-27,620925
2013-06-28,569969
2013-07-01,569969
2013-07-02,569969
2013-07-03,569969
2013-07-04,569969
2013-07-05,569969
2013-07-08,569969
2013-07-09,569969
2013-07-10,569969
2013-07-11,569969
2013-07-12,569969
2013-07-15,430960
2013-07-16,430960
2013-07-17,430960
2013-07-18,430960
2013-07-19,430960
2013-07-22,430960
2013-07-23,430960
2013-07-24,430960
2013-07-25,430960
2013-07-26,430960
2013-07-29,430960
2013-07-30,430960
2013-07-31,287913
