Date,short_int
2011-08-12,177976
2011-08-15,60271
2011-08-16,60271
2011-08-17,60271
2011-08-18,60271
2011-08-19,60271
2011-08-22,60271
2011-08-23,60271
2011-08-24,60271
2011-08-25,60271
2011-08-26,60271
2011-08-29,60271
2011-08-30,60271
2011-08-31,133040
2011-09-01,133040
2011-09-02,133040
2011-09-05,133040
2011-09-06,133040
2011-09-07,133040
2011-09-08,133040
2011-09-09,133040
2011-09-12,133040
2011-09-13,133040
2011-09-14,133040
2011-09-15,158473
2011-09-16,158473
2011-09-19,158473
2011-09-20,158473
2011-09-21,158473
2011-09-22,158473
2011-09-23,158473
2011-09-26,158473
2011-09-27,158473
2011-09-28,158473
2011-09-29,158473
2011-09-30,217439
2011-10-03,217439
2011-10-04,217439
2011-10-05,217439
2011-10-06,217439
2011-10-07,217439
2011-10-10,217439
2011-10-11,217439
2011-10-12,217439
2011-10-13,217439
2011-10-14,181208
2011-10-17,181208
2011-10-18,181208
2011-10-19,181208
2011-10-20,181208
2011-10-21,181208
2011-10-24,181208
2011-10-25,181208
2011-10-26,181208
2011-10-27,181208
2011-10-28,181208
2011-10-31,264443
2011-11-01,264443
2011-11-02,264443
2011-11-03,264443
2011-11-04,264443
2011-11-07,264443
2011-11-08,264443
2011-11-09,264443
2011-11-10,264443
2011-11-11,264443
2011-11-14,264443
2011-11-15,183213
2011-11-16,183213
2011-11-17,183213
2011-11-18,183213
2011-11-21,183213
2011-11-22,183213
2011-11-23,183213
2011-11-24,183213
2011-11-25,183213
2011-11-28,183213
2011-11-29,183213
2011-11-30,193838
2011-12-01,193838
2011-12-02,193838
2011-12-05,193838
2011-12-06,193838
2011-12-07,193838
2011-12-08,193838
2011-12-09,193838
2011-12-12,193838
2011-12-13,193838
2011-12-14,193838
2011-12-15,262983
2011-12-16,262983
2011-12-19,262983
2011-12-20,262983
2011-12-21,262983
2011-12-22,262983
2011-12-23,262983
2011-12-26,262983
2011-12-27,262983
2011-12-28,262983
2011-12-29,262983
2011-12-30,174943
2012-01-02,174943
2012-01-03,174943
2012-01-04,174943
2012-01-05,174943
2012-01-06,174943
2012-01-09,174943
2012-01-10,174943
2012-01-11,174943
2012-01-12,174943
2012-01-13,161159
2012-01-16,161159
2012-01-17,161159
2012-01-18,161159
2012-01-19,161159
2012-01-20,161159
2012-01-23,161159
2012-01-24,161159
2012-01-25,161159
2012-01-26,161159
2012-01-27,161159
2012-01-30,161159
2012-01-31,178619
2012-02-01,178619
2012-02-02,178619
2012-02-03,178619
2012-02-06,178619
2012-02-07,178619
2012-02-08,178619
2012-02-09,178619
2012-02-10,178619
2012-02-13,178619
2012-02-14,178619
2012-02-15,223925
2012-02-16,223925
2012-02-17,223925
2012-02-20,223925
2012-02-21,223925
2012-02-22,223925
2012-02-23,223925
2012-02-24,223925
2012-02-27,223925
2012-02-28,223925
2012-02-29,212977
2012-03-01,212977
2012-03-02,212977
2012-03-05,212977
2012-03-06,212977
2012-03-07,212977
2012-03-08,212977
2012-03-09,212977
2012-03-12,212977
2012-03-13,212977
2012-03-14,212977
2012-03-15,139761
2012-03-16,139761
2012-03-19,139761
2012-03-20,139761
2012-03-21,139761
2012-03-22,139761
2012-03-23,139761
2012-03-26,139761
2012-03-27,139761
2012-03-28,139761
2012-03-29,139761
2012-03-30,153307
2012-04-02,153307
2012-04-03,153307
2012-04-04,153307
2012-04-05,153307
2012-04-06,153307
2012-04-09,153307
2012-04-10,153307
2012-04-11,153307
2012-04-12,153307
2012-04-13,130570
2012-04-16,130570
2012-04-17,130570
2012-04-18,130570
2012-04-19,130570
2012-04-20,130570
2012-04-23,130570
2012-04-24,130570
2012-04-25,130570
2012-04-26,130570
2012-04-27,130570
2012-04-30,154646
2012-05-01,154646
2012-05-02,154646
2012-05-03,154646
2012-05-04,154646
2012-05-07,154646
2012-05-08,154646
2012-05-09,154646
2012-05-10,154646
2012-05-11,154646
2012-05-14,154646
2012-05-15,173885
2012-05-16,173885
2012-05-17,173885
2012-05-18,173885
2012-05-21,173885
2012-05-22,173885
