Date,short_int
2011-08-12,5051531
2011-08-15,6102321
2011-08-16,6102321
2011-08-17,6102321
2011-08-18,6102321
2011-08-19,6102321
2011-08-22,6102321
2011-08-23,6102321
2011-08-24,6102321
2011-08-25,6102321
2011-08-26,6102321
2011-08-29,6102321
2011-08-30,6102321
2011-08-31,6854520
2011-09-01,6854520
2011-09-02,6854520
2011-09-05,6854520
2011-09-06,6854520
2011-09-07,6854520
2011-09-08,6854520
2011-09-09,6854520
2011-09-12,6854520
2011-09-13,6854520
2011-09-14,6854520
2011-09-15,6323694
2011-09-16,6323694
2011-09-19,6323694
2011-09-20,6323694
2011-09-21,6323694
2011-09-22,6323694
2011-09-23,6323694
2011-09-26,6323694
2011-09-27,6323694
2011-09-28,6323694
2011-09-29,6323694
2011-09-30,6417247
2011-10-03,6417247
2011-10-04,6417247
2011-10-05,6417247
2011-10-06,6417247
2011-10-07,6417247
2011-10-10,6417247
2011-10-11,6417247
2011-10-12,6417247
2011-10-13,6417247
2011-10-14,5440665
2011-10-17,5440665
2011-10-18,5440665
2011-10-19,5440665
2011-10-20,5440665
2011-10-21,5440665
2011-10-24,5440665
2011-10-25,5440665
2011-10-26,5440665
2011-10-27,5440665
2011-10-28,5440665
2011-10-31,6619329
2011-11-01,6619329
2011-11-02,6619329
2011-11-03,6619329
2011-11-04,6619329
2011-11-07,6619329
2011-11-08,6619329
2011-11-09,6619329
2011-11-10,6619329
2011-11-11,6619329
2011-11-14,6619329
2011-11-15,6097053
2011-11-16,6097053
2011-11-17,6097053
2011-11-18,6097053
2011-11-21,6097053
2011-11-22,6097053
2011-11-23,6097053
2011-11-24,6097053
2011-11-25,6097053
2011-11-28,6097053
2011-11-29,6097053
2011-11-30,6076934
2011-12-01,6076934
2011-12-02,6076934
2011-12-05,6076934
2011-12-06,6076934
2011-12-07,6076934
2011-12-08,6076934
2011-12-09,6076934
2011-12-12,6076934
2011-12-13,6076934
2011-12-14,6076934
2011-12-15,4099646
2011-12-16,4099646
2011-12-19,4099646
2011-12-20,4099646
2011-12-21,4099646
2011-12-22,4099646
2011-12-23,4099646
2011-12-26,4099646
2011-12-27,4099646
2011-12-28,4099646
2011-12-29,4099646
2011-12-30,3545196
2012-01-02,3545196
2012-01-03,3545196
2012-01-04,3545196
2012-01-05,3545196
2012-01-06,3545196
2012-01-09,3545196
2012-01-10,3545196
2012-01-11,3545196
2012-01-12,3545196
2012-01-13,4132161
2012-01-16,4132161
2012-01-17,4132161
2012-01-18,4132161
2012-01-19,4132161
2012-01-20,4132161
2012-01-23,4132161
2012-01-24,4132161
2012-01-25,4132161
2012-01-26,4132161
2012-01-27,4132161
2012-01-30,4132161
2012-01-31,3605843
2012-02-01,3605843
2012-02-02,3605843
2012-02-03,3605843
2012-02-06,3605843
2012-02-07,3605843
2012-02-08,3605843
2012-02-09,3605843
2012-02-10,3605843
2012-02-13,3605843
2012-02-14,3605843
2012-02-15,4292326
2012-02-16,4292326
2012-02-17,4292326
2012-02-20,4292326
2012-02-21,4292326
2012-02-22,4292326
2012-02-23,4292326
2012-02-24,4292326
2012-02-27,4292326
2012-02-28,4292326
2012-02-29,4115814
2012-03-01,4115814
2012-03-02,4115814
2012-03-05,4115814
2012-03-06,4115814
2012-03-07,4115814
2012-03-08,4115814
2012-03-09,4115814
2012-03-12,4115814
2012-03-13,4115814
2012-03-14,4115814
2012-03-15,4532679
2012-03-16,4532679
2012-03-19,4532679
2012-03-20,4532679
2012-03-21,4532679
2012-03-22,4532679
2012-03-23,4532679
2012-03-26,4532679
2012-03-27,4532679
2012-03-28,4532679
2012-03-29,4532679
2012-03-30,4437678
2012-04-02,4437678
2012-04-03,4437678
2012-04-04,4437678
2012-04-05,4437678
2012-04-06,4437678
2012-04-09,4437678
2012-04-10,4437678
2012-04-11,4437678
2012-04-12,4437678
2012-04-13,6319608
2012-04-16,6319608
2012-04-17,6319608
2012-04-18,6319608
2012-04-19,6319608
2012-04-20,6319608
2012-04-23,6319608
2012-04-24,6319608
2012-04-25,6319608
2012-04-26,6319608
2012-04-27,6319608
2012-04-30,5729349
2012-05-01,5729349
2012-05-02,5729349
2012-05-03,5729349
2012-05-04,5729349
2012-05-07,5729349
2012-05-08,5729349
2012-05-09,5729349
2012-05-10,5729349
2012-05-11,5729349
2012-05-14,5729349
2012-05-15,4690029
2012-05-16,4690029
2012-05-17,4690029
2012-05-18,4690029
2012-05-21,4690029
2012-05-22,4690029
2012-05-23,4690029
2012-05-24,4690029
2012-05-25,4690029
2012-05-28,4690029
2012-05-29,4690029
2012-05-30,4690029
2012-05-31,5574628
2012-06-01,5574628
2012-06-04,5574628
2012-06-05,5574628
2012-06-06,5574628
2012-06-07,5574628
2012-06-08,5574628
2012-06-11,5574628
2012-06-12,5574628
2012-06-13,5574628
2012-06-14,5574628
2012-06-15,3502506
2012-06-18,3502506
2012-06-19,3502506
2012-06-20,3502506
2012-06-21,3502506
2012-06-22,3502506
2012-06-25,3502506
2012-06-26,3502506
2012-06-27,3502506
2012-06-28,3502506
2012-06-29,3318696
2012-07-02,3318696
2012-07-03,3318696
2012-07-04,3318696
2012-07-05,3318696
2012-07-06,3318696
2012-07-09,3318696
2012-07-10,3318696
2012-07-11,3318696
2012-07-12,3318696
2012-07-13,3424784
2012-07-16,3424784
2012-07-17,3424784
2012-07-18,3424784
2012-07-19,3424784
2012-07-20,3424784
2012-07-23,3424784
2012-07-24,3424784
2012-07-25,3424784
2012-07-26,3424784
2012-07-27,3424784
2012-07-30,3424784
2012-07-31,5328019
2012-08-01,5328019
2012-08-02,5328019
2012-08-03,5328019
2012-08-06,5328019
2012-08-07,5328019
2012-08-08,5328019
2012-08-09,5328019
2012-08-10,5328019
2012-08-13,5328019
2012-08-14,5328019
2012-08-15,6302152
2012-08-16,6302152
2012-08-17,6302152
2012-08-20,6302152
2012-08-21,6302152
2012-08-22,6302152
2012-08-23,6302152
2012-08-24,6302152
2012-08-27,6302152
2012-08-28,6302152
2012-08-29,6302152
2012-08-30,6302152
2012-08-31,5287214
2012-09-03,5287214
2012-09-04,5287214
2012-09-05,5287214
2012-09-06,5287214
2012-09-07,5287214
2012-09-10,5287214
2012-09-11,5287214
2012-09-12,5287214
2012-09-13,5287214
2012-09-14,8479832
2012-09-17,8479832
2012-09-18,8479832
2012-09-19,8479832
2012-09-20,8479832
2012-09-21,8479832
2012-09-24,8479832
2012-09-25,8479832
2012-09-26,8479832
2012-09-27,8479832
2012-09-28,8242797
2012-10-01,8242797
2012-10-02,8242797
2012-10-03,8242797
2012-10-04,8242797
2012-10-05,8242797
2012-10-08,8242797
2012-10-09,8242797
2012-10-10,8242797
2012-10-11,8242797
2012-10-12,8242797
2012-10-15,9354041
2012-10-16,9354041
2012-10-17,9354041
2012-10-18,9354041
2012-10-19,9354041
2012-10-22,9354041
2012-10-23,9354041
2012-10-24,9354041
2012-10-25,9354041
2012-10-26,9354041
2012-10-29,9354041
2012-10-30,9354041
2012-10-31,8373261
2012-11-01,8373261
2012-11-02,8373261
2012-11-05,8373261
2012-11-06,8373261
2012-11-07,8373261
2012-11-08,8373261
2012-11-09,8373261
2012-11-12,8373261
2012-11-13,8373261
2012-11-14,8373261
2012-11-15,9098608
2012-11-16,9098608
2012-11-19,9098608
2012-11-20,9098608
2012-11-21,9098608
2012-11-22,9098608
2012-11-23,9098608
2012-11-26,9098608
2012-11-27,9098608
2012-11-28,9098608
2012-11-29,9098608
2012-11-30,9224736
2012-12-03,9224736
2012-12-04,9224736
2012-12-05,9224736
2012-12-06,9224736
2012-12-07,9224736
2012-12-10,9224736
2012-12-11,9224736
2012-12-12,9224736
2012-12-13,9224736
2012-12-14,10321124
2012-12-17,10321124
2012-12-18,10321124
2012-12-19,10321124
2012-12-20,10321124
2012-12-21,10321124
2012-12-24,10321124
2012-12-25,10321124
2012-12-26,10321124
2012-12-27,10321124
2012-12-28,10321124
2012-12-31,8457670
2013-01-01,8457670
2013-01-02,8457670
2013-01-03,8457670
2013-01-04,8457670
2013-01-07,8457670
2013-01-08,8457670
2013-01-09,8457670
2013-01-10,8457670
2013-01-11,8457670
2013-01-14,8457670
2013-01-15,6386290
2013-01-16,6386290
2013-01-17,6386290
2013-01-18,6386290
2013-01-21,6386290
2013-01-22,6386290
2013-01-23,6386290
2013-01-24,6386290
2013-01-25,6386290
2013-01-28,6386290
2013-01-29,6386290
2013-01-30,6386290
2013-01-31,4698979
2013-02-01,4698979
2013-02-04,4698979
2013-02-05,4698979
2013-02-06,4698979
2013-02-07,4698979
2013-02-08,4698979
2013-02-11,4698979
2013-02-12,4698979
2013-02-13,4698979
2013-02-14,4698979
2013-02-15,7087457
2013-02-18,7087457
2013-02-19,7087457
2013-02-20,7087457
2013-02-21,7087457
2013-02-22,7087457
2013-02-25,7087457
2013-02-26,7087457
2013-02-27,7087457
2013-02-28,5493117
2013-03-01,5493117
2013-03-04,5493117
2013-03-05,5493117
2013-03-06,5493117
2013-03-07,5493117
2013-03-08,5493117
2013-03-11,5493117
2013-03-12,5493117
2013-03-13,5493117
2013-03-14,5493117
2013-03-15,6395127
2013-03-18,6395127
2013-03-19,6395127
2013-03-20,6395127
2013-03-21,6395127
2013-03-22,6395127
2013-03-25,6395127
2013-03-26,6395127
2013-03-27,6395127
2013-03-28,6073685
2013-03-29,6073685
2013-04-01,6073685
2013-04-02,6073685
2013-04-03,6073685
2013-04-04,6073685
2013-04-05,6073685
2013-04-08,6073685
2013-04-09,6073685
2013-04-10,6073685
2013-04-11,6073685
2013-04-12,6073685
2013-04-15,5187621
2013-04-16,5187621
2013-04-17,5187621
2013-04-18,5187621
2013-04-19,5187621
2013-04-22,5187621
2013-04-23,5187621
2013-04-24,5187621
2013-04-25,5187621
2013-04-26,5187621
2013-04-29,5187621
2013-04-30,4869247
2013-05-01,4869247
2013-05-02,4869247
2013-05-03,4869247
2013-05-06,4869247
2013-05-07,4869247
2013-05-08,4869247
2013-05-09,4869247
2013-05-10,4869247
2013-05-13,4869247
2013-05-14,4869247
2013-05-15,5301760
2013-05-16,5301760
2013-05-17,5301760
2013-05-20,5301760
2013-05-21,5301760
2013-05-22,5301760
2013-05-23,5301760
2013-05-24,5301760
2013-05-27,5301760
2013-05-28,5301760
2013-05-29,5301760
2013-05-30,5301760
2013-05-31,5878538
2013-06-03,5878538
2013-06-04,5878538
2013-06-05,5878538
2013-06-06,5878538
2013-06-07,5878538
2013-06-10,5878538
2013-06-11,5878538
2013-06-12,5878538
2013-06-13,5878538
2013-06-14,5847765
2013-06-17,5847765
2013-06-18,5847765
2013-06-19,5847765
2013-06-20,5847765
2013-06-21,5847765
2013-06-24,5847765
2013-06-25,5847765
2013-06-26,5847765
2013-06-27,5847765
2013-06-28,4896883
2013-07-01,4896883
2013-07-02,4896883
2013-07-03,4896883
2013-07-04,4896883
2013-07-05,4896883
2013-07-08,4896883
2013-07-09,4896883
2013-07-10,4896883
2013-07-11,4896883
2013-07-12,4896883
2013-07-15,4328650
2013-07-16,4328650
2013-07-17,4328650
2013-07-18,4328650
2013-07-19,4328650
2013-07-22,4328650
2013-07-23,4328650
