Date,short_int
2011-08-12,3261349
2011-08-15,4463918
2011-08-16,4463918
2011-08-17,4463918
2011-08-18,4463918
2011-08-19,4463918
2011-08-22,4463918
2011-08-23,4463918
2011-08-24,4463918
2011-08-25,4463918
2011-08-26,4463918
2011-08-29,4463918
2011-08-30,4463918
2011-08-31,4224655
2011-09-01,4224655
2011-09-02,4224655
2011-09-05,4224655
2011-09-06,4224655
2011-09-07,4224655
2011-09-08,4224655
2011-09-09,4224655
2011-09-12,4224655
2011-09-13,4224655
2011-09-14,4224655
2011-09-15,3787576
2011-09-16,3787576
2011-09-19,3787576
2011-09-20,3787576
2011-09-21,3787576
2011-09-22,3787576
2011-09-23,3787576
2011-09-26,3787576
2011-09-27,3787576
2011-09-28,3787576
2011-09-29,3787576
2011-09-30,3635033
2011-10-03,3635033
2011-10-04,3635033
2011-10-05,3635033
2011-10-06,3635033
2011-10-07,3635033
2011-10-10,3635033
2011-10-11,3635033
2011-10-12,3635033
2011-10-13,3635033
2011-10-14,3850117
2011-10-17,3850117
2011-10-18,3850117
2011-10-19,3850117
2011-10-20,3850117
2011-10-21,3850117
2011-10-24,3850117
2011-10-25,3850117
2011-10-26,3850117
2011-10-27,3850117
2011-10-28,3850117
2011-10-31,3485328
2011-11-01,3485328
2011-11-02,3485328
2011-11-03,3485328
2011-11-04,3485328
2011-11-07,3485328
2011-11-08,3485328
2011-11-09,3485328
2011-11-10,3485328
2011-11-11,3485328
2011-11-14,3485328
2011-11-15,2961780
2011-11-16,2961780
2011-11-17,2961780
2011-11-18,2961780
2011-11-21,2961780
2011-11-22,2961780
2011-11-23,2961780
2011-11-24,2961780
2011-11-25,2961780
2011-11-28,2961780
2011-11-29,2961780
2011-11-30,3822757
2011-12-01,3822757
2011-12-02,3822757
2011-12-05,3822757
2011-12-06,3822757
2011-12-07,3822757
2011-12-08,3822757
2011-12-09,3822757
2011-12-12,3822757
2011-12-13,3822757
2011-12-14,3822757
2011-12-15,3361384
2011-12-16,3361384
2011-12-19,3361384
