Date,short_int
2011-08-12,5558633
2011-08-15,5111024
2011-08-16,5111024
2011-08-17,5111024
2011-08-18,5111024
2011-08-19,5111024
2011-08-22,5111024
2011-08-23,5111024
2011-08-24,5111024
2011-08-25,5111024
2011-08-26,5111024
2011-08-29,5111024
2011-08-30,5111024
2011-08-31,6975955
2011-09-01,6975955
2011-09-02,6975955
2011-09-05,6975955
2011-09-06,6975955
2011-09-07,6975955
2011-09-08,6975955
2011-09-09,6975955
2011-09-12,6975955
2011-09-13,6975955
2011-09-14,6975955
2011-09-15,7212161
2011-09-16,7212161
2011-09-19,7212161
2011-09-20,7212161
2011-09-21,7212161
2011-09-22,7212161
2011-09-23,7212161
2011-09-26,7212161
2011-09-27,7212161
2011-09-28,7212161
2011-09-29,7212161
2011-09-30,7199339
2011-10-03,7199339
2011-10-04,7199339
2011-10-05,7199339
2011-10-06,7199339
2011-10-07,7199339
2011-10-10,7199339
2011-10-11,7199339
2011-10-12,7199339
2011-10-13,7199339
2011-10-14,9813761
2011-10-17,9813761
2011-10-18,9813761
2011-10-19,9813761
2011-10-20,9813761
2011-10-21,9813761
2011-10-24,9813761
2011-10-25,9813761
2011-10-26,9813761
2011-10-27,9813761
2011-10-28,9813761
2011-10-31,7035263
2011-11-01,7035263
2011-11-02,7035263
2011-11-03,7035263
2011-11-04,7035263
2011-11-07,7035263
2011-11-08,7035263
2011-11-09,7035263
2011-11-10,7035263
2011-11-11,7035263
2011-11-14,7035263
2011-11-15,7096252
2011-11-16,7096252
2011-11-17,7096252
2011-11-18,7096252
2011-11-21,7096252
2011-11-22,7096252
2011-11-23,7096252
2011-11-24,7096252
2011-11-25,7096252
2011-11-28,7096252
2011-11-29,7096252
2011-11-30,6705467
2011-12-01,6705467
2011-12-02,6705467
2011-12-05,6705467
2011-12-06,6705467
2011-12-07,6705467
2011-12-08,6705467
2011-12-09,6705467
2011-12-12,6705467
2011-12-13,6705467
2011-12-14,6705467
2011-12-15,6970994
2011-12-16,6970994
2011-12-19,6970994
2011-12-20,6970994
2011-12-21,6970994
2011-12-22,6970994
2011-12-23,6970994
2011-12-26,6970994
2011-12-27,6970994
2011-12-28,6970994
2011-12-29,6970994
2011-12-30,6483487
2012-01-02,6483487
2012-01-03,6483487
2012-01-04,6483487
2012-01-05,6483487
2012-01-06,6483487
2012-01-09,6483487
2012-01-10,6483487
2012-01-11,6483487
2012-01-12,6483487
2012-01-13,8994940
2012-01-16,8994940
2012-01-17,8994940
2012-01-18,8994940
2012-01-19,8994940
2012-01-20,8994940
2012-01-23,8994940
2012-01-24,8994940
2012-01-25,8994940
2012-01-26,8994940
