Date,short_int
2011-08-12,2456850
2011-08-15,3100991
2011-08-16,3100991
2011-08-17,3100991
2011-08-18,3100991
2011-08-19,3100991
2011-08-22,3100991
2011-08-23,3100991
2011-08-24,3100991
2011-08-25,3100991
2011-08-26,3100991
2011-08-29,3100991
2011-08-30,3100991
2011-08-31,1762552
2011-09-01,1762552
2011-09-02,1762552
2011-09-05,1762552
2011-09-06,1762552
2011-09-07,1762552
2011-09-08,1762552
2011-09-09,1762552
2011-09-12,1762552
2011-09-13,1762552
2011-09-14,1762552
2011-09-15,2077392
2011-09-16,2077392
2011-09-19,2077392
2011-09-20,2077392
2011-09-21,2077392
2011-09-22,2077392
2011-09-23,2077392
2011-09-26,2077392
2011-09-27,2077392
2011-09-28,2077392
2011-09-29,2077392
2011-09-30,1693423
2011-10-03,1693423
2011-10-04,1693423
2011-10-05,1693423
2011-10-06,1693423
2011-10-07,1693423
2011-10-10,1693423
2011-10-11,1693423
2011-10-12,1693423
2011-10-13,1693423
2011-10-14,1826716
2011-10-17,1826716
2011-10-18,1826716
2011-10-19,1826716
2011-10-20,1826716
2011-10-21,1826716
2011-10-24,1826716
2011-10-25,1826716
2011-10-26,1826716
2011-10-27,1826716
2011-10-28,1826716
2011-10-31,1501016
2011-11-01,1501016
2011-11-02,1501016
2011-11-03,1501016
2011-11-04,1501016
2011-11-07,1501016
2011-11-08,1501016
2011-11-09,1501016
2011-11-10,1501016
2011-11-11,1501016
2011-11-14,1501016
2011-11-15,1443955
2011-11-16,1443955
2011-11-17,1443955
2011-11-18,1443955
2011-11-21,1443955
2011-11-22,1443955
2011-11-23,1443955
2011-11-24,1443955
2011-11-25,1443955
2011-11-28,1443955
2011-11-29,1443955
2011-11-30,1420821
2011-12-01,1420821
2011-12-02,1420821
2011-12-05,1420821
2011-12-06,1420821
2011-12-07,1420821
2011-12-08,1420821
2011-12-09,1420821
2011-12-12,1420821
2011-12-13,1420821
2011-12-14,1420821
2011-12-15,1348496
2011-12-16,1348496
2011-12-19,1348496
2011-12-20,1348496
2011-12-21,1348496
2011-12-22,1348496
2011-12-23,1348496
2011-12-26,1348496
2011-12-27,1348496
2011-12-28,1348496
2011-12-29,1348496
2011-12-30,1323736
2012-01-02,1323736
2012-01-03,1323736
2012-01-04,1323736
2012-01-05,1323736
2012-01-06,1323736
2012-01-09,1323736
2012-01-10,1323736
2012-01-11,1323736
2012-01-12,1323736
2012-01-13,1166082
2012-01-16,1166082
2012-01-17,1166082
2012-01-18,1166082
2012-01-19,1166082
2012-01-20,1166082
2012-01-23,1166082
2012-01-24,1166082
2012-01-25,1166082
2012-01-26,1166082
2012-01-27,1166082
2012-01-30,1166082
2012-01-31,1486568
2012-02-01,1486568
2012-02-02,1486568
2012-02-03,1486568
2012-02-06,1486568
2012-02-07,1486568
2012-02-08,1486568
2012-02-09,1486568
2012-02-10,1486568
2012-02-13,1486568
2012-02-14,1486568
2012-02-15,1136269
2012-02-16,1136269
2012-02-17,1136269
2012-02-20,1136269
2012-02-21,1136269
2012-02-22,1136269
2012-02-23,1136269
2012-02-24,1136269
2012-02-27,1136269
2012-02-28,1136269
2012-02-29,1120568
2012-03-01,1120568
2012-03-02,1120568
2012-03-05,1120568
2012-03-06,1120568
2012-03-07,1120568
2012-03-08,1120568
2012-03-09,1120568
2012-03-12,1120568
2012-03-13,1120568
2012-03-14,1120568
2012-03-15,1222299
2012-03-16,1222299
2012-03-19,1222299
2012-03-20,1222299
2012-03-21,1222299
2012-03-22,1222299
2012-03-23,1222299
2012-03-26,1222299
2012-03-27,1222299
2012-03-28,1222299
2012-03-29,1222299
2012-03-30,1221889
2012-04-02,1221889
2012-04-03,1221889
2012-04-04,1221889
2012-04-05,1221889
2012-04-06,1221889
2012-04-09,1221889
2012-04-10,1221889
2012-04-11,1221889
2012-04-12,1221889
2012-04-13,2019182
2012-04-16,2019182
2012-04-17,2019182
2012-04-18,2019182
2012-04-19,2019182
2012-04-20,2019182
2012-04-23,2019182
2012-04-24,2019182
2012-04-25,2019182
2012-04-26,2019182
2012-04-27,2019182
2012-04-30,1991902
2012-05-01,1991902
2012-05-02,1991902
2012-05-03,1991902
2012-05-04,1991902
2012-05-07,1991902
2012-05-08,1991902
2012-05-09,1991902
2012-05-10,1991902
2012-05-11,1991902
2012-05-14,1991902
2012-05-15,1694435
2012-05-16,1694435
2012-05-17,1694435
2012-05-18,1694435
2012-05-21,1694435
2012-05-22,1694435
2012-05-23,1694435
2012-05-24,1694435
2012-05-25,1694435
2012-05-28,1694435
2012-05-29,1694435
2012-05-30,1694435
2012-05-31,1629027
2012-06-01,1629027
2012-06-04,1629027
2012-06-05,1629027
2012-06-06,1629027
2012-06-07,1629027
2012-06-08,1629027
2012-06-11,1629027
2012-06-12,1629027
2012-06-13,1629027
2012-06-14,1629027
2012-06-15,1870270
2012-06-18,1870270
2012-06-19,1870270
2012-06-20,1870270
2012-06-21,1870270
2012-06-22,1870270
2012-06-25,1870270
2012-06-26,1870270
2012-06-27,1870270
2012-06-28,1870270
2012-06-29,1862900
2012-07-02,1862900
2012-07-03,1862900
2012-07-04,1862900
2012-07-05,1862900
2012-07-06,1862900
2012-07-09,1862900
2012-07-10,1862900
2012-07-11,1862900
2012-07-12,1862900
2012-07-13,1580467
2012-07-16,1580467
2012-07-17,1580467
2012-07-18,1580467
2012-07-19,1580467
2012-07-20,1580467
2012-07-23,1580467
2012-07-24,1580467
2012-07-25,1580467
2012-07-26,1580467
2012-07-27,1580467
2012-07-30,1580467
2012-07-31,1779427
2012-08-01,1779427
2012-08-02,1779427
2012-08-03,1779427
2012-08-06,1779427
2012-08-07,1779427
2012-08-08,1779427
2012-08-09,1779427
2012-08-10,1779427
2012-08-13,1779427
2012-08-14,1779427
2012-08-15,1542778
2012-08-16,1542778
2012-08-17,1542778
2012-08-20,1542778
2012-08-21,1542778
2012-08-22,1542778
2012-08-23,1542778
2012-08-24,1542778
2012-08-27,1542778
2012-08-28,1542778
2012-08-29,1542778
2012-08-30,1542778
2012-08-31,683510
2012-09-03,683510
2012-09-04,683510
2012-09-05,683510
2012-09-06,683510
2012-09-07,683510
2012-09-10,683510
2012-09-11,683510
2012-09-12,683510
2012-09-13,683510
2012-09-14,924871
2012-09-17,924871
2012-09-18,924871
2012-09-19,924871
2012-09-20,924871
2012-09-21,924871
2012-09-24,924871
2012-09-25,924871
2012-09-26,924871
2012-09-27,924871
2012-09-28,538250
2012-10-01,538250
2012-10-02,538250
2012-10-03,538250
2012-10-04,538250
2012-10-05,538250
2012-10-08,538250
2012-10-09,538250
2012-10-10,538250
2012-10-11,538250
2012-10-12,538250
2012-10-15,679961
2012-10-16,679961
2012-10-17,679961
2012-10-18,679961
2012-10-19,679961
2012-10-22,679961
2012-10-23,679961
2012-10-24,679961
2012-10-25,679961
2012-10-26,679961
2012-10-29,679961
2012-10-30,679961
2012-10-31,708083
2012-11-01,708083
2012-11-02,708083
2012-11-05,708083
2012-11-06,708083
2012-11-07,708083
2012-11-08,708083
2012-11-09,708083
2012-11-12,708083
2012-11-13,708083
2012-11-14,708083
2012-11-15,1043903
2012-11-16,1043903
2012-11-19,1043903
2012-11-20,1043903
2012-11-21,1043903
2012-11-22,1043903
2012-11-23,1043903
2012-11-26,1043903
2012-11-27,1043903
2012-11-28,1043903
2012-11-29,1043903
2012-11-30,580956
2012-12-03,580956
2012-12-04,580956
2012-12-05,580956
2012-12-06,580956
2012-12-07,580956
2012-12-10,580956
2012-12-11,580956
2012-12-12,580956
2012-12-13,580956
2012-12-14,1366586
2012-12-17,1366586
2012-12-18,1366586
2012-12-19,1366586
2012-12-20,1366586
2012-12-21,1366586
2012-12-24,1366586
2012-12-25,1366586
2012-12-26,1366586
2012-12-27,1366586
2012-12-28,1366586
2012-12-31,1925451
2013-01-01,1925451
2013-01-02,1925451
2013-01-03,1925451
2013-01-04,1925451
2013-01-07,1925451
2013-01-08,1925451
2013-01-09,1925451
2013-01-10,1925451
2013-01-11,1925451
2013-01-14,1925451
2013-01-15,1373056
2013-01-16,1373056
2013-01-17,1373056
2013-01-18,1373056
2013-01-21,1373056
2013-01-22,1373056
2013-01-23,1373056
2013-01-24,1373056
2013-01-25,1373056
2013-01-28,1373056
2013-01-29,1373056
2013-01-30,1373056
2013-01-31,1882513
2013-02-01,1882513
2013-02-04,1882513
2013-02-05,1882513
2013-02-06,1882513
2013-02-07,1882513
2013-02-08,1882513
2013-02-11,1882513
2013-02-12,1882513
2013-02-13,1882513
2013-02-14,1882513
2013-02-15,1720510
2013-02-18,1720510
2013-02-19,1720510
2013-02-20,1720510
2013-02-21,1720510
2013-02-22,1720510
2013-02-25,1720510
2013-02-26,1720510
2013-02-27,1720510
2013-02-28,2434168
2013-03-01,2434168
2013-03-04,2434168
2013-03-05,2434168
2013-03-06,2434168
2013-03-07,2434168
2013-03-08,2434168
2013-03-11,2434168
2013-03-12,2434168
2013-03-13,2434168
2013-03-14,2434168
2013-03-15,1987023
2013-03-18,1987023
2013-03-19,1987023
2013-03-20,1987023
2013-03-21,1987023
2013-03-22,1987023
2013-03-25,1987023
2013-03-26,1987023
2013-03-27,1987023
2013-03-28,2038742
2013-03-29,2038742
2013-04-01,2038742
2013-04-02,2038742
2013-04-03,2038742
2013-04-04,2038742
2013-04-05,2038742
2013-04-08,2038742
2013-04-09,2038742
2013-04-10,2038742
2013-04-11,2038742
2013-04-12,2038742
2013-04-15,1931469
2013-04-16,1931469
2013-04-17,1931469
2013-04-18,1931469
2013-04-19,1931469
2013-04-22,1931469
2013-04-23,1931469
2013-04-24,1931469
2013-04-25,1931469
2013-04-26,1931469
2013-04-29,1931469
2013-04-30,1458842
2013-05-01,1458842
2013-05-02,1458842
2013-05-03,1458842
2013-05-06,1458842
2013-05-07,1458842
2013-05-08,1458842
2013-05-09,1458842
2013-05-10,1458842
2013-05-13,1458842
2013-05-14,1458842
2013-05-15,1770361
2013-05-16,1770361
2013-05-17,1770361
2013-05-20,1770361
2013-05-21,1770361
2013-05-22,1770361
2013-05-23,1770361
2013-05-24,1770361
2013-05-27,1770361
2013-05-28,1770361
2013-05-29,1770361
2013-05-30,1770361
2013-05-31,563989
2013-06-03,563989
2013-06-04,563989
2013-06-05,563989
2013-06-06,563989
2013-06-07,563989
2013-06-10,563989
2013-06-11,563989
2013-06-12,563989
2013-06-13,563989
2013-06-14,1205613
2013-06-17,1205613
2013-06-18,1205613
2013-06-19,1205613
2013-06-20,1205613
2013-06-21,1205613
2013-06-24,1205613
2013-06-25,1205613
2013-06-26,1205613
2013-06-27,1205613
2013-06-28,1118149
2013-07-01,1118149
2013-07-02,1118149
2013-07-03,1118149
2013-07-04,1118149
2013-07-05,1118149
2013-07-08,1118149
2013-07-09,1118149
2013-07-10,1118149
2013-07-11,1118149
2013-07-12,1118149
2013-07-15,1468047
2013-07-16,1468047
2013-07-17,1468047
2013-07-18,1468047
2013-07-19,1468047
2013-07-22,1468047
2013-07-23,1468047
2013-07-24,1468047
2013-07-25,1468047
2013-07-26,1468047
2013-07-29,1468047
2013-07-30,1468047
2013-07-31,1232357
2013-08-01,1232357
2013-08-02,1232357
2013-08-05,1232357
2013-08-06,1232357
2013-08-07,1232357
2013-08-08,1232357
2013-08-09,1232357
2013-08-12,1232357
2013-08-13,1232357
2013-08-14,1232357
2013-08-15,833021
2013-08-16,833021
2013-08-19,833021
2013-08-20,833021
2013-08-21,833021
2013-08-22,833021
2013-08-23,833021
2013-08-26,833021
2013-08-27,833021
2013-08-28,833021
2013-08-29,833021
2013-08-30,759234
2013-09-02,759234
2013-09-03,759234
2013-09-04,759234
2013-09-05,759234
2013-09-06,759234
2013-09-09,759234
2013-09-10,759234
2013-09-11,759234
2013-09-12,759234
2013-09-13,735261
2013-09-16,735261
2013-09-17,735261
2013-09-18,735261
2013-09-19,735261
2013-09-20,735261
2013-09-23,735261
2013-09-24,735261
2013-09-25,735261
2013-09-26,735261
2013-09-27,735261
2013-09-30,514920
2013-10-01,514920
2013-10-02,514920
2013-10-03,514920
2013-10-04,514920
2013-10-07,514920
2013-10-08,514920
2013-10-09,514920
2013-10-10,514920
2013-10-11,514920
2013-10-14,514920
2013-10-15,789466
2013-10-16,789466
2013-10-17,789466
2013-10-18,789466
2013-10-21,789466
2013-10-22,789466
2013-10-23,789466
2013-10-24,789466
2013-10-25,789466
2013-10-28,789466
2013-10-29,789466
2013-10-30,789466
2013-10-31,570933
2013-11-01,570933
2013-11-04,570933
2013-11-05,570933
2013-11-06,570933
2013-11-07,570933
2013-11-08,570933
2013-11-11,570933
2013-11-12,570933
2013-11-13,570933
2013-11-14,570933
2013-11-15,539328
2013-11-18,539328
2013-11-19,539328
2013-11-20,539328
2013-11-21,539328
2013-11-22,539328
2013-11-25,539328
2013-11-26,539328
2013-11-27,539328
2013-11-28,539328
2013-11-29,713833
2013-12-02,713833
2013-12-03,713833
2013-12-04,713833
2013-12-05,713833
2013-12-06,713833
2013-12-09,713833
2013-12-10,713833
2013-12-11,713833
2013-12-12,713833
2013-12-13,625928
2013-12-16,625928
2013-12-17,625928
2013-12-18,625928
2013-12-19,625928
2013-12-20,625928
2013-12-23,625928
2013-12-24,625928
2013-12-25,625928
2013-12-26,625928
2013-12-27,625928
2013-12-30,625928
2013-12-31,988630
2014-01-01,988630
2014-01-02,988630
2014-01-03,988630
2014-01-06,988630
2014-01-07,988630
