Date,short_int
2011-08-12,12702958
2011-08-15,7981757
2011-08-16,7981757
2011-08-17,7981757
2011-08-18,7981757
2011-08-19,7981757
2011-08-22,7981757
2011-08-23,7981757
2011-08-24,7981757
2011-08-25,7981757
2011-08-26,7981757
2011-08-29,7981757
2011-08-30,7981757
2011-08-31,5941186
2011-09-01,5941186
2011-09-02,5941186
2011-09-05,5941186
2011-09-06,5941186
2011-09-07,5941186
2011-09-08,5941186
2011-09-09,5941186
2011-09-12,5941186
2011-09-13,5941186
2011-09-14,5941186
2011-09-15,4942758
2011-09-16,4942758
2011-09-19,4942758
2011-09-20,4942758
2011-09-21,4942758
2011-09-22,4942758
2011-09-23,4942758
2011-09-26,4942758
2011-09-27,4942758
2011-09-28,4942758
2011-09-29,4942758
2011-09-30,4392202
2011-10-03,4392202
2011-10-04,4392202
2011-10-05,4392202
2011-10-06,4392202
2011-10-07,4392202
2011-10-10,4392202
2011-10-11,4392202
2011-10-12,4392202
2011-10-13,4392202
2011-10-14,3863446
2011-10-17,3863446
2011-10-18,3863446
2011-10-19,3863446
2011-10-20,3863446
2011-10-21,3863446
2011-10-24,3863446
2011-10-25,3863446
2011-10-26,3863446
2011-10-27,3863446
2011-10-28,3863446
2011-10-31,3841735
2011-11-01,3841735
2011-11-02,3841735
2011-11-03,3841735
2011-11-04,3841735
2011-11-07,3841735
2011-11-08,3841735
2011-11-09,3841735
2011-11-10,3841735
2011-11-11,3841735
2011-11-14,3841735
2011-11-15,4147193
2011-11-16,4147193
2011-11-17,4147193
2011-11-18,4147193
2011-11-21,4147193
2011-11-22,4147193
2011-11-23,4147193
2011-11-24,4147193
2011-11-25,4147193
2011-11-28,4147193
2011-11-29,4147193
2011-11-30,5135067
2011-12-01,5135067
2011-12-02,5135067
2011-12-05,5135067
2011-12-06,5135067
2011-12-07,5135067
2011-12-08,5135067
2011-12-09,5135067
2011-12-12,5135067
2011-12-13,5135067
2011-12-14,5135067
2011-12-15,4000677
2011-12-16,4000677
2011-12-19,4000677
2011-12-20,4000677
2011-12-21,4000677
2011-12-22,4000677
2011-12-23,4000677
2011-12-26,4000677
2011-12-27,4000677
2011-12-28,4000677
2011-12-29,4000677
2011-12-30,4356869
2012-01-02,4356869
2012-01-03,4356869
2012-01-04,4356869
2012-01-05,4356869
2012-01-06,4356869
2012-01-09,4356869
2012-01-10,4356869
2012-01-11,4356869
2012-01-12,4356869
2012-01-13,4549692
2012-01-16,4549692
2012-01-17,4549692
2012-01-18,4549692
2012-01-19,4549692
2012-01-20,4549692
2012-01-23,4549692
2012-01-24,4549692
2012-01-25,4549692
2012-01-26,4549692
2012-01-27,4549692
2012-01-30,4549692
2012-01-31,2408035
2012-02-01,2408035
2012-02-02,2408035
2012-02-03,2408035
2012-02-06,2408035
2012-02-07,2408035
2012-02-08,2408035
2012-02-09,2408035
2012-02-10,2408035
2012-02-13,2408035
2012-02-14,2408035
2012-02-15,2929633
2012-02-16,2929633
2012-02-17,2929633
2012-02-20,2929633
2012-02-21,2929633
2012-02-22,2929633
2012-02-23,2929633
2012-02-24,2929633
2012-02-27,2929633
2012-02-28,2929633
2012-02-29,6548437
2012-03-01,6548437
2012-03-02,6548437
2012-03-05,6548437
2012-03-06,6548437
2012-03-07,6548437
2012-03-08,6548437
2012-03-09,6548437
2012-03-12,6548437
2012-03-13,6548437
2012-03-14,6548437
2012-03-15,5528945
2012-03-16,5528945
2012-03-19,5528945
2012-03-20,5528945
2012-03-21,5528945
2012-03-22,5528945
2012-03-23,5528945
2012-03-26,5528945
2012-03-27,5528945
2012-03-28,5528945
2012-03-29,5528945
2012-03-30,4909941
2012-04-02,4909941
2012-04-03,4909941
2012-04-04,4909941
2012-04-05,4909941
2012-04-06,4909941
2012-04-09,4909941
2012-04-10,4909941
2012-04-11,4909941
2012-04-12,4909941
2012-04-13,2769719
2012-04-16,2769719
2012-04-17,2769719
2012-04-18,2769719
2012-04-19,2769719
2012-04-20,2769719
2012-04-23,2769719
2012-04-24,2769719
2012-04-25,2769719
2012-04-26,2769719
2012-04-27,2769719
2012-04-30,3887570
2012-05-01,3887570
2012-05-02,3887570
2012-05-03,3887570
2012-05-04,3887570
2012-05-07,3887570
2012-05-08,3887570
2012-05-09,3887570
2012-05-10,3887570
2012-05-11,3887570
2012-05-14,3887570
2012-05-15,3114609
2012-05-16,3114609
2012-05-17,3114609
2012-05-18,3114609
2012-05-21,3114609
2012-05-22,3114609
2012-05-23,3114609
2012-05-24,3114609
2012-05-25,3114609
2012-05-28,3114609
2012-05-29,3114609
2012-05-30,3114609
2012-05-31,2053243
2012-06-01,2053243
2012-06-04,2053243
