Date,short_int
2011-09-26,267000
2011-09-27,267000
2011-09-28,267000
2011-09-29,267000
2011-09-30,157760
2011-10-03,157760
2011-10-04,157760
2011-10-05,157760
2011-10-06,157760
2011-10-07,157760
2011-10-10,157760
2011-10-11,157760
2011-10-12,157760
2011-10-13,157760
2011-10-14,809823
2011-10-17,809823
2011-10-18,809823
2011-10-19,809823
2011-10-20,809823
2011-10-21,809823
2011-10-24,809823
2011-10-25,809823
2011-10-26,809823
2011-10-27,809823
2011-10-28,809823
2011-10-31,419967
2011-11-01,419967
2011-11-02,419967
2011-11-03,419967
2011-11-04,419967
2011-11-07,419967
2011-11-08,419967
2011-11-09,419967
2011-11-10,419967
2011-11-11,419967
2011-11-14,419967
2011-11-15,288096
2011-11-16,288096
2011-11-17,288096
2011-11-18,288096
2011-11-21,288096
2011-11-22,288096
2011-11-23,288096
2011-11-24,288096
2011-11-25,288096
2011-11-28,288096
2011-11-29,288096
2011-11-30,213634
2011-12-01,213634
2011-12-02,213634
2011-12-05,213634
2011-12-06,213634
2011-12-07,213634
2011-12-08,213634
2011-12-09,213634
2011-12-12,213634
2011-12-13,213634
2011-12-14,213634
2011-12-15,267123
2011-12-16,267123
2011-12-19,267123
2011-12-20,267123
2011-12-21,267123
2011-12-22,267123
2011-12-23,267123
2011-12-26,267123
2011-12-27,267123
2011-12-28,267123
2011-12-29,267123
2011-12-30,251449
2012-01-02,251449
2012-01-03,251449
2012-01-04,251449
2012-01-05,251449
2012-01-06,251449
2012-01-09,251449
2012-01-10,251449
2012-01-11,251449
2012-01-12,251449
2012-01-13,257499
2012-01-16,257499
2012-01-17,257499
2012-01-18,257499
2012-01-19,257499
2012-01-20,257499
2012-01-23,257499
2012-01-24,257499
2012-01-25,257499
2012-01-26,257499
2012-01-27,257499
2012-01-30,257499
2012-01-31,377161
2012-02-01,377161
2012-02-02,377161
2012-02-03,377161
2012-02-06,377161
2012-02-07,377161
2012-02-08,377161
2012-02-09,377161
2012-02-10,377161
2012-02-13,377161
2012-02-14,377161
2012-02-15,678631
2012-02-16,678631
2012-02-17,678631
2012-02-20,678631
2012-02-21,678631
2012-02-22,678631
2012-02-23,678631
2012-02-24,678631
2012-02-27,678631
2012-02-28,678631
2012-02-29,527522
2012-03-01,527522
2012-03-02,527522
2012-03-05,527522
2012-03-06,527522
2012-03-07,527522
2012-03-08,527522
2012-03-09,527522
2012-03-12,527522
2012-03-13,527522
2012-03-14,527522
2012-03-15,457225
2012-03-16,457225
2012-03-19,457225
2012-03-20,457225
2012-03-21,457225
2012-03-22,457225
2012-03-23,457225
2012-03-26,457225
2012-03-27,457225
2012-03-28,457225
2012-03-29,457225
2012-03-30,541565
2012-04-02,541565
2012-04-03,541565
2012-04-04,541565
2012-04-05,541565
2012-04-06,541565
2012-04-09,541565
2012-04-10,541565
2012-04-11,541565
