Date,short_int
2011-08-12,2397782
2011-08-15,2018262
2011-08-16,2018262
2011-08-17,2018262
2011-08-18,2018262
2011-08-19,2018262
2011-08-22,2018262
2011-08-23,2018262
2011-08-24,2018262
2011-08-25,2018262
2011-08-26,2018262
2011-08-29,2018262
2011-08-30,2018262
2011-08-31,1865732
2011-09-01,1865732
2011-09-02,1865732
2011-09-05,1865732
2011-09-06,1865732
2011-09-07,1865732
2011-09-08,1865732
2011-09-09,1865732
2011-09-12,1865732
2011-09-13,1865732
2011-09-14,1865732
2011-09-15,1741949
2011-09-16,1741949
2011-09-19,1741949
2011-09-20,1741949
2011-09-21,1741949
2011-09-22,1741949
2011-09-23,1741949
2011-09-26,1741949
2011-09-27,1741949
2011-09-28,1741949
2011-09-29,1741949
2011-09-30,1527786
2011-10-03,1527786
2011-10-04,1527786
2011-10-05,1527786
2011-10-06,1527786
2011-10-07,1527786
2011-10-10,1527786
2011-10-11,1527786
2011-10-12,1527786
2011-10-13,1527786
2011-10-14,1892625
2011-10-17,1892625
2011-10-18,1892625
2011-10-19,1892625
2011-10-20,1892625
2011-10-21,1892625
2011-10-24,1892625
2011-10-25,1892625
2011-10-26,1892625
2011-10-27,1892625
2011-10-28,1892625
2011-10-31,1442009
2011-11-01,1442009
2011-11-02,1442009
2011-11-03,1442009
2011-11-04,1442009
2011-11-07,1442009
2011-11-08,1442009
2011-11-09,1442009
2011-11-10,1442009
2011-11-11,1442009
2011-11-14,1442009
2011-11-15,1330050
2011-11-16,1330050
2011-11-17,1330050
2011-11-18,1330050
2011-11-21,1330050
2011-11-22,1330050
2011-11-23,1330050
2011-11-24,1330050
2011-11-25,1330050
2011-11-28,1330050
2011-11-29,1330050
2011-11-30,1550562
2011-12-01,1550562
2011-12-02,1550562
2011-12-05,1550562
2011-12-06,1550562
2011-12-07,1550562
2011-12-08,1550562
2011-12-09,1550562
2011-12-12,1550562
2011-12-13,1550562
2011-12-14,1550562
2011-12-15,1539850
2011-12-16,1539850
2011-12-19,1539850
2011-12-20,1539850
2011-12-21,1539850
2011-12-22,1539850
2011-12-23,1539850
2011-12-26,1539850
2011-12-27,1539850
2011-12-28,1539850
2011-12-29,1539850
2011-12-30,1504128
2012-01-02,1504128
2012-01-03,1504128
2012-01-04,1504128
2012-01-05,1504128
2012-01-06,1504128
2012-01-09,1504128
2012-01-10,1504128
2012-01-11,1504128
2012-01-12,1504128
2012-01-13,1530449
2012-01-16,1530449
2012-01-17,1530449
2012-01-18,1530449
2012-01-19,1530449
2012-01-20,1530449
2012-01-23,1530449
2012-01-24,1530449
2012-01-25,1530449
2012-01-26,1530449
2012-01-27,1530449
2012-01-30,1530449
2012-01-31,1344885
2012-02-01,1344885
2012-02-02,1344885
2012-02-03,1344885
2012-02-06,1344885
2012-02-07,1344885
2012-02-08,1344885
2012-02-09,1344885
2012-02-10,1344885
2012-02-13,1344885
2012-02-14,1344885
2012-02-15,1119622
2012-02-16,1119622
2012-02-17,1119622
2012-02-20,1119622
2012-02-21,1119622
2012-02-22,1119622
2012-02-23,1119622
2012-02-24,1119622
2012-02-27,1119622
2012-02-28,1119622
2012-02-29,1068638
2012-03-01,1068638
2012-03-02,1068638
2012-03-05,1068638
2012-03-06,1068638
2012-03-07,1068638
2012-03-08,1068638
2012-03-09,1068638
2012-03-12,1068638
2012-03-13,1068638
2012-03-14,1068638
2012-03-15,1423966
2012-03-16,1423966
2012-03-19,1423966
2012-03-20,1423966
2012-03-21,1423966
2012-03-22,1423966
2012-03-23,1423966
2012-03-26,1423966
2012-03-27,1423966
2012-03-28,1423966
2012-03-29,1423966
2012-03-30,1910069
2012-04-02,1910069
2012-04-03,1910069
2012-04-04,1910069
2012-04-05,1910069
2012-04-06,1910069
2012-04-09,1910069
2012-04-10,1910069
2012-04-11,1910069
2012-04-12,1910069
2012-04-13,3110949
