Date,short_int
2011-08-12,775006
2011-08-15,871605
2011-08-16,871605
2011-08-17,871605
2011-08-18,871605
2011-08-19,871605
2011-08-22,871605
2011-08-23,871605
2011-08-24,871605
2011-08-25,871605
2011-08-26,871605
2011-08-29,871605
2011-08-30,871605
2011-08-31,529461
2011-09-01,529461
2011-09-02,529461
2011-09-05,529461
2011-09-06,529461
2011-09-07,529461
2011-09-08,529461
2011-09-09,529461
2011-09-12,529461
2011-09-13,529461
2011-09-14,529461
2011-09-15,400932
2011-09-16,400932
2011-09-19,400932
2011-09-20,400932
2011-09-21,400932
2011-09-22,400932
2011-09-23,400932
2011-09-26,400932
2011-09-27,400932
2011-09-28,400932
2011-09-29,400932
2011-09-30,471923
2011-10-03,471923
2011-10-04,471923
2011-10-05,471923
2011-10-06,471923
2011-10-07,471923
2011-10-10,471923
2011-10-11,471923
2011-10-12,471923
2011-10-13,471923
2011-10-14,619800
2011-10-17,619800
2011-10-18,619800
2011-10-19,619800
2011-10-20,619800
2011-10-21,619800
2011-10-24,619800
2011-10-25,619800
2011-10-26,619800
2011-10-27,619800
2011-10-28,619800
2011-10-31,475108
2011-11-01,475108
2011-11-02,475108
2011-11-03,475108
2011-11-04,475108
2011-11-07,475108
2011-11-08,475108
2011-11-09,475108
2011-11-10,475108
2011-11-11,475108
2011-11-14,475108
2011-11-15,447021
2011-11-16,447021
2011-11-17,447021
2011-11-18,447021
2011-11-21,447021
2011-11-22,447021
2011-11-23,447021
2011-11-24,447021
2011-11-25,447021
2011-11-28,447021
2011-11-29,447021
2011-11-30,788621
2011-12-01,788621
2011-12-02,788621
2011-12-05,788621
2011-12-06,788621
2011-12-07,788621
2011-12-08,788621
2011-12-09,788621
2011-12-12,788621
2011-12-13,788621
2011-12-14,788621
2011-12-15,631065
2011-12-16,631065
2011-12-19,631065
2011-12-20,631065
2011-12-21,631065
2011-12-22,631065
2011-12-23,631065
2011-12-26,631065
2011-12-27,631065
2011-12-28,631065
2011-12-29,631065
2011-12-30,596533
2012-01-02,596533
2012-01-03,596533
2012-01-04,596533
2012-01-05,596533
2012-01-06,596533
2012-01-09,596533
2012-01-10,596533
2012-01-11,596533
2012-01-12,596533
2012-01-13,495728
2012-01-16,495728
2012-01-17,495728
2012-01-18,495728
2012-01-19,495728
2012-01-20,495728
2012-01-23,495728
2012-01-24,495728
2012-01-25,495728
2012-01-26,495728
2012-01-27,495728
2012-01-30,495728
2012-01-31,890053
2012-02-01,890053
2012-02-02,890053
2012-02-03,890053
2012-02-06,890053
2012-02-07,890053
2012-02-08,890053
2012-02-09,890053
2012-02-10,890053
2012-02-13,890053
2012-02-14,890053
2012-02-15,456802
2012-02-16,456802
2012-02-17,456802
2012-02-20,456802
2012-02-21,456802
2012-02-22,456802
2012-02-23,456802
2012-02-24,456802
2012-02-27,456802
2012-02-28,456802
2012-02-29,545027
2012-03-01,545027
2012-03-02,545027
2012-03-05,545027
2012-03-06,545027
2012-03-07,545027
2012-03-08,545027
2012-03-09,545027
2012-03-12,545027
2012-03-13,545027
2012-03-14,545027
2012-03-15,1237030
2012-03-16,1237030
2012-03-19,1237030
2012-03-20,1237030
2012-03-21,1237030
2012-03-22,1237030
2012-03-23,1237030
2012-03-26,1237030
2012-03-27,1237030
2012-03-28,1237030
2012-03-29,1237030
2012-03-30,1694993
2012-04-02,1694993
2012-04-03,1694993
2012-04-04,1694993
2012-04-05,1694993
2012-04-06,1694993
2012-04-09,1694993
2012-04-10,1694993
2012-04-11,1694993
2012-04-12,1694993
2012-04-13,1737063
2012-04-16,1737063
2012-04-17,1737063
2012-04-18,1737063
2012-04-19,1737063
2012-04-20,1737063
2012-04-23,1737063
2012-04-24,1737063
2012-04-25,1737063
2012-04-26,1737063
2012-04-27,1737063
2012-04-30,1671689
2012-05-01,1671689
2012-05-02,1671689
2012-05-03,1671689
2012-05-04,1671689
2012-05-07,1671689
2012-05-08,1671689
2012-05-09,1671689
2012-05-10,1671689
2012-05-11,1671689
2012-05-14,1671689
2012-05-15,1963847
2012-05-16,1963847
2012-05-17,1963847
2012-05-18,1963847
2012-05-21,1963847
2012-05-22,1963847
2012-05-23,1963847
2012-05-24,1963847
2012-05-25,1963847
2012-05-28,1963847
2012-05-29,1963847
2012-05-30,1963847
2012-05-31,2833771
2012-06-01,2833771
2012-06-04,2833771
2012-06-05,2833771
2012-06-06,2833771
2012-06-07,2833771
2012-06-08,2833771
2012-06-11,2833771
2012-06-12,2833771
2012-06-13,2833771
2012-06-14,2833771
2012-06-15,7328706
2012-06-18,7328706
2012-06-19,7328706
2012-06-20,7328706
2012-06-21,7328706
2012-06-22,7328706
2012-06-25,7328706
2012-06-26,7328706
2012-06-27,7328706
2012-06-28,7328706
2012-06-29,9137812
2012-07-02,9137812
2012-07-03,9137812
2012-07-04,9137812
2012-07-05,9137812
2012-07-06,9137812
2012-07-09,9137812
2012-07-10,9137812
2012-07-11,9137812
2012-07-12,9137812
2012-07-13,6742680
2012-07-16,6742680
2012-07-17,6742680
2012-07-18,6742680
2012-07-19,6742680
2012-07-20,6742680
2012-07-23,6742680
2012-07-24,6742680
2012-07-25,6742680
2012-07-26,6742680
2012-07-27,6742680
2012-07-30,6742680
2012-07-31,7198044
2012-08-01,7198044
2012-08-02,7198044
2012-08-03,7198044
2012-08-06,7198044
2012-08-07,7198044
2012-08-08,7198044
2012-08-09,7198044
2012-08-10,7198044
2012-08-13,7198044
2012-08-14,7198044
2012-08-15,7241506
2012-08-16,7241506
2012-08-17,7241506
2012-08-20,7241506
2012-08-21,7241506
2012-08-22,7241506
2012-08-23,7241506
2012-08-24,7241506
2012-08-27,7241506
2012-08-28,7241506
2012-08-29,7241506
2012-08-30,7241506
2012-08-31,6160480
2012-09-03,6160480
2012-09-04,6160480
2012-09-05,6160480
2012-09-06,6160480
2012-09-07,6160480
2012-09-10,6160480
2012-09-11,6160480
2012-09-12,6160480
2012-09-13,6160480
2012-09-14,6470611
2012-09-17,6470611
2012-09-18,6470611
2012-09-19,6470611
2012-09-20,6470611
2012-09-21,6470611
2012-09-24,6470611
2012-09-25,6470611
2012-09-26,6470611
2012-09-27,6470611
2012-09-28,6289960
2012-10-01,6289960
2012-10-02,6289960
2012-10-03,6289960
2012-10-04,6289960
2012-10-05,6289960
2012-10-08,6289960
2012-10-09,6289960
2012-10-10,6289960
2012-10-11,6289960
2012-10-12,6289960
2012-10-15,6150130
2012-10-16,6150130
2012-10-17,6150130
2012-10-18,6150130
2012-10-19,6150130
2012-10-22,6150130
2012-10-23,6150130
2012-10-24,6150130
2012-10-25,6150130
2012-10-26,6150130
2012-10-29,6150130
2012-10-30,6150130
2012-10-31,6820669
2012-11-01,6820669
2012-11-02,6820669
2012-11-05,6820669
2012-11-06,6820669
2012-11-07,6820669
2012-11-08,6820669
2012-11-09,6820669
2012-11-12,6820669
2012-11-13,6820669
2012-11-14,6820669
2012-11-15,6511460
2012-11-16,6511460
2012-11-19,6511460
2012-11-20,6511460
2012-11-21,6511460
2012-11-22,6511460
2012-11-23,6511460
2012-11-26,6511460
2012-11-27,6511460
2012-11-28,6511460
2012-11-29,6511460
2012-11-30,6199864
2012-12-03,6199864
2012-12-04,6199864
2012-12-05,6199864
2012-12-06,6199864
2012-12-07,6199864
2012-12-10,6199864
2012-12-11,6199864
2012-12-12,6199864
2012-12-13,6199864
2012-12-14,7180583
2012-12-17,7180583
2012-12-18,7180583
2012-12-19,7180583
2012-12-20,7180583
2012-12-21,7180583
2012-12-24,7180583
2012-12-25,7180583
2012-12-26,7180583
2012-12-27,7180583
2012-12-28,7180583
2012-12-31,7838302
2013-01-01,7838302
2013-01-02,7838302
2013-01-03,7838302
2013-01-04,7838302
2013-01-07,7838302
2013-01-08,7838302
2013-01-09,7838302
2013-01-10,7838302
2013-01-11,7838302
2013-01-14,7838302
2013-01-15,7494395
2013-01-16,7494395
2013-01-17,7494395
2013-01-18,7494395
2013-01-21,7494395
2013-01-22,7494395
2013-01-23,7494395
2013-01-24,7494395
2013-01-25,7494395
2013-01-28,7494395
2013-01-29,7494395
2013-01-30,7494395
2013-01-31,8619663
2013-02-01,8619663
2013-02-04,8619663
2013-02-05,8619663
2013-02-06,8619663
2013-02-07,8619663
2013-02-08,8619663
2013-02-11,8619663
2013-02-12,8619663
2013-02-13,8619663
2013-02-14,8619663
2013-02-15,9179794
2013-02-18,9179794
2013-02-19,9179794
2013-02-20,9179794
2013-02-21,9179794
2013-02-22,9179794
2013-02-25,9179794
2013-02-26,9179794
2013-02-27,9179794
2013-02-28,10061216
2013-03-01,10061216
2013-03-04,10061216
2013-03-05,10061216
2013-03-06,10061216
2013-03-07,10061216
2013-03-08,10061216
2013-03-11,10061216
2013-03-12,10061216
2013-03-13,10061216
2013-03-14,10061216
2013-03-15,9482727
2013-03-18,9482727
2013-03-19,9482727
2013-03-20,9482727
2013-03-21,9482727
2013-03-22,9482727
2013-03-25,9482727
2013-03-26,9482727
2013-03-27,9482727
2013-03-28,15136666
2013-03-29,15136666
2013-04-01,15136666
2013-04-02,15136666
2013-04-03,15136666
2013-04-04,15136666
2013-04-05,15136666
2013-04-08,15136666
2013-04-09,15136666
2013-04-10,15136666
2013-04-11,15136666
2013-04-12,15136666
2013-04-15,13291641
2013-04-16,13291641
2013-04-17,13291641
2013-04-18,13291641
2013-04-19,13291641
2013-04-22,13291641
2013-04-23,13291641
2013-04-24,13291641
2013-04-25,13291641
2013-04-26,13291641
2013-04-29,13291641
2013-04-30,13492498
2013-05-01,13492498
2013-05-02,13492498
2013-05-03,13492498
2013-05-06,13492498
2013-05-07,13492498
2013-05-08,13492498
2013-05-09,13492498
2013-05-10,13492498
2013-05-13,13492498
2013-05-14,13492498
2013-05-15,13654711
2013-05-16,13654711
2013-05-17,13654711
2013-05-20,13654711
2013-05-21,13654711
2013-05-22,13654711
2013-05-23,13654711
2013-05-24,13654711
2013-05-27,13654711
2013-05-28,13654711
2013-05-29,13654711
2013-05-30,13654711
2013-05-31,13361416
2013-06-03,13361416
2013-06-04,13361416
2013-06-05,13361416
2013-06-06,13361416
2013-06-07,13361416
2013-06-10,13361416
2013-06-11,13361416
2013-06-12,13361416
2013-06-13,13361416
2013-06-14,11575543
2013-06-17,11575543
2013-06-18,11575543
2013-06-19,11575543
2013-06-20,11575543
2013-06-21,11575543
2013-06-24,11575543
2013-06-25,11575543
2013-06-26,11575543
2013-06-27,11575543
2013-06-28,7894186
2013-07-01,7894186
2013-07-02,7894186
2013-07-03,7894186
2013-07-04,7894186
2013-07-05,7894186
2013-07-08,7894186
2013-07-09,7894186
2013-07-10,7894186
2013-07-11,7894186
2013-07-12,7894186
2013-07-15,6658866
2013-07-16,6658866
2013-07-17,6658866
2013-07-18,6658866
2013-07-19,6658866
2013-07-22,6658866
2013-07-23,6658866
2013-07-24,6658866
2013-07-25,6658866
2013-07-26,6658866
2013-07-29,6658866
2013-07-30,6658866
2013-07-31,4078926
2013-08-01,4078926
2013-08-02,4078926
2013-08-05,4078926
2013-08-06,4078926
2013-08-07,4078926
2013-08-08,4078926
2013-08-09,4078926
2013-08-12,4078926
2013-08-13,4078926
2013-08-14,4078926
2013-08-15,2979283
2013-08-16,2979283
2013-08-19,2979283
2013-08-20,2979283
2013-08-21,2979283
2013-08-22,2979283
2013-08-23,2979283
2013-08-26,2979283
2013-08-27,2979283
2013-08-28,2979283
2013-08-29,2979283
2013-08-30,2582184
2013-09-02,2582184
2013-09-03,2582184
2013-09-04,2582184
2013-09-05,2582184
2013-09-06,2582184
2013-09-09,2582184
2013-09-10,2582184
2013-09-11,2582184
2013-09-12,2582184
2013-09-13,1994771
2013-09-16,1994771
2013-09-17,1994771
2013-09-18,1994771
2013-09-19,1994771
2013-09-20,1994771
2013-09-23,1994771
2013-09-24,1994771
2013-09-25,1994771
2013-09-26,1994771
2013-09-27,1994771
2013-09-30,1288733
2013-10-01,1288733
2013-10-02,1288733
2013-10-03,1288733
2013-10-04,1288733
2013-10-07,1288733
2013-10-08,1288733
2013-10-09,1288733
2013-10-10,1288733
2013-10-11,1288733
2013-10-14,1288733
2013-10-15,1013592
2013-10-16,1013592
2013-10-17,1013592
2013-10-18,1013592
2013-10-21,1013592
2013-10-22,1013592
2013-10-23,1013592
2013-10-24,1013592
2013-10-25,1013592
2013-10-28,1013592
2013-10-29,1013592
2013-10-30,1013592
2013-10-31,926326
2013-11-01,926326
2013-11-04,926326
2013-11-05,926326
2013-11-06,926326
2013-11-07,926326
2013-11-08,926326
2013-11-11,926326
2013-11-12,926326
2013-11-13,926326
2013-11-14,926326
2013-11-15,897129
2013-11-18,897129
2013-11-19,897129
2013-11-20,897129
2013-11-21,897129
2013-11-22,897129
2013-11-25,897129
2013-11-26,897129
2013-11-27,897129
2013-11-28,897129
2013-11-29,943878
2013-12-02,943878
2013-12-03,943878
2013-12-04,943878
2013-12-05,943878
2013-12-06,943878
2013-12-09,943878
2013-12-10,943878
2013-12-11,943878
2013-12-12,943878
2013-12-13,1047634
2013-12-16,1047634
2013-12-17,1047634
2013-12-18,1047634
