Date,short_int
2011-08-12,643447
2011-08-15,596532
2011-08-16,596532
2011-08-17,596532
2011-08-18,596532
2011-08-19,596532
2011-08-22,596532
2011-08-23,596532
2011-08-24,596532
2011-08-25,596532
2011-08-26,596532
2011-08-29,596532
2011-08-30,596532
2011-08-31,494787
2011-09-01,494787
2011-09-02,494787
2011-09-05,494787
2011-09-06,494787
2011-09-07,494787
2011-09-08,494787
2011-09-09,494787
2011-09-12,494787
2011-09-13,494787
2011-09-14,494787
2011-09-15,786606
2011-09-16,786606
2011-09-19,786606
2011-09-20,786606
2011-09-21,786606
2011-09-22,786606
2011-09-23,786606
2011-09-26,786606
2011-09-27,786606
2011-09-28,786606
2011-09-29,786606
2011-09-30,452741
2011-10-03,452741
2011-10-04,452741
2011-10-05,452741
2011-10-06,452741
2011-10-07,452741
2011-10-10,452741
2011-10-11,452741
2011-10-12,452741
2011-10-13,452741
2011-10-14,493488
2011-10-17,493488
2011-10-18,493488
2011-10-19,493488
2011-10-20,493488
2011-10-21,493488
2011-10-24,493488
2011-10-25,493488
2011-10-26,493488
2011-10-27,493488
2011-10-28,493488
2011-10-31,464727
2011-11-01,464727
2011-11-02,464727
2011-11-03,464727
2011-11-04,464727
2011-11-07,464727
2011-11-08,464727
2011-11-09,464727
2011-11-10,464727
2011-11-11,464727
2011-11-14,464727
2011-11-15,539187
2011-11-16,539187
2011-11-17,539187
2011-11-18,539187
2011-11-21,539187
2011-11-22,539187
2011-11-23,539187
2011-11-24,539187
2011-11-25,539187
2011-11-28,539187
2011-11-29,539187
2011-11-30,549433
2011-12-01,549433
2011-12-02,549433
2011-12-05,549433
2011-12-06,549433
2011-12-07,549433
2011-12-08,549433
2011-12-09,549433
2011-12-12,549433
2011-12-13,549433
2011-12-14,549433
2011-12-15,465338
2011-12-16,465338
2011-12-19,465338
2011-12-20,465338
2011-12-21,465338
2011-12-22,465338
2011-12-23,465338
2011-12-26,465338
2011-12-27,465338
2011-12-28,465338
2011-12-29,465338
2011-12-30,442401
2012-01-02,442401
2012-01-03,442401
2012-01-04,442401
2012-01-05,442401
2012-01-06,442401
2012-01-09,442401
2012-01-10,442401
2012-01-11,442401
2012-01-12,442401
2012-01-13,449038
2012-01-16,449038
2012-01-17,449038
2012-01-18,449038
2012-01-19,449038
2012-01-20,449038
2012-01-23,449038
2012-01-24,449038
2012-01-25,449038
2012-01-26,449038
2012-01-27,449038
2012-01-30,449038
2012-01-31,734222
2012-02-01,734222
2012-02-02,734222
2012-02-03,734222
2012-02-06,734222
2012-02-07,734222
2012-02-08,734222
2012-02-09,734222
2012-02-10,734222
2012-02-13,734222
2012-02-14,734222
2012-02-15,977729
2012-02-16,977729
2012-02-17,977729
2012-02-20,977729
2012-02-21,977729
2012-02-22,977729
2012-02-23,977729
2012-02-24,977729
2012-02-27,977729
2012-02-28,977729
2012-02-29,1524286
2012-03-01,1524286
2012-03-02,1524286
2012-03-05,1524286
2012-03-06,1524286
2012-03-07,1524286
2012-03-08,1524286
2012-03-09,1524286
2012-03-12,1524286
2012-03-13,1524286
2012-03-14,1524286
2012-03-15,586059
2012-03-16,586059
2012-03-19,586059
2012-03-20,586059
2012-03-21,586059
2012-03-22,586059
2012-03-23,586059
2012-03-26,586059
2012-03-27,586059
2012-03-28,586059
2012-03-29,586059
2012-03-30,569099
2012-04-02,569099
2012-04-03,569099
2012-04-04,569099
2012-04-05,569099
2012-04-06,569099
2012-04-09,569099
2012-04-10,569099
2012-04-11,569099
2012-04-12,569099
2012-04-13,565242
2012-04-16,565242
2012-04-17,565242
2012-04-18,565242
2012-04-19,565242
2012-04-20,565242
2012-04-23,565242
2012-04-24,565242
2012-04-25,565242
2012-04-26,565242
2012-04-27,565242
2012-04-30,875828
2012-05-01,875828
2012-05-02,875828
2012-05-03,875828
2012-05-04,875828
2012-05-07,875828
2012-05-08,875828
2012-05-09,875828
2012-05-10,875828
2012-05-11,875828
