Date,short_int
2011-08-12,1941578
2011-08-15,547443
2011-08-16,547443
2011-08-17,547443
2011-08-18,547443
2011-08-19,547443
2011-08-22,547443
2011-08-23,547443
2011-08-24,547443
2011-08-25,547443
2011-08-26,547443
2011-08-29,547443
2011-08-30,547443
2011-08-31,1351827
2011-09-01,1351827
2011-09-02,1351827
2011-09-05,1351827
2011-09-06,1351827
2011-09-07,1351827
2011-09-08,1351827
2011-09-09,1351827
2011-09-12,1351827
2011-09-13,1351827
2011-09-14,1351827
2011-09-15,806550
2011-09-16,806550
2011-09-19,806550
2011-09-20,806550
2011-09-21,806550
2011-09-22,806550
2011-09-23,806550
2011-09-26,806550
2011-09-27,806550
2011-09-28,806550
2011-09-29,806550
2011-09-30,701205
2011-10-03,701205
2011-10-04,701205
2011-10-05,701205
2011-10-06,701205
2011-10-07,701205
2011-10-10,701205
2011-10-11,701205
2011-10-12,701205
2011-10-13,701205
2011-10-14,3016478
2011-10-17,3016478
2011-10-18,3016478
2011-10-19,3016478
2011-10-20,3016478
2011-10-21,3016478
2011-10-24,3016478
2011-10-25,3016478
2011-10-26,3016478
2011-10-27,3016478
2011-10-28,3016478
2011-10-31,775525
2011-11-01,775525
2011-11-02,775525
2011-11-03,775525
2011-11-04,775525
2011-11-07,775525
2011-11-08,775525
2011-11-09,775525
2011-11-10,775525
2011-11-11,775525
2011-11-14,775525
2011-11-15,1726738
2011-11-16,1726738
2011-11-17,1726738
2011-11-18,1726738
2011-11-21,1726738
2011-11-22,1726738
2011-11-23,1726738
2011-11-24,1726738
2011-11-25,1726738
2011-11-28,1726738
2011-11-29,1726738
2011-11-30,1256049
2011-12-01,1256049
2011-12-02,1256049
2011-12-05,1256049
2011-12-06,1256049
2011-12-07,1256049
2011-12-08,1256049
2011-12-09,1256049
2011-12-12,1256049
2011-12-13,1256049
2011-12-14,1256049
2011-12-15,3236811
2011-12-16,3236811
2011-12-19,3236811
2011-12-20,3236811
2011-12-21,3236811
2011-12-22,3236811
2011-12-23,3236811
2011-12-26,3236811
2011-12-27,3236811
2011-12-28,3236811
2011-12-29,3236811
2011-12-30,1427275
2012-01-02,1427275
2012-01-03,1427275
2012-01-04,1427275
2012-01-05,1427275
2012-01-06,1427275
2012-01-09,1427275
2012-01-10,1427275
2012-01-11,1427275
2012-01-12,1427275
2012-01-13,1359042
2012-01-16,1359042
2012-01-17,1359042
2012-01-18,1359042
2012-01-19,1359042
2012-01-20,1359042
2012-01-23,1359042
2012-01-24,1359042
2012-01-25,1359042
2012-01-26,1359042
2012-01-27,1359042
2012-01-30,1359042
2012-01-31,1159797
2012-02-01,1159797
2012-02-02,1159797
2012-02-03,1159797
2012-02-06,1159797
2012-02-07,1159797
2012-02-08,1159797
2012-02-09,1159797
2012-02-10,1159797
2012-02-13,1159797
2012-02-14,1159797
2012-02-15,1820408
2012-02-16,1820408
2012-02-17,1820408
2012-02-20,1820408
2012-02-21,1820408
2012-02-22,1820408
2012-02-23,1820408
2012-02-24,1820408
2012-02-27,1820408
2012-02-28,1820408
2012-02-29,1821958
2012-03-01,1821958
2012-03-02,1821958
2012-03-05,1821958
2012-03-06,1821958
2012-03-07,1821958
2012-03-08,1821958
2012-03-09,1821958
2012-03-12,1821958
2012-03-13,1821958
2012-03-14,1821958
2012-03-15,1149671
