Date,short_int
2011-08-12,4063186
2011-08-15,4915845
2011-08-16,4915845
2011-08-17,4915845
2011-08-18,4915845
2011-08-19,4915845
2011-08-22,4915845
2011-08-23,4915845
2011-08-24,4915845
2011-08-25,4915845
2011-08-26,4915845
2011-08-29,4915845
2011-08-30,4915845
2011-08-31,4793270
2011-09-01,4793270
2011-09-02,4793270
2011-09-05,4793270
2011-09-06,4793270
2011-09-07,4793270
2011-09-08,4793270
2011-09-09,4793270
2011-09-12,4793270
2011-09-13,4793270
2011-09-14,4793270
2011-09-15,4872206
2011-09-16,4872206
2011-09-19,4872206
2011-09-20,4872206
2011-09-21,4872206
2011-09-22,4872206
2011-09-23,4872206
2011-09-26,4872206
2011-09-27,4872206
2011-09-28,4872206
2011-09-29,4872206
2011-09-30,6845217
2011-10-03,6845217
2011-10-04,6845217
2011-10-05,6845217
2011-10-06,6845217
2011-10-07,6845217
2011-10-10,6845217
2011-10-11,6845217
2011-10-12,6845217
2011-10-13,6845217
2011-10-14,6279421
2011-10-17,6279421
2011-10-18,6279421
2011-10-19,6279421
2011-10-20,6279421
2011-10-21,6279421
2011-10-24,6279421
2011-10-25,6279421
2011-10-26,6279421
2011-10-27,6279421
2011-10-28,6279421
2011-10-31,4940383
2011-11-01,4940383
2011-11-02,4940383
2011-11-03,4940383
2011-11-04,4940383
2011-11-07,4940383
2011-11-08,4940383
2011-11-09,4940383
2011-11-10,4940383
2011-11-11,4940383
2011-11-14,4940383
2011-11-15,3375910
2011-11-16,3375910
2011-11-17,3375910
2011-11-18,3375910
2011-11-21,3375910
2011-11-22,3375910
2011-11-23,3375910
2011-11-24,3375910
2011-11-25,3375910
2011-11-28,3375910
2011-11-29,3375910
2011-11-30,4256313
2011-12-01,4256313
2011-12-02,4256313
2011-12-05,4256313
2011-12-06,4256313
2011-12-07,4256313
2011-12-08,4256313
2011-12-09,4256313
2011-12-12,4256313
2011-12-13,4256313
2011-12-14,4256313
2011-12-15,4578514
2011-12-16,4578514
2011-12-19,4578514
2011-12-20,4578514
2011-12-21,4578514
2011-12-22,4578514
2011-12-23,4578514
2011-12-26,4578514
2011-12-27,4578514
2011-12-28,4578514
2011-12-29,4578514
2011-12-30,4212447
2012-01-02,4212447
2012-01-03,4212447
2012-01-04,4212447
2012-01-05,4212447
2012-01-06,4212447
2012-01-09,4212447
2012-01-10,4212447
2012-01-11,4212447
2012-01-12,4212447
2012-01-13,4996463
2012-01-16,4996463
2012-01-17,4996463
2012-01-18,4996463
2012-01-19,4996463
2012-01-20,4996463
2012-01-23,4996463
2012-01-24,4996463
2012-01-25,4996463
2012-01-26,4996463
2012-01-27,4996463
2012-01-30,4996463
2012-01-31,3083945
2012-02-01,3083945
2012-02-02,3083945
2012-02-03,3083945
2012-02-06,3083945
2012-02-07,3083945
2012-02-08,3083945
2012-02-09,3083945
2012-02-10,3083945
2012-02-13,3083945
2012-02-14,3083945
2012-02-15,5603812
2012-02-16,5603812
2012-02-17,5603812
2012-02-20,5603812
2012-02-21,5603812
2012-02-22,5603812
2012-02-23,5603812
2012-02-24,5603812
2012-02-27,5603812
2012-02-28,5603812
2012-02-29,3818924
2012-03-01,3818924
2012-03-02,3818924
2012-03-05,3818924
2012-03-06,3818924
2012-03-07,3818924
2012-03-08,3818924
2012-03-09,3818924
2012-03-12,3818924
2012-03-13,3818924
2012-03-14,3818924
2012-03-15,3845422
