Date,short_int
2011-08-12,14466036
2011-08-15,15683595
2011-08-16,15683595
2011-08-17,15683595
2011-08-18,15683595
2011-08-19,15683595
2011-08-22,15683595
2011-08-23,15683595
2011-08-24,15683595
2011-08-25,15683595
2011-08-26,15683595
2011-08-29,15683595
2011-08-30,15683595
2011-08-31,17779761
2011-09-01,17779761
2011-09-02,17779761
2011-09-05,17779761
2011-09-06,17779761
2011-09-07,17779761
2011-09-08,17779761
2011-09-09,17779761
2011-09-12,17779761
2011-09-13,17779761
2011-09-14,17779761
2011-09-15,16951266
2011-09-16,16951266
2011-09-19,16951266
2011-09-20,16951266
2011-09-21,16951266
2011-09-22,16951266
2011-09-23,16951266
2011-09-26,16951266
2011-09-27,16951266
2011-09-28,16951266
2011-09-29,16951266
2011-09-30,15720471
2011-10-03,15720471
2011-10-04,15720471
2011-10-05,15720471
2011-10-06,15720471
2011-10-07,15720471
2011-10-10,15720471
2011-10-11,15720471
2011-10-12,15720471
2011-10-13,15720471
2011-10-14,25719441
2011-10-17,25719441
2011-10-18,25719441
2011-10-19,25719441
2011-10-20,25719441
2011-10-21,25719441
2011-10-24,25719441
2011-10-25,25719441
2011-10-26,25719441
2011-10-27,25719441
2011-10-28,25719441
2011-10-31,24777429
2011-11-01,24777429
2011-11-02,24777429
2011-11-03,24777429
2011-11-04,24777429
2011-11-07,24777429
2011-11-08,24777429
2011-11-09,24777429
2011-11-10,24777429
2011-11-11,24777429
2011-11-14,24777429
2011-11-15,26228557
2011-11-16,26228557
2011-11-17,26228557
2011-11-18,26228557
2011-11-21,26228557
2011-11-22,26228557
2011-11-23,26228557
2011-11-24,26228557
2011-11-25,26228557
2011-11-28,26228557
2011-11-29,26228557
2011-11-30,27218714
2011-12-01,27218714
2011-12-02,27218714
2011-12-05,27218714
2011-12-06,27218714
2011-12-07,27218714
2011-12-08,27218714
2011-12-09,27218714
2011-12-12,27218714
2011-12-13,27218714
2011-12-14,27218714
2011-12-15,24793843
2011-12-16,24793843
2011-12-19,24793843
2011-12-20,24793843
2011-12-21,24793843
2011-12-22,24793843
2011-12-23,24793843
2011-12-26,24793843
2011-12-27,24793843
2011-12-28,24793843
2011-12-29,24793843
2011-12-30,24220882
2012-01-02,24220882
2012-01-03,24220882
2012-01-04,24220882
2012-01-05,24220882
2012-01-06,24220882
2012-01-09,24220882
2012-01-10,24220882
2012-01-11,24220882
2012-01-12,24220882
2012-01-13,28623755
2012-01-16,28623755
2012-01-17,28623755
2012-01-18,28623755
2012-01-19,28623755
2012-01-20,28623755
2012-01-23,28623755
2012-01-24,28623755
2012-01-25,28623755
2012-01-26,28623755
2012-01-27,28623755
2012-01-30,28623755
2012-01-31,22074219
2012-02-01,22074219
2012-02-02,22074219
2012-02-03,22074219
2012-02-06,22074219
2012-02-07,22074219
2012-02-08,22074219
2012-02-09,22074219
2012-02-10,22074219
2012-02-13,22074219
2012-02-14,22074219
2012-02-15,22696068
2012-02-16,22696068
2012-02-17,22696068
2012-02-20,22696068
2012-02-21,22696068
2012-02-22,22696068
2012-02-23,22696068
2012-02-24,22696068
2012-02-27,22696068
2012-02-28,22696068
2012-02-29,28126149
2012-03-01,28126149
2012-03-02,28126149
2012-03-05,28126149
2012-03-06,28126149
2012-03-07,28126149
2012-03-08,28126149
2012-03-09,28126149
2012-03-12,28126149
2012-03-13,28126149
2012-03-14,28126149
2012-03-15,27343387
2012-03-16,27343387
2012-03-19,27343387
2012-03-20,27343387
2012-03-21,27343387
2012-03-22,27343387
2012-03-23,27343387
2012-03-26,27343387
2012-03-27,27343387
2012-03-28,27343387
2012-03-29,27343387
2012-03-30,23855822
2012-04-02,23855822
2012-04-03,23855822
2012-04-04,23855822
2012-04-05,23855822
2012-04-06,23855822
2012-04-09,23855822
2012-04-10,23855822
2012-04-11,23855822
2012-04-12,23855822
2012-04-13,25885117
2012-04-16,25885117
2012-04-17,25885117
2012-04-18,25885117
2012-04-19,25885117
2012-04-20,25885117
2012-04-23,25885117
2012-04-24,25885117
2012-04-25,25885117
2012-04-26,25885117
2012-04-27,25885117
2012-04-30,29794684
2012-05-01,29794684
2012-05-02,29794684
2012-05-03,29794684
2012-05-04,29794684
2012-05-07,29794684
2012-05-08,29794684
2012-05-09,29794684
2012-05-10,29794684
2012-05-11,29794684
2012-05-14,29794684
2012-05-15,34716365
2012-05-16,34716365
2012-05-17,34716365
2012-05-18,34716365
2012-05-21,34716365
2012-05-22,34716365
2012-05-23,34716365
2012-05-24,34716365
2012-05-25,34716365
2012-05-28,34716365
2012-05-29,34716365
2012-05-30,34716365
2012-05-31,37672915
2012-06-01,37672915
2012-06-04,37672915
2012-06-05,37672915
2012-06-06,37672915
2012-06-07,37672915
2012-06-08,37672915
2012-06-11,37672915
2012-06-12,37672915
2012-06-13,37672915
2012-06-14,37672915
2012-06-15,39640566
2012-06-18,39640566
2012-06-19,39640566
2012-06-20,39640566
2012-06-21,39640566
2012-06-22,39640566
2012-06-25,39640566
2012-06-26,39640566
2012-06-27,39640566
2012-06-28,39640566
2012-06-29,34413863
2012-07-02,34413863
2012-07-03,34413863
2012-07-04,34413863
2012-07-05,34413863
2012-07-06,34413863
2012-07-09,34413863
2012-07-10,34413863
2012-07-11,34413863
2012-07-12,34413863
2012-07-13,30500217
2012-07-16,30500217
2012-07-17,30500217
2012-07-18,30500217
2012-07-19,30500217
2012-07-20,30500217
2012-07-23,30500217
2012-07-24,30500217
2012-07-25,30500217
2012-07-26,30500217
2012-07-27,30500217
2012-07-30,30500217
2012-07-31,32197914
2012-08-01,32197914
2012-08-02,32197914
2012-08-03,32197914
2012-08-06,32197914
2012-08-07,32197914
2012-08-08,32197914
2012-08-09,32197914
2012-08-10,32197914
2012-08-13,32197914
2012-08-14,32197914
2012-08-15,29640287
2012-08-16,29640287
2012-08-17,29640287
2012-08-20,29640287
2012-08-21,29640287
2012-08-22,29640287
2012-08-23,29640287
2012-08-24,29640287
2012-08-27,29640287
2012-08-28,29640287
2012-08-29,29640287
2012-08-30,29640287
2012-08-31,28857984
2012-09-03,28857984
2012-09-04,28857984
2012-09-05,28857984
2012-09-06,28857984
2012-09-07,28857984
2012-09-10,28857984
2012-09-11,28857984
2012-09-12,28857984
2012-09-13,28857984
2012-09-14,29476667
2012-09-17,29476667
2012-09-18,29476667
2012-09-19,29476667
2012-09-20,29476667
2012-09-21,29476667
2012-09-24,29476667
2012-09-25,29476667
2012-09-26,29476667
2012-09-27,29476667
2012-09-28,25399962
2012-10-01,25399962
2012-10-02,25399962
2012-10-03,25399962
