Date,short_int
2011-08-12,858003
2011-08-15,1120560
2011-08-16,1120560
2011-08-17,1120560
2011-08-18,1120560
2011-08-19,1120560
2011-08-22,1120560
2011-08-23,1120560
2011-08-24,1120560
2011-08-25,1120560
2011-08-26,1120560
2011-08-29,1120560
2011-08-30,1120560
2011-08-31,1423113
2011-09-01,1423113
2011-09-02,1423113
2011-09-05,1423113
2011-09-06,1423113
2011-09-07,1423113
2011-09-08,1423113
2011-09-09,1423113
2011-09-12,1423113
2011-09-13,1423113
2011-09-14,1423113
2011-09-15,1442298
2011-09-16,1442298
2011-09-19,1442298
2011-09-20,1442298
2011-09-21,1442298
2011-09-22,1442298
2011-09-23,1442298
2011-09-26,1442298
2011-09-27,1442298
2011-09-28,1442298
2011-09-29,1442298
2011-09-30,1071606
2011-10-03,1071606
2011-10-04,1071606
2011-10-05,1071606
2011-10-06,1071606
2011-10-07,1071606
2011-10-10,1071606
2011-10-11,1071606
2011-10-12,1071606
2011-10-13,1071606
2011-10-14,1306439
2011-10-17,1306439
2011-10-18,1306439
2011-10-19,1306439
2011-10-20,1306439
2011-10-21,1306439
2011-10-24,1306439
2011-10-25,1306439
2011-10-26,1306439
2011-10-27,1306439
2011-10-28,1306439
2011-10-31,765879
2011-11-01,765879
2011-11-02,765879
2011-11-03,765879
2011-11-04,765879
2011-11-07,765879
2011-11-08,765879
2011-11-09,765879
2011-11-10,765879
2011-11-11,765879
2011-11-14,765879
2011-11-15,699190
2011-11-16,699190
2011-11-17,699190
2011-11-18,699190
2011-11-21,699190
2011-11-22,699190
2011-11-23,699190
2011-11-24,699190
2011-11-25,699190
2011-11-28,699190
2011-11-29,699190
2011-11-30,807639
2011-12-01,807639
2011-12-02,807639
2011-12-05,807639
2011-12-06,807639
2011-12-07,807639
2011-12-08,807639
2011-12-09,807639
2011-12-12,807639
2011-12-13,807639
2011-12-14,807639
2011-12-15,904671
2011-12-16,904671
2011-12-19,904671
2011-12-20,904671
2011-12-21,904671
2011-12-22,904671
2011-12-23,904671
2011-12-26,904671
2011-12-27,904671
2011-12-28,904671
2011-12-29,904671
2011-12-30,975259
2012-01-02,975259
2012-01-03,975259
2012-01-04,975259
2012-01-05,975259
2012-01-06,975259
2012-01-09,975259
2012-01-10,975259
2012-01-11,975259
2012-01-12,975259
2012-01-13,916038
2012-01-16,916038
2012-01-17,916038
2012-01-18,916038
2012-01-19,916038
2012-01-20,916038
2012-01-23,916038
2012-01-24,916038
2012-01-25,916038
2012-01-26,916038
2012-01-27,916038
2012-01-30,916038
2012-01-31,1047931
2012-02-01,1047931
2012-02-02,1047931
2012-02-03,1047931
2012-02-06,1047931
2012-02-07,1047931
2012-02-08,1047931
2012-02-09,1047931
2012-02-10,1047931
2012-02-13,1047931
2012-02-14,1047931
2012-02-15,1298706
2012-02-16,1298706
2012-02-17,1298706
2012-02-20,1298706
2012-02-21,1298706
2012-02-22,1298706
2012-02-23,1298706
2012-02-24,1298706
2012-02-27,1298706
2012-02-28,1298706
2012-02-29,1234455
2012-03-01,1234455
2012-03-02,1234455
2012-03-05,1234455
2012-03-06,1234455
2012-03-07,1234455
2012-03-08,1234455
2012-03-09,1234455
2012-03-12,1234455
2012-03-13,1234455
2012-03-14,1234455
2012-03-15,1186682
2012-03-16,1186682
2012-03-19,1186682
2012-03-20,1186682
2012-03-21,1186682
2012-03-22,1186682
2012-03-23,1186682
2012-03-26,1186682
2012-03-27,1186682
2012-03-28,1186682
2012-03-29,1186682
2012-03-30,1266259
2012-04-02,1266259
2012-04-03,1266259
2012-04-04,1266259
2012-04-05,1266259
2012-04-06,1266259
2012-04-09,1266259
2012-04-10,1266259
2012-04-11,1266259
2012-04-12,1266259
2012-04-13,1241373
2012-04-16,1241373
2012-04-17,1241373
2012-04-18,1241373
2012-04-19,1241373
2012-04-20,1241373
2012-04-23,1241373
2012-04-24,1241373
2012-04-25,1241373
2012-04-26,1241373
2012-04-27,1241373
2012-04-30,1222478
2012-05-01,1222478
2012-05-02,1222478
2012-05-03,1222478
2012-05-04,1222478
2012-05-07,1222478
2012-05-08,1222478
2012-05-09,1222478
2012-05-10,1222478
2012-05-11,1222478
2012-05-14,1222478
2012-05-15,1501640
2012-05-16,1501640
2012-05-17,1501640
2012-05-18,1501640
2012-05-21,1501640
2012-05-22,1501640
2012-05-23,1501640
2012-05-24,1501640
2012-05-25,1501640
2012-05-28,1501640
2012-05-29,1501640
2012-05-30,1501640
2012-05-31,1425938
2012-06-01,1425938
2012-06-04,1425938
2012-06-05,1425938
2012-06-06,1425938
2012-06-07,1425938
2012-06-08,1425938
2012-06-11,1425938
2012-06-12,1425938
2012-06-13,1425938
2012-06-14,1425938
2012-06-15,1504402
2012-06-18,1504402
2012-06-19,1504402
2012-06-20,1504402
2012-06-21,1504402
