Date,short_int
2013-05-31,47767
2013-06-03,47767
2013-06-04,47767
2013-06-05,47767
2013-06-06,47767
2013-06-07,47767
2013-06-10,47767
2013-06-11,47767
2013-06-12,47767
2013-06-13,47767
2013-06-14,37807
2013-06-17,37807
2013-06-18,37807
2013-06-19,37807
2013-06-20,37807
2013-06-21,37807
2013-06-24,37807
2013-06-25,37807
2013-06-26,37807
2013-06-27,37807
2013-06-28,53054
2013-07-01,53054
2013-07-02,53054
2013-07-03,53054
2013-07-04,53054
2013-07-05,53054
2013-07-08,53054
2013-07-09,53054
2013-07-10,53054
2013-07-11,53054
2013-07-12,53054
2013-07-15,77104
2013-07-16,77104
2013-07-17,77104
2013-07-18,77104
2013-07-19,77104
2013-07-22,77104
2013-07-23,77104
2013-07-24,77104
2013-07-25,77104
2013-07-26,77104
2013-07-29,77104
2013-07-30,77104
2013-07-31,29041
2013-08-01,29041
2013-08-02,29041
2013-08-05,29041
2013-08-06,29041
2013-08-07,29041
2013-08-08,29041
2013-08-09,29041
2013-08-12,29041
2013-08-13,29041
2013-08-14,29041
2013-08-15,122398
2013-08-16,122398
2013-08-19,122398
2013-08-20,122398
2013-08-21,122398
2013-08-22,122398
2013-08-23,122398
2013-08-26,122398
2013-08-27,122398
2013-08-28,122398
2013-08-29,122398
2013-08-30,33055
2013-09-02,33055
2013-09-03,33055
2013-09-04,33055
2013-09-05,33055
2013-09-06,33055
2013-09-09,33055
2013-09-10,33055
2013-09-11,33055
2013-09-12,33055
2013-09-13,21382
2013-09-16,21382
2013-09-17,21382
2013-09-18,21382
2013-09-19,21382
2013-09-20,21382
2013-09-23,21382
2013-09-24,21382
2013-09-25,21382
2013-09-26,21382
2013-09-27,21382
2013-09-30,29634
2013-10-01,29634
2013-10-02,29634
2013-10-03,29634
2013-10-04,29634
2013-10-07,29634
2013-10-08,29634
2013-10-09,29634
2013-10-10,29634
2013-10-11,29634
2013-10-14,29634
2013-10-15,59051
2013-10-16,59051
2013-10-17,59051
2013-10-18,59051
2013-10-21,59051
2013-10-22,59051
2013-10-23,59051
2013-10-24,59051
2013-10-25,59051
2013-10-28,59051
2013-10-29,59051
2013-10-30,59051
2013-10-31,45762
2013-11-01,45762
2013-11-04,45762
2013-11-05,45762
2013-11-06,45762
2013-11-07,45762
2013-11-08,45762
2013-11-11,45762
2013-11-12,45762
2013-11-13,45762
2013-11-14,45762
2013-11-15,137936
2013-11-18,137936
2013-11-19,137936
2013-11-20,137936
2013-11-21,137936
2013-11-22,137936
2013-11-25,137936
2013-11-26,137936
2013-11-27,137936
2013-11-28,137936
2013-11-29,318216
2013-12-02,318216
2013-12-03,318216
2013-12-04,318216
2013-12-05,318216
2013-12-06,318216
2013-12-09,318216
2013-12-10,318216
2013-12-11,318216
2013-12-12,318216
2013-12-13,259472
2013-12-16,259472
2013-12-17,259472
2013-12-18,259472
2013-12-19,259472
2013-12-20,259472
2013-12-23,259472
2013-12-24,259472
2013-12-25,259472
2013-12-26,259472
2013-12-27,259472
2013-12-30,259472
2013-12-31,168923
2014-01-01,168923
2014-01-02,168923
2014-01-03,168923
2014-01-06,168923
2014-01-07,168923
2014-01-08,168923
2014-01-09,168923
2014-01-10,168923
2014-01-13,168923
2014-01-14,168923
2014-01-15,181182
2014-01-16,181182
2014-01-17,181182
2014-01-20,181182
2014-01-21,181182
2014-01-22,181182
2014-01-23,181182
2014-01-24,181182
2014-01-27,181182
2014-01-28,181182
2014-01-29,181182
2014-01-30,181182
2014-01-31,269257
2014-02-03,269257
2014-02-04,269257
2014-02-05,269257
2014-02-06,269257
2014-02-07,269257
2014-02-10,269257
2014-02-11,269257
2014-02-12,269257
2014-02-13,269257
2014-02-14,239607
2014-02-17,239607
2014-02-18,239607
2014-02-19,239607
2014-02-20,239607
2014-02-21,239607
2014-02-24,239607
2014-02-25,239607
2014-02-26,239607
2014-02-27,239607
2014-02-28,554183
2014-03-03,554183
2014-03-04,554183
2014-03-05,554183
2014-03-06,554183
2014-03-07,554183
2014-03-10,554183
2014-03-11,554183
2014-03-12,554183
2014-03-13,554183
2014-03-14,312946
2014-03-17,312946
2014-03-18,312946
2014-03-19,312946
2014-03-20,312946
2014-03-21,312946
2014-03-24,312946
2014-03-25,312946
2014-03-26,312946
2014-03-27,312946
2014-03-28,312946
2014-03-31,271902
2014-04-01,271902
2014-04-02,271902
2014-04-03,271902
2014-04-04,271902
2014-04-07,271902
2014-04-08,271902
2014-04-09,271902
2014-04-10,271902
2014-04-11,271902
2014-04-14,271902
2014-04-15,144148
2014-04-16,144148
2014-04-17,144148
2014-04-18,144148
2014-04-21,144148
2014-04-22,144148
2014-04-23,144148
2014-04-24,144148
2014-04-25,144148
2014-04-28,144148
2014-04-29,144148
2014-04-30,159262
2014-05-01,159262
2014-05-02,159262
2014-05-05,159262
2014-05-06,159262
2014-05-07,159262
2014-05-08,159262
2014-05-09,159262
2014-05-12,159262
2014-05-13,159262
2014-05-14,159262
2014-05-15,576594
2014-05-16,576594
2014-05-19,576594
2014-05-20,576594
2014-05-21,576594
2014-05-22,576594
2014-05-23,576594
2014-05-26,576594
2014-05-27,576594
2014-05-28,576594
2014-05-29,576594
2014-05-30,1028797
2014-06-02,1028797
2014-06-03,1028797
2014-06-04,1028797
2014-06-05,1028797
2014-06-06,1028797
2014-06-09,1028797
2014-06-10,1028797
2014-06-11,1028797
2014-06-12,1028797
2014-06-13,752025
2014-06-16,752025
2014-06-17,752025
2014-06-18,752025
2014-06-19,752025
2014-06-20,752025
2014-06-23,752025
2014-06-24,752025
2014-06-25,752025
2014-06-26,752025
2014-06-27,752025
2014-06-30,623878
2014-07-01,623878
2014-07-02,623878
2014-07-03,623878
