Date,short_int
2012-10-17,341208
2012-10-18,341208
2012-10-19,341208
2012-10-22,341208
2012-10-23,341208
2012-10-24,341208
2012-10-25,341208
2012-10-26,341208
2012-10-29,341208
2012-10-30,341208
2012-10-31,645269
2012-11-01,645269
2012-11-02,645269
2012-11-05,645269
2012-11-06,645269
2012-11-07,645269
2012-11-08,645269
2012-11-09,645269
2012-11-12,645269
2012-11-13,645269
2012-11-14,645269
2012-11-15,805849
2012-11-16,805849
2012-11-19,805849
2012-11-20,805849
2012-11-21,805849
2012-11-22,805849
2012-11-23,805849
2012-11-26,805849
2012-11-27,805849
2012-11-28,805849
2012-11-29,805849
2012-11-30,213180
2012-12-03,213180
2012-12-04,213180
2012-12-05,213180
2012-12-06,213180
2012-12-07,213180
2012-12-10,213180
2012-12-11,213180
2012-12-12,213180
2012-12-13,213180
2012-12-14,233674
2012-12-17,233674
2012-12-18,233674
2012-12-19,233674
2012-12-20,233674
2012-12-21,233674
2012-12-24,233674
2012-12-25,233674
2012-12-26,233674
2012-12-27,233674
2012-12-28,233674
2012-12-31,464208
2013-01-01,464208
2013-01-02,464208
2013-01-03,464208
2013-01-04,464208
2013-01-07,464208
2013-01-08,464208
2013-01-09,464208
2013-01-10,464208
2013-01-11,464208
2013-01-14,464208
2013-01-15,485615
2013-01-16,485615
2013-01-17,485615
2013-01-18,485615
2013-01-21,485615
2013-01-22,485615
2013-01-23,485615
2013-01-24,485615
2013-01-25,485615
2013-01-28,485615
2013-01-29,485615
2013-01-30,485615
2013-01-31,410466
2013-02-01,410466
2013-02-04,410466
2013-02-05,410466
2013-02-06,410466
2013-02-07,410466
2013-02-08,410466
2013-02-11,410466
2013-02-12,410466
2013-02-13,410466
2013-02-14,410466
2013-02-15,715895
2013-02-18,715895
2013-02-19,715895
2013-02-20,715895
2013-02-21,715895
2013-02-22,715895
2013-02-25,715895
2013-02-26,715895
2013-02-27,715895
2013-02-28,491930
2013-03-01,491930
2013-03-04,491930
2013-03-05,491930
2013-03-06,491930
2013-03-07,491930
2013-03-08,491930
2013-03-11,491930
2013-03-12,491930
2013-03-13,491930
2013-03-14,491930
2013-03-15,273219
2013-03-18,273219
2013-03-19,273219
2013-03-20,273219
2013-03-21,273219
2013-03-22,273219
2013-03-25,273219
2013-03-26,273219
2013-03-27,273219
2013-03-28,206375
