Date,short_int
2011-08-12,59499
2011-08-15,352491
2011-08-16,352491
2011-08-17,352491
2011-08-18,352491
2011-08-19,352491
2011-08-22,352491
2011-08-23,352491
2011-08-24,352491
2011-08-25,352491
2011-08-26,352491
2011-08-29,352491
2011-08-30,352491
2011-08-31,19669
2011-09-01,19669
2011-09-02,19669
2011-09-05,19669
2011-09-06,19669
2011-09-07,19669
2011-09-08,19669
2011-09-09,19669
2011-09-12,19669
2011-09-13,19669
2011-09-14,19669
2011-09-15,123263
2011-09-16,123263
2011-09-19,123263
2011-09-20,123263
2011-09-21,123263
2011-09-22,123263
2011-09-23,123263
2011-09-26,123263
2011-09-27,123263
2011-09-28,123263
2011-09-29,123263
2011-09-30,143581
2011-10-03,143581
2011-10-04,143581
2011-10-05,143581
2011-10-06,143581
2011-10-07,143581
2011-10-10,143581
2011-10-11,143581
2011-10-12,143581
2011-10-13,143581
2011-10-14,129736
2011-10-17,129736
2011-10-18,129736
2011-10-19,129736
2011-10-20,129736
2011-10-21,129736
2011-10-24,129736
2011-10-25,129736
2011-10-26,129736
2011-10-27,129736
2011-10-28,129736
2011-10-31,84084
2011-11-01,84084
2011-11-02,84084
2011-11-03,84084
2011-11-04,84084
2011-11-07,84084
2011-11-08,84084
2011-11-09,84084
2011-11-10,84084
2011-11-11,84084
2011-11-14,84084
2011-11-15,324496
2011-11-16,324496
2011-11-17,324496
2011-11-18,324496
2011-11-21,324496
2011-11-22,324496
2011-11-23,324496
2011-11-24,324496
2011-11-25,324496
2011-11-28,324496
2011-11-29,324496
2011-11-30,165985
2011-12-01,165985
2011-12-02,165985
2011-12-05,165985
2011-12-06,165985
2011-12-07,165985
2011-12-08,165985
2011-12-09,165985
2011-12-12,165985
2011-12-13,165985
2011-12-14,165985
2011-12-15,557443
2011-12-16,557443
2011-12-19,557443
2011-12-20,557443
2011-12-21,557443
2011-12-22,557443
2011-12-23,557443
2011-12-26,557443
2011-12-27,557443
2011-12-28,557443
2011-12-29,557443
2011-12-30,150300
2012-01-02,150300
2012-01-03,150300
2012-01-04,150300
2012-01-05,150300
2012-01-06,150300
2012-01-09,150300
2012-01-10,150300
2012-01-11,150300
2012-01-12,150300
2012-01-13,191994
2012-01-16,191994
2012-01-17,191994
2012-01-18,191994
2012-01-19,191994
2012-01-20,191994
2012-01-23,191994
2012-01-24,191994
2012-01-25,191994
2012-01-26,191994
2012-01-27,191994
2012-01-30,191994
2012-01-31,378672
2012-02-01,378672
2012-02-02,378672
2012-02-03,378672
2012-02-06,378672
2012-02-07,378672
2012-02-08,378672
2012-02-09,378672
2012-02-10,378672
2012-02-13,378672
2012-02-14,378672
2012-02-15,303631
2012-02-16,303631
2012-02-17,303631
2012-02-20,303631
2012-02-21,303631
2012-02-22,303631
2012-02-23,303631
2012-02-24,303631
2012-02-27,303631
2012-02-28,303631
2012-02-29,316683
2012-03-01,316683
2012-03-02,316683
2012-03-05,316683
2012-03-06,316683
2012-03-07,316683
2012-03-08,316683
2012-03-09,316683
2012-03-12,316683
2012-03-13,316683
2012-03-14,316683
2012-03-15,386779
2012-03-16,386779
2012-03-19,386779
2012-03-20,386779
2012-03-21,386779
2012-03-22,386779
2012-03-23,386779
2012-03-26,386779
2012-03-27,386779
2012-03-28,386779
2012-03-29,386779
2012-03-30,723773
2012-04-02,723773
2012-04-03,723773
2012-04-04,723773
2012-04-05,723773
2012-04-06,723773
2012-04-09,723773
2012-04-10,723773
2012-04-11,723773
2012-04-12,723773
2012-04-13,422413
2012-04-16,422413
2012-04-17,422413
2012-04-18,422413
2012-04-19,422413
2012-04-20,422413
2012-04-23,422413
2012-04-24,422413
2012-04-25,422413
2012-04-26,422413
2012-04-27,422413
2012-04-30,782038
2012-05-01,782038
2012-05-02,782038
2012-05-03,782038
2012-05-04,782038
2012-05-07,782038
2012-05-08,782038
2012-05-09,782038
2012-05-10,782038
2012-05-11,782038
2012-05-14,782038
2012-05-15,920036
2012-05-16,920036
2012-05-17,920036
2012-05-18,920036
2012-05-21,920036
2012-05-22,920036
2012-05-23,920036
2012-05-24,920036
2012-05-25,920036
2012-05-28,920036
2012-05-29,920036
2012-05-30,920036
2012-05-31,977708
2012-06-01,977708
2012-06-04,977708
2012-06-05,977708
2012-06-06,977708
2012-06-07,977708
2012-06-08,977708
2012-06-11,977708
2012-06-12,977708
2012-06-13,977708
2012-06-14,977708
2012-06-15,778930
2012-06-18,778930
2012-06-19,778930
2012-06-20,778930
2012-06-21,778930
2012-06-22,778930
2012-06-25,778930
2012-06-26,778930
2012-06-27,778930
2012-06-28,778930
2012-06-29,950393
2012-07-02,950393
2012-07-03,950393
2012-07-04,950393
2012-07-05,950393
2012-07-06,950393
2012-07-09,950393
2012-07-10,950393
2012-07-11,950393
2012-07-12,950393
2012-07-13,649492
2012-07-16,649492
2012-07-17,649492
