Date,Open,High,Low,Close,Adj Close,Volume
2007-11-20,47.69,48.33,47.39,47.39,39.14,400
2007-11-21,46.26,46.26,45.38,46.0,38.0,37600
2007-11-23,46.63,46.85,46.52,46.69,38.57,15800
2007-11-26,46.75,46.93,45.68,45.78,37.81,36700
2007-11-27,45.48,46.0,45.34,45.96,37.96,19500
2007-11-28,47.07,47.92,46.92,47.85,39.52,12900
2007-11-29,48.47,48.91,48.33,48.5,40.06,87900
2007-11-30,49.66,50.63,49.31,49.41,40.81,32600
2007-12-03,49.56,49.56,49.12,49.28,40.71,81700
2007-12-04,48.64,48.8,48.31,48.31,39.9,14900
2007-12-05,49.18,50.03,49.17,50.03,41.33,20200
2007-12-06,50.4,51.52,50.35,51.4,42.46,137900
2007-12-07,51.82,51.82,51.34,51.4,42.46,76000
2007-12-10,51.35,51.54,51.04,51.08,42.19,15100
2007-12-11,50.68,51.48,49.51,49.53,40.91,32300
2007-12-12,50.08,50.43,48.26,48.51,40.07,47800
2007-12-13,47.47,47.48,46.8,47.35,39.11,43700
2007-12-14,46.66,47.57,46.37,47.37,39.13,28000
2007-12-17,46.73,47.0,45.75,45.88,37.9,8900
2007-12-18,46.91,46.91,45.7,46.21,38.17,34600
2007-12-19,46.5,46.54,46.22,46.36,38.29,7300
2007-12-20,47.5,48.32,46.87,47.82,39.5,21500
2007-12-21,49.46,49.46,48.6,48.98,40.46,33200
2007-12-24,49.2,49.22,48.71,48.9,40.43,25600
2007-12-26,48.61,48.9,48.53,48.9,40.43,8000
2007-12-27,48.87,49.09,48.44,48.44,40.05,36400
2007-12-28,48.5,48.79,48.43,48.68,40.25,8000
2007-12-31,48.4,48.58,48.37,48.57,40.16,76300
2008-01-02,48.55,48.55,47.48,47.61,39.37,29800
2008-01-03,47.43,47.86,47.35,47.72,39.46,43900
2008-01-04,46.96,46.96,46.08,46.39,38.36,15800
2008-01-07,46.15,46.29,45.37,45.59,37.7,28100
2008-01-08,45.87,46.02,45.36,45.46,37.59,13200
2008-01-09,44.45,45.2,44.33,45.15,37.33,105700
2008-01-10,45.46,46.49,45.35,46.4,38.37,89400
2008-01-11,47.31,47.31,46.67,47.08,38.93,26700
2008-01-14,49.58,49.58,47.06,47.34,39.14,34300
2008-01-15,47.35,47.35,44.99,44.99,37.2,38200
2008-01-16,44.1,44.56,43.4,44.14,36.5,42700
2008-01-17,44.85,44.85,42.34,42.34,35.01,52800
2008-01-18,43.09,43.26,42.11,42.38,35.04,58200
2008-01-22,39.95,43.91,39.9,42.89,35.46,29700
