Date,Open,High,Low,Close,Adj Close,Volume
2010-02-18,82.16,82.16,82.04,82.04,64.75,1600
2010-02-19,81.96,81.96,80.04,81.84,64.59,23700
2010-02-22,81.2,81.2,80.04,80.32,63.39,1600
2010-02-23,79.8,80.0,78.24,78.64,62.06,2000
2010-02-24,79.36,79.52,78.84,79.0,62.35,1200
2010-02-25,80.08,80.56,79.52,80.48,63.52,500
2010-02-26,80.32,81.28,80.32,81.28,64.15,300
2010-03-01,80.24,80.64,80.16,80.64,63.64,1100
2010-03-02,80.68,80.68,79.96,80.04,63.17,1100
2010-03-03,81.04,82.24,81.04,81.76,64.53,2400
2010-03-04,81.64,81.64,81.64,81.64,64.43,100
2010-03-05,81.76,82.96,79.96,82.96,65.47,1800
2010-03-08,81.76,81.76,81.2,81.2,64.08,900
2010-03-09,80.32,80.8,80.0,80.64,63.64,2300
2010-03-10,81.04,81.68,80.92,81.68,64.46,800
2010-03-11,80.4,81.4,80.4,81.12,64.02,500
2010-03-12,82.2,82.2,80.88,81.48,64.31,1200
2010-03-15,77.04,77.36,74.92,76.16,60.11,6800
2010-03-16,77.52,77.6,76.8,77.56,61.21,1000
2010-03-17,77.44,78.4,77.44,78.24,61.75,1400
2010-03-18,78.32,78.36,77.88,78.12,61.65,300
2010-03-19,77.88,78.24,77.6,77.88,61.46,600
2010-03-22,76.96,77.92,76.96,77.92,61.5,800
2010-03-23,79.24,79.84,79.08,79.84,63.01,600
2010-03-24,79.64,79.64,79.64,79.64,62.85,0
2010-03-25,79.96,80.24,79.92,79.92,63.07,800
2010-03-26,80.08,80.08,79.52,79.68,62.89,300
2010-03-29,80.6,81.16,80.6,81.16,64.05,200
2010-03-30,80.4,81.2,80.4,81.2,64.08,1200
2010-03-31,80.64,81.64,80.64,80.76,63.74,500
2010-04-01,82.36,82.48,81.88,82.48,65.09,1000
2010-04-05,83.0,83.0,82.44,82.92,65.44,2000
2010-04-06,84.32,84.84,84.04,84.04,66.33,1000
2010-04-07,85.72,85.72,84.44,84.6,66.77,600
2010-04-08,85.4,86.76,85.16,86.0,67.87,5000
2010-04-09,86.36,86.8,86.2,86.68,68.41,6500
2010-04-12,87.84,87.88,87.28,87.36,68.95,700
2010-04-13,87.24,87.48,86.4,87.36,68.95,900
2010-04-14,89.68,89.68,88.0,88.64,69.96,3300
2010-04-15,88.56,88.56,87.28,87.8,69.29,600
2010-04-16,87.4,87.44,86.12,86.12,67.97,2100
2010-04-19,85.72,85.76,83.72,85.76,67.68,600
2010-04-20,87.0,87.0,86.68,86.68,68.41,100
2010-04-21,86.84,87.04,86.84,87.04,68.69,0
2010-04-22,85.12,87.08,85.12,85.76,67.68,1500
2010-04-23,85.72,87.2,85.72,87.2,68.82,13100
2010-04-26,87.76,88.56,87.68,88.56,69.89,300
2010-04-27,88.16,88.6,86.4,86.8,68.5,600
2010-04-28,86.56,87.44,85.76,86.96,68.63,1400
2010-04-29,86.32,86.8,85.6,86.72,68.44,800
2010-04-30,86.84,86.84,85.68,85.84,67.75,1500
2010-05-03,86.0,86.0,84.08,85.64,67.59,1200
2010-05-04,84.8,84.8,83.36,83.56,65.95,1000
2010-05-05,82.92,83.12,81.12,83.12,65.6,400
2010-05-06,82.04,84.32,79.64,84.32,66.55,1500
2010-05-07,81.76,82.52,79.6,80.72,63.71,3700
2010-05-10,80.44,81.8,80.36,80.36,63.42,1000
2010-05-11,81.92,81.92,78.68,80.72,63.71,200
2010-05-12,80.6,80.6,79.84,80.4,63.45,1600
2010-05-13,80.4,80.4,78.52,78.52,61.97,500
2010-05-14,79.64,79.64,77.16,77.16,60.9,1800
2010-05-17,75.76,76.28,75.08,76.0,59.98,1100
2010-05-18,77.92,78.2,75.4,76.72,60.55,600
2010-05-19,74.64,74.64,72.64,73.56,58.06,1800
2010-05-20,72.88,72.88,72.12,72.12,56.92,0
2010-05-21,71.92,72.96,70.64,72.44,57.17,500
2010-05-24,72.72,72.72,71.64,71.76,56.63,300
2010-05-25,68.48,68.52,66.6,68.16,53.79,2000
2010-05-26,69.28,71.04,69.28,69.32,54.71,600
2010-05-27,72.0,72.0,71.44,71.52,56.45,600
2010-05-28,71.8,72.0,71.12,72.0,56.82,100
2010-06-01,72.76,72.76,71.72,71.72,56.6,400
2010-06-02,71.88,71.88,71.88,71.88,56.73,0
2010-06-03,73.6,73.92,72.64,72.64,57.33,600
2010-06-04,72.0,73.72,70.6,70.6,55.72,700
2010-06-07,70.8,70.8,70.8,70.8,55.88,200
2010-06-08,72.44,72.44,71.08,71.88,56.73,1900
2010-06-09,71.8,71.8,71.8,71.8,56.67,0
2010-06-10,71.88,72.48,71.6,72.48,57.2,200
2010-06-11,72.88,72.96,72.88,72.96,57.58,1000
2010-06-14,73.48,73.48,73.2,73.2,57.77,100
2010-06-15,73.48,73.48,73.48,73.48,57.99,0
2010-06-16,73.16,73.24,73.16,73.24,57.8,1000
2010-06-17,74.88,74.88,72.24,72.4,57.14,500
2010-06-18,72.4,72.4,72.4,72.4,57.14,0
2010-06-21,72.4,72.4,72.4,72.4,57.14,0
