Date,Open,High,Low,Close,Adj Close,Volume
2010-09-29,24.75,24.96,24.75,24.94,23.21,25700
2010-09-30,25.59,25.59,24.91,24.97,23.24,9100
2010-10-01,25.21,25.21,25.05,25.17,23.42,40000
2010-10-04,25.63,25.63,25.35,25.47,23.7,121800
2010-10-05,26.14,26.14,25.54,25.9,24.1,54400
2010-10-06,25.77,25.88,25.65,25.88,24.08,41500
2010-10-07,26.21,26.25,25.78,25.91,24.11,67400
2010-10-08,25.9,25.94,25.7,25.91,24.11,17600
2010-10-11,25.81,25.81,25.5,25.55,23.78,29100
2010-10-12,25.16,25.25,24.99,25.23,23.48,67600
2010-10-13,25.25,25.55,25.25,25.53,23.76,66800
2010-10-14,25.77,25.77,25.52,25.65,23.87,36400
2010-10-15,25.83,25.83,25.37,25.55,23.78,76600
2010-10-18,25.41,25.7,25.41,25.69,23.91,51800
2010-10-19,25.12,25.21,24.95,25.03,23.29,37100
2010-10-20,25.02,25.45,25.02,25.33,23.57,61300
2010-10-21,25.74,25.8,25.45,25.61,23.83,26300
2010-10-22,25.94,25.94,25.75,25.81,24.02,20500
2010-10-25,26.16,26.16,26.0,26.07,24.26,52300
2010-10-26,25.85,25.93,25.7,25.87,24.07,35900
2010-10-27,25.61,25.85,25.61,25.85,24.06,26000
2010-10-28,26.08,26.08,25.76,25.83,24.04,15500
2010-10-29,25.95,26.1,25.95,26.09,24.28,10400
2010-11-01,26.28,26.34,25.9,26.0,24.2,60700
2010-11-02,26.81,26.81,26.64,26.73,24.87,30300
2010-11-03,27.06,27.1,26.86,27.04,25.16,36700
2010-11-04,27.47,27.52,27.35,27.5,25.59,32000
2010-11-05,26.73,26.83,26.65,26.81,24.95,42700
2010-11-08,26.07,26.07,25.9,26.0,24.2,58500
2010-11-09,26.0,26.0,25.55,25.65,23.87,58000
2010-11-10,25.46,25.46,25.01,25.37,23.61,24700
2010-11-11,24.52,24.53,24.35,24.51,22.81,46500
2010-11-12,24.24,24.24,23.82,23.9,22.24,61100
2010-11-15,24.26,24.59,24.26,24.39,22.7,24700
2010-11-16,24.36,24.36,23.88,23.93,22.27,31400
2010-11-17,23.91,24.0,23.89,23.93,22.27,7200
2010-11-18,24.35,24.46,24.32,24.41,22.72,123300
2010-11-19,24.59,24.59,24.38,24.59,22.88,18400
2010-11-22,24.19,24.27,24.09,24.21,22.53,21200
2010-11-23,23.99,23.99,23.74,23.81,22.16,26300
2010-11-24,23.78,24.14,23.78,24.12,22.45,27000
2010-11-26,23.38,23.38,22.99,23.3,21.68,15400
2010-11-29,23.29,23.4,23.14,23.39,21.77,40100
2010-11-30,22.91,23.03,22.7,22.92,21.33,44800
2010-12-01,23.46,23.75,23.46,23.67,22.03,37300
2010-12-02,24.19,24.44,24.08,24.44,22.74,80200
2010-12-03,24.28,24.45,24.27,24.45,22.75,62100
2010-12-06,24.71,24.77,24.64,24.74,23.02,71800
2010-12-07,24.89,24.89,24.71,24.72,23.0,91800
2010-12-08,24.78,24.88,24.74,24.85,23.13,25800
2010-12-09,24.87,24.93,24.69,24.88,23.15,25500
2010-12-10,24.42,24.52,24.31,24.5,22.8,20900
2010-12-13,24.12,24.37,24.12,24.3,22.61,49900
2010-12-14,24.51,24.56,24.38,24.49,22.79,21200
2010-12-15,24.1,24.1,23.88,23.9,22.24,61300
2010-12-16,23.54,23.59,23.4,23.59,21.95,58100
2010-12-17,23.57,23.57,23.45,23.57,21.93,66700
2010-12-20,23.65,23.65,23.51,23.61,21.97,10600
2010-12-21,23.68,23.76,23.64,23.75,22.12,11900
2010-12-22,23.9,23.99,23.89,23.94,22.29,19000
2010-12-23,24.29,24.29,24.19,24.23,22.56,8700
2010-12-27,24.39,24.39,24.22,24.34,22.67,8200
2010-12-28,24.4,24.4,24.32,24.35,22.67,20300
2010-12-29,24.76,24.76,24.6,24.63,22.94,11600
2010-12-30,24.87,24.87,24.7,24.8,23.09,43200
2010-12-31,24.79,24.95,24.77,24.93,23.21,18800
2011-01-03,25.05,25.19,25.04,25.13,23.4,38700
2011-01-04,25.18,25.18,24.95,25.09,23.36,29400
2011-01-05,24.92,25.1,24.89,25.1,23.37,43100
2011-01-06,24.96,24.97,24.82,24.96,23.24,32800
2011-01-07,24.74,24.8,24.58,24.66,22.96,27000
2011-01-10,23.9,23.95,23.8,23.94,22.29,35700
2011-01-11,23.71,23.72,23.58,23.62,21.99,40900
2011-01-12,23.93,24.02,23.9,24.02,22.37,20300
2011-01-13,23.94,23.94,23.8,23.82,22.18,33000
2011-01-14,23.94,24.26,23.88,24.18,22.52,43600
2011-01-18,23.58,23.65,23.54,23.58,21.96,35800
2011-01-19,23.51,23.52,23.27,23.28,21.68,7700
2011-01-20,23.02,23.11,22.96,23.11,21.52,21300
2011-01-21,22.95,22.95,22.7,22.72,21.16,36100
2011-01-24,22.52,22.52,22.29,22.45,20.91,49800
2011-01-25,22.63,22.71,22.55,22.67,21.11,11400
2011-01-26,22.81,22.86,22.69,22.83,21.26,34400
2011-01-27,23.1,23.18,23.08,23.1,21.51,29700
2011-01-28,23.03,23.03,22.54,22.59,21.04,64700
2011-01-31,22.43,22.5,22.2,22.33,20.79,46300
2011-02-01,22.11,22.33,22.07,22.32,20.78,26600
2011-02-02,22.5,22.63,22.5,22.58,21.03,49200
2011-02-03,22.57,22.71,22.57,22.7,21.14,43300
2011-02-04,22.67,22.72,22.57,22.7,21.14,20000
2011-02-07,22.83,22.97,22.83,22.93,21.35,42800
2011-02-08,22.87,23.01,22.83,23.01,21.43,9500
2011-02-09,22.62,22.64,22.5,22.63,21.07,94500
2011-02-10,21.8,21.8,21.59,21.8,20.3,109400
2011-02-11,21.79,21.87,21.63,21.86,20.36,29800
2011-02-14,22.07,22.09,21.93,22.0,20.49,31000
2011-02-15,22.0,22.0,21.9,21.95,20.44,10300
