Date,Open,High,Low,Close,Adj Close,Volume
2009-06-22,24.44,24.44,24.44,24.44,19.51,500
2009-06-23,24.07,24.56,24.07,24.49,19.55,11600
2009-06-24,24.6,25.43,24.59,25.02,19.98,67800
2009-06-25,25.1,25.8,25.09,25.76,20.57,62400
2009-06-26,25.79,27.2,25.5,25.71,20.53,101600
2009-06-29,25.81,26.05,25.55,25.85,20.64,45400
2009-06-30,25.65,25.76,25.25,25.33,20.22,38900
2009-07-01,25.43,25.94,25.43,25.88,20.66,27200
2009-07-02,25.97,25.97,25.2,25.47,20.34,69400
2009-07-06,25.07,25.1,24.61,24.87,19.86,25900
2009-07-07,24.79,24.8,24.57,24.59,19.63,21100
2009-07-08,24.25,24.51,23.79,24.02,19.18,22000
2009-07-09,24.29,24.64,24.29,24.39,19.47,14600
2009-07-10,24.55,24.55,24.11,24.24,19.35,6200
2009-07-13,24.25,24.67,24.01,24.64,19.67,40400
2009-07-14,29.48,29.48,24.8,25.01,19.97,51500
2009-07-15,25.08,25.7,25.08,25.68,20.5,42200
2009-07-16,25.66,25.75,25.45,25.62,20.46,50000
2009-07-17,25.5,25.86,25.5,25.77,20.58,80300
2009-07-20,25.96,26.58,25.96,26.57,21.21,110100
2009-07-21,26.72,27.74,26.17,26.61,21.25,26000
2009-07-22,26.6,26.83,26.51,26.74,21.35,30100
2009-07-23,26.86,27.59,26.86,27.59,22.03,54400
2009-07-24,27.66,27.66,27.31,27.42,21.89,36500
2009-07-27,27.92,27.96,27.28,27.84,22.23,65400
2009-07-28,27.54,27.93,26.85,27.55,22.0,65900
2009-07-29,27.1,27.1,26.55,26.83,21.42,30500
2009-07-30,27.2,27.4,27.19,27.25,21.76,44000
2009-07-31,27.37,27.79,27.37,27.78,22.18,30200
2009-08-03,29.02,29.02,28.31,28.65,22.88,19400
2009-08-04,28.5,29.14,28.34,29.12,23.25,21800
2009-08-05,29.06,29.06,28.66,28.88,23.06,16400
2009-08-06,28.97,28.97,28.18,28.31,22.6,44000
2009-08-07,28.26,28.51,28.19,28.35,22.64,87500
2009-08-10,28.42,28.68,27.86,28.02,22.37,26300
2009-08-11,27.95,27.95,27.61,27.87,22.25,46100
2009-08-12,27.81,28.28,27.76,28.23,22.54,853500
2009-08-13,28.36,28.95,28.36,28.95,23.12,20000
2009-08-14,29.34,29.34,28.49,28.59,22.83,28600
2009-08-17,27.71,28.0,27.55,27.74,22.15,30500
2009-08-18,28.1,28.79,27.91,28.02,22.37,13100
2009-08-19,28.0,28.34,27.87,28.25,22.56,2900
2009-08-20,28.25,28.6,28.25,28.58,22.82,63100
2009-08-21,28.68,29.0,28.63,28.88,23.06,55100
2009-08-24,28.91,29.11,28.84,28.91,23.08,85500
2009-08-25,28.83,29.0,28.63,28.8,23.0,45600
2009-08-26,28.89,28.89,28.55,28.69,22.91,15300
2009-08-27,28.5,28.82,28.3,28.73,22.94,22700
2009-08-28,29.6,29.6,28.82,28.83,23.02,17700
2009-08-31,28.62,28.69,28.27,28.27,22.57,6600
2009-09-01,28.5,28.56,27.72,27.76,22.17,21100
2009-09-02,27.72,28.14,27.72,28.14,22.47,12900
2009-09-03,28.43,28.83,28.43,28.78,22.98,27700
2009-09-04,28.71,28.96,28.49,28.95,23.12,20000
2009-09-08,29.26,29.57,29.26,29.57,23.61,28700
2009-09-09,29.26,29.58,29.26,29.38,23.46,8200
2009-09-10,29.37,29.67,29.31,29.67,23.69,8800
2009-09-11,29.6,29.92,29.58,29.73,23.74,13000
2009-09-14,30.62,30.62,29.49,29.89,23.87,4300
2009-09-15,29.94,30.44,29.94,30.41,24.28,43300
2009-09-16,30.64,31.37,30.62,31.35,25.03,15900
2009-09-17,31.75,31.75,31.03,31.43,25.1,24300
2009-09-18,31.57,31.66,30.99,31.66,25.28,14200
2009-09-21,31.4,32.95,31.0,31.55,25.19,40400
2009-09-22,32.42,32.55,31.77,32.55,25.99,19400
2009-09-23,32.59,32.68,32.24,32.25,25.75,20000
2009-09-24,33.43,33.43,31.66,31.79,25.38,18800
2009-09-25,31.79,31.81,31.42,31.73,25.33,23400
2009-09-28,31.58,32.12,31.58,31.86,25.44,17700
2009-09-29,32.15,32.17,31.9,32.04,25.58,32900
2009-09-30,32.58,32.58,31.77,32.3,25.79,7600
2009-10-01,32.56,32.56,31.26,31.47,25.13,23500
2009-10-02,31.24,31.5,30.5,31.3,24.99,19000
2009-10-05,31.37,31.94,31.37,31.92,25.49,28500
2009-10-06,32.1,33.15,32.1,32.86,26.24,39800
2009-10-07,32.76,33.0,32.56,33.0,26.35,31500
2009-10-08,33.32,34.08,33.22,33.75,26.95,86500
2009-10-09,34.0,34.87,33.25,33.84,27.02,29700
2009-10-12,34.46,34.46,33.56,33.97,27.12,20300
2009-10-13,34.0,34.04,33.64,33.69,26.9,60700
2009-10-14,34.55,34.82,33.92,34.16,27.28,35200
2009-10-15,34.03,34.45,33.71,34.24,27.34,38300
2009-10-16,34.0,34.48,33.8,34.18,27.29,27800
2009-10-19,34.1,34.11,33.79,33.9,27.07,25500
2009-10-20,33.96,34.0,33.54,33.67,26.88,15400
2009-10-21,33.78,34.41,33.78,34.03,27.17,22200
2009-10-22,34.01,34.96,33.75,34.35,27.43,42000
2009-10-23,34.79,34.79,33.92,33.94,27.1,14300
2009-10-26,34.1,34.49,33.51,33.6,26.83,17300
2009-10-27,33.63,33.63,32.65,32.65,26.07,14200
2009-10-28,32.71,32.71,31.16,31.27,24.97,59100
2009-10-29,31.5,32.68,31.5,32.32,25.81,24500
2009-10-30,32.41,32.52,30.5,31.0,24.75,44700
2009-11-02,31.43,31.88,31.06,31.4,25.07,24800
2009-11-03,31.43,31.8,31.11,31.72,25.33,11100
2009-11-04,32.35,32.68,32.01,32.06,25.6,14000
2009-11-05,32.29,32.34,32.1,32.17,25.69,16200
2009-11-06,32.34,32.45,30.78,32.21,25.72,6200
2009-11-09,32.79,33.08,32.79,32.99,26.34,37900
2009-11-10,32.83,32.84,32.58,32.84,26.22,12000
2009-11-11,33.18,33.2,32.83,32.89,26.26,21500
2009-11-12,32.87,32.88,32.25,32.31,25.8,23900
2009-11-13,32.34,32.7,32.32,32.67,26.09,37300
2009-11-16,32.62,33.62,32.62,33.49,26.74,22900
2009-11-17,33.36,33.58,33.08,33.55,26.79,34200
2009-11-18,33.62,33.66,33.33,33.42,26.68,31900
2009-11-19,33.42,33.58,33.0,33.58,26.81,15100
2009-11-20,33.07,33.28,32.99,33.19,26.5,157900
2009-11-23,34.01,34.07,33.53,33.65,26.87,51300
2009-11-24,33.66,33.66,33.18,33.35,26.63,66100
2009-11-25,33.63,33.92,33.53,33.75,26.95,19500
2009-11-27,33.41,33.41,31.95,32.75,26.15,24000
2009-11-30,33.23,33.29,32.59,33.1,26.43,43300
2009-12-01,33.95,33.95,33.36,33.61,26.84,31500
2009-12-02,33.73,34.03,33.5,33.93,27.13,50900
2009-12-03,34.0,34.0,33.28,33.28,26.61,29700
2009-12-04,33.38,33.52,32.7,32.98,26.37,34700
2009-12-07,32.98,32.98,32.5,32.51,25.99,39000
2009-12-08,32.57,33.0,31.8,31.88,25.49,65000
2009-12-09,32.2,32.52,31.92,32.49,25.98,14400
2009-12-10,33.34,33.34,32.4,32.54,26.02,12000
2009-12-11,32.9,32.9,32.35,32.43,25.93,13500
2009-12-14,32.78,32.79,32.62,32.71,26.15,4700
2009-12-15,32.44,32.89,32.36,32.5,25.99,29100
2009-12-16,32.78,33.02,32.51,32.56,26.03,9600
2009-12-17,32.7,32.7,31.8,32.0,25.59,14800
2009-12-18,31.87,32.34,31.85,32.03,25.61,9700
2009-12-21,32.35,32.35,31.59,31.61,25.28,8600
2009-12-22,31.59,31.81,31.42,31.77,25.4,9200
2009-12-23,32.02,32.59,32.02,32.53,26.01,4300
2009-12-24,32.71,32.75,32.6,32.64,26.1,6400
2009-12-28,32.75,32.75,32.49,32.49,25.98,8700
2009-12-29,32.49,32.64,31.42,32.53,26.08,10100
2009-12-30,32.5,32.5,32.18,32.43,26.0,10500
2009-12-31,32.65,32.7,32.26,32.7,26.21,33400
2010-01-04,32.7,33.75,32.67,33.38,26.76,87800
