Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,10.12,10.12,10.0,10.0,3.78,35200
1996-03-19,10.12,10.12,10.12,10.12,3.83,500
1996-03-20,10.12,10.12,10.12,10.12,3.83,500
1996-03-21,10.25,10.25,10.25,10.25,3.87,37700
1996-03-22,10.25,10.25,10.25,10.25,3.87,600
1996-03-25,10.25,10.25,10.25,10.25,3.87,500
1996-03-26,10.25,10.25,10.25,10.25,3.87,0
1996-03-27,10.25,10.25,10.25,10.25,3.87,400
1996-03-28,10.25,10.25,10.25,10.25,3.87,100
1996-03-29,10.12,10.25,10.12,10.25,3.87,200200
1996-04-01,10.38,10.38,10.38,10.38,3.92,900
1996-04-02,10.38,10.38,10.38,10.38,3.92,3700
1996-04-03,10.25,10.25,10.19,10.25,3.87,5300
1996-04-04,10.38,10.38,10.38,10.38,3.92,100
1996-04-08,10.12,10.19,10.12,10.19,3.85,10300
1996-04-09,10.31,10.31,10.31,10.31,3.9,10000
1996-04-10,10.31,10.38,10.25,10.25,3.87,8600
1996-04-11,10.25,10.25,10.25,10.25,3.87,0
1996-04-12,10.25,10.25,10.25,10.25,3.87,0
1996-04-15,10.38,10.5,10.38,10.5,3.97,65300
1996-04-16,10.5,10.5,10.38,10.44,3.95,16000
1996-04-17,10.44,10.44,10.44,10.44,3.95,1300
1996-04-18,10.38,10.5,10.38,10.5,3.97,19200
1996-04-19,10.5,10.5,10.5,10.5,3.97,2200
1996-04-22,10.56,10.56,10.5,10.5,3.97,1400
1996-04-23,10.62,10.69,10.62,10.62,4.02,246000
1996-04-24,10.69,10.69,10.69,10.69,4.04,5400
1996-04-25,10.69,10.75,10.69,10.69,4.04,21100
1996-04-26,10.81,10.88,10.75,10.81,4.09,51800
1996-04-29,10.88,10.88,10.69,10.75,4.06,35900
1996-04-30,10.69,10.69,10.69,10.69,4.04,1600
1996-05-01,10.69,10.69,10.62,10.69,4.04,3900
1996-05-02,10.75,10.88,10.69,10.81,4.09,145600
1996-05-03,10.81,10.81,10.75,10.81,4.09,19000
1996-05-06,10.88,10.88,10.75,10.75,4.06,51500
