Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,10.31,10.31,10.31,10.31,4.95,500
1996-03-19,10.38,10.38,10.38,10.38,4.98,200
1996-03-20,10.38,10.38,10.38,10.38,4.98,0
1996-03-21,10.38,10.38,10.38,10.38,4.98,0
1996-03-22,10.38,10.38,10.38,10.38,4.98,0
1996-03-25,10.38,10.38,10.38,10.38,4.98,200
1996-03-26,10.38,10.38,10.38,10.38,4.98,0
1996-03-27,10.38,10.38,10.38,10.38,4.98,10100
1996-03-28,10.38,10.38,10.38,10.38,4.98,0
1996-03-29,10.44,10.44,10.44,10.44,5.01,100
1996-04-01,10.44,10.44,10.44,10.44,5.01,300
1996-04-02,10.5,10.5,10.5,10.5,5.04,1000
1996-04-03,10.5,10.5,10.5,10.5,5.04,100300
1996-04-04,10.5,10.5,10.5,10.5,5.04,0
1996-04-08,10.5,10.5,10.5,10.5,5.04,0
1996-04-09,10.5,10.5,10.5,10.5,5.04,0
1996-04-10,10.62,10.62,10.62,10.62,5.1,900
1996-04-11,10.5,10.5,10.5,10.5,5.04,1000
1996-04-12,10.5,10.5,10.5,10.5,5.04,100
1996-04-15,10.5,10.5,10.5,10.5,5.04,400
1996-04-16,10.62,10.62,10.62,10.62,5.1,1500
1996-04-17,10.62,10.75,10.62,10.75,5.16,18700
1996-04-18,10.88,10.88,10.62,10.62,5.1,2600
1996-04-19,10.75,10.75,10.75,10.75,5.16,400
1996-04-22,10.88,10.88,10.75,10.75,5.16,3300
1996-04-23,10.75,10.75,10.75,10.75,5.16,10000
1996-04-24,10.81,10.81,10.75,10.75,5.16,23000
1996-04-25,10.75,10.75,10.75,10.75,5.16,3000
1996-04-26,10.75,10.81,10.75,10.81,5.19,12500
1996-04-29,10.88,10.88,10.81,10.88,5.22,2900
1996-04-30,10.81,10.81,10.81,10.81,5.19,4800
1996-05-01,10.75,10.75,10.75,10.75,5.16,1200
1996-05-02,10.75,10.75,10.62,10.62,5.1,6200
1996-05-03,10.69,10.69,10.69,10.69,5.13,500
1996-05-06,10.69,10.75,10.69,10.69,5.13,2400
1996-05-07,10.69,10.69,10.69,10.69,5.13,0
1996-05-08,10.69,10.69,10.69,10.69,5.13,6600
1996-05-09,10.69,10.69,10.69,10.69,5.13,0
