Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,13.88,14.06,13.88,13.94,5.21,40100
1996-03-19,14.0,14.0,14.0,14.0,5.24,10000
1996-03-20,14.0,14.0,14.0,14.0,5.24,0
1996-03-21,14.0,14.0,14.0,14.0,5.24,0
1996-03-22,14.0,14.0,14.0,14.0,5.24,300
1996-03-25,14.12,14.12,14.06,14.06,5.26,27300
1996-03-26,14.12,14.12,14.12,14.12,5.28,800
1996-03-27,14.12,14.12,14.12,14.12,5.28,1400
1996-03-28,14.12,14.12,14.12,14.12,5.28,0
1996-03-29,13.81,13.88,13.81,13.88,5.19,500
1996-04-01,13.88,13.88,13.88,13.88,5.19,0
1996-04-02,13.88,13.88,13.88,13.88,5.19,0
1996-04-03,13.88,13.88,13.88,13.88,5.19,0
1996-04-04,13.88,13.88,13.88,13.88,5.19,0
1996-04-08,13.31,13.31,13.31,13.31,4.98,2000
1996-04-09,13.31,13.31,13.31,13.31,4.98,0
1996-04-10,13.5,13.5,13.5,13.5,5.05,400
1996-04-11,13.62,13.62,13.5,13.5,5.05,5300
1996-04-12,13.5,13.5,13.5,13.5,5.05,0
1996-04-15,13.62,13.62,13.62,13.62,5.1,200
1996-04-16,13.5,13.5,13.5,13.5,5.05,1200
1996-04-17,13.38,13.38,13.38,13.38,5.0,200
1996-04-18,13.5,13.56,13.5,13.56,5.07,1600
1996-04-19,13.88,13.88,13.88,13.88,5.19,1700
1996-04-22,14.0,14.0,14.0,14.0,5.24,1600
1996-04-23,14.0,14.0,14.0,14.0,5.24,61900
1996-04-24,13.94,13.94,13.94,13.94,5.21,200
1996-04-25,13.81,13.94,13.81,13.88,5.19,22400
1996-04-26,13.88,13.88,13.88,13.88,5.19,0
1996-04-29,13.94,13.94,13.94,13.94,5.21,200
1996-04-30,13.94,13.94,13.94,13.94,5.21,0
1996-05-01,13.94,13.94,13.94,13.94,5.21,0
1996-05-02,13.88,13.94,13.88,13.88,5.19,4200
1996-05-03,13.88,13.94,13.88,13.94,5.21,3900
1996-05-06,14.06,14.06,14.06,14.06,5.26,1500
1996-05-07,14.0,14.0,14.0,14.0,5.24,10900
1996-05-08,14.0,14.0,14.0,14.0,5.24,2400
1996-05-09,13.88,13.88,13.88,13.88,5.19,800
1996-05-10,13.88,13.88,13.88,13.88,5.19,0
1996-05-13,13.88,13.88,13.81,13.81,5.17,20000
1996-05-14,14.0,14.19,14.0,14.19,5.31,13500
1996-05-15,14.0,14.0,14.0,14.0,5.24,5000
1996-05-16,14.12,14.12,14.12,14.12,5.28,300
1996-05-17,14.25,14.25,14.25,14.25,5.33,2500
1996-05-20,14.25,14.25,14.25,14.25,5.33,0
1996-05-21,14.31,14.31,14.31,14.31,5.35,600
1996-05-22,14.31,14.31,14.31,14.31,5.35,15700
1996-05-23,14.31,14.31,14.25,14.25,5.33,3900
1996-05-24,14.25,14.25,14.25,14.25,5.33,2100
1996-05-28,14.31,14.31,14.31,14.31,5.35,2500
1996-05-29,14.19,14.19,14.19,14.19,5.31,1300
1996-05-30,14.5,14.5,14.38,14.44,5.4,1700
1996-05-31,14.44,14.44,14.44,14.44,5.4,0
1996-06-03,14.44,14.44,14.44,14.44,5.4,0
1996-06-04,14.75,14.75,14.75,14.75,5.52,300
1996-06-05,14.88,14.88,14.88,14.88,5.56,6000
1996-06-06,14.88,14.88,14.88,14.88,5.56,0
1996-06-07,14.69,14.69,14.69,14.69,5.49,2000
1996-06-10,14.5,14.5,14.5,14.5,5.42,100
1996-06-11,15.0,15.0,15.0,15.0,5.61,100
1996-06-12,15.0,15.0,15.0,15.0,5.61,0
1996-06-13,15.0,15.0,15.0,15.0,5.61,0
1996-06-14,15.0,15.0,15.0,15.0,5.61,0
1996-06-17,14.75,14.88,14.75,14.81,5.54,8800
1996-06-18,14.81,14.81,14.81,14.81,5.54,0
1996-06-19,14.88,14.88,14.88,14.88,5.56,100
1996-06-20,14.94,14.94,14.94,14.94,5.59,100
1996-06-21,15.0,15.0,15.0,15.0,5.61,200
1996-06-24,15.12,15.12,14.88,14.88,5.56,1500
1996-06-25,14.88,14.88,14.88,14.88,5.56,0
1996-06-26,14.88,14.88,14.88,14.88,5.56,200
1996-06-27,14.69,14.69,14.69,14.69,5.49,3400
1996-06-28,14.69,14.69,14.69,14.69,5.49,0
1996-07-01,14.69,14.69,14.69,14.69,5.49,0
1996-07-02,14.69,14.69,14.69,14.69,5.49,0
1996-07-03,14.69,14.69,14.69,14.69,5.49,0
1996-07-05,14.75,14.75,14.75,14.75,5.52,100
1996-07-08,14.75,14.75,14.75,14.75,5.52,0
1996-07-09,14.5,14.5,14.5,14.5,5.42,16600
1996-07-10,14.44,14.62,14.38,14.62,5.47,34600
1996-07-11,14.62,14.62,14.62,14.62,5.47,0
1996-07-12,14.62,14.62,14.62,14.62,5.47,0
1996-07-15,14.62,14.62,14.62,14.62,5.47,0
1996-07-16,14.62,14.62,14.62,14.62,5.47,0
1996-07-17,14.62,14.62,14.62,14.62,5.47,0
1996-07-18,14.25,14.25,14.25,14.25,5.33,2900
1996-07-19,14.38,14.38,14.38,14.38,5.38,200
1996-07-22,14.38,14.38,14.38,14.38,5.38,0
1996-07-23,13.94,13.94,13.94,13.94,5.21,200
1996-07-24,13.94,13.94,13.69,13.69,5.12,1000
1996-07-25,13.94,13.94,13.94,13.94,5.21,100
1996-07-26,13.88,13.88,13.88,13.88,5.19,200
1996-07-29,13.88,13.88,13.88,13.88,5.19,0
1996-07-30,14.0,14.06,14.0,14.06,5.26,2900
1996-07-31,14.12,14.19,14.12,14.19,5.31,3300
1996-08-01,14.44,14.44,14.38,14.38,5.38,4000
1996-08-02,14.62,14.62,14.62,14.62,5.47,3000
1996-08-05,14.62,14.62,14.5,14.5,5.42,8100
1996-08-06,14.5,14.5,14.5,14.5,5.42,0
1996-08-07,14.5,14.5,14.5,14.5,5.42,0
1996-08-08,14.69,14.69,14.69,14.69,5.49,300
1996-08-09,14.75,14.75,14.75,14.75,5.52,300
1996-08-12,14.75,14.75,14.56,14.56,5.45,7400
1996-08-13,14.69,14.69,14.69,14.69,5.49,200
1996-08-14,14.81,14.81,14.81,14.81,5.54,400
1996-08-15,14.88,14.88,14.75,14.75,5.52,900
1996-08-16,14.75,14.75,14.75,14.75,5.52,0
1996-08-19,14.75,14.75,14.75,14.75,5.52,0
1996-08-20,14.88,14.88,14.88,14.88,5.56,100
1996-08-21,14.88,14.88,14.88,14.88,5.56,100
1996-08-22,15.06,15.06,15.06,15.06,5.63,600
1996-08-23,15.06,15.06,15.0,15.0,5.61,200
1996-08-26,14.94,14.94,14.81,14.81,5.7,15000
1996-08-27,14.88,14.88,14.88,14.88,5.72,12900
1996-08-28,14.62,14.62,14.62,14.62,5.63,2900
1996-08-29,14.62,14.62,14.62,14.62,5.63,20000
1996-08-30,14.62,14.62,14.62,14.62,5.63,0
1996-09-03,14.31,14.31,14.31,14.31,5.51,3400
1996-09-04,14.38,14.38,14.38,14.38,5.53,7500
1996-09-05,14.38,14.38,14.38,14.38,5.53,0
1996-09-06,14.38,14.38,14.38,14.38,5.53,0
1996-09-09,14.88,14.88,14.88,14.88,5.72,100
1996-09-10,14.88,14.88,14.88,14.88,5.72,0
1996-09-11,14.88,14.88,14.88,14.88,5.72,0
1996-09-12,14.69,14.69,14.69,14.69,5.65,200
1996-09-13,15.06,15.06,15.06,15.06,5.8,200
1996-09-16,15.19,15.19,15.0,15.19,5.84,2500
1996-09-17,15.0,15.0,15.0,15.0,5.77,1200
1996-09-18,15.0,15.0,15.0,15.0,5.77,0
1996-09-19,15.0,15.0,15.0,15.0,5.77,300
1996-09-20,15.0,15.0,15.0,15.0,5.77,0
1996-09-23,15.0,15.0,15.0,15.0,5.77,600
1996-09-24,15.06,15.12,15.06,15.12,5.82,2200
1996-09-25,15.12,15.12,15.12,15.12,5.82,0
1996-09-26,15.12,15.12,15.12,15.12,5.82,0
1996-09-27,15.06,15.25,15.06,15.25,5.87,2100
1996-09-30,15.25,15.25,15.25,15.25,5.87,3000
1996-10-01,15.5,15.5,15.31,15.5,5.96,18600
1996-10-02,15.5,15.5,15.5,15.5,5.96,0
1996-10-03,15.5,15.56,15.5,15.56,5.99,300
1996-10-04,15.75,15.75,15.75,15.75,6.06,300
1996-10-07,15.75,15.75,15.75,15.75,6.06,0
1996-10-08,15.75,15.88,15.75,15.88,6.11,10500
1996-10-09,16.06,16.06,15.75,15.94,6.13,16400
1996-10-10,15.94,15.94,15.94,15.94,6.13,0
1996-10-11,15.94,15.94,15.94,15.94,6.13,0
1996-10-14,15.94,15.94,15.94,15.94,6.13,0
1996-10-15,15.88,15.88,15.88,15.88,6.11,20000
1996-10-16,15.75,15.75,15.75,15.75,6.06,20800
1996-10-17,15.75,15.88,15.75,15.88,6.11,24900
1996-10-18,16.12,16.19,16.12,16.19,6.23,400
1996-10-21,16.25,16.25,16.25,16.25,6.25,300
1996-10-22,16.25,16.31,16.25,16.31,6.28,9700
1996-10-23,16.19,16.19,16.12,16.19,6.23,5500
1996-10-24,16.19,16.19,16.19,16.19,6.23,5700
1996-10-25,16.19,16.19,16.19,16.19,6.23,10100
1996-10-28,16.31,16.31,16.31,16.31,6.28,9200
1996-10-29,16.25,16.25,16.12,16.19,6.23,3300
1996-10-30,15.75,15.75,15.75,15.75,6.06,500
1996-10-31,15.88,15.88,15.88,15.88,6.11,700
1996-11-01,16.0,16.0,15.75,16.0,6.16,1500
1996-11-04,16.0,16.0,16.0,16.0,6.16,0
1996-11-05,16.0,16.0,16.0,16.0,6.16,0
1996-11-06,16.12,16.19,16.12,16.19,6.23,1000
1996-11-07,16.12,16.12,16.12,16.12,6.2,100
1996-11-08,16.12,16.12,16.12,16.12,6.2,0
1996-11-11,16.06,16.19,15.94,16.19,6.23,2500
1996-11-12,16.06,16.06,16.06,16.06,6.18,600
1996-11-13,16.12,16.12,16.12,16.12,6.2,600
1996-11-14,16.38,16.44,16.38,16.44,6.32,300
1996-11-15,16.62,16.62,16.62,16.62,6.4,800
1996-11-18,16.75,16.81,16.75,16.81,6.47,1500
1996-11-19,16.69,16.75,16.44,16.44,6.32,4300
1996-11-20,16.44,16.62,16.44,16.62,6.4,600
1996-11-21,16.88,16.88,16.88,16.88,6.49,3500
1996-11-22,17.06,17.06,17.06,17.06,6.56,1400
1996-11-25,17.25,17.25,17.25,17.25,6.64,1800
1996-11-26,17.0,17.0,16.75,16.75,6.44,1800
1996-11-27,16.75,16.75,16.75,16.75,6.44,200
1996-11-29,17.12,17.12,16.88,16.88,6.49,400
1996-12-02,17.06,17.06,16.88,17.06,6.56,1900
1996-12-03,17.06,17.06,17.06,17.06,6.56,0
1996-12-04,16.88,16.94,16.88,16.94,6.52,600
1996-12-05,16.69,16.69,16.69,16.69,6.42,300
1996-12-06,16.56,16.56,16.56,16.56,6.37,20600
1996-12-09,16.81,16.81,16.81,16.81,6.47,700
1996-12-10,16.81,16.81,16.81,16.81,6.47,0
1996-12-11,16.62,16.62,16.38,16.38,6.3,1100
1996-12-12,16.38,16.38,16.38,16.38,6.3,0
1996-12-13,16.5,16.5,16.5,16.5,6.35,400
1996-12-16,16.38,16.69,16.38,16.69,6.42,800
1996-12-17,16.44,16.44,16.19,16.19,6.23,4200
