Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,54.0,54.0,54.0,54.0,19.31,0
1996-03-19,54.5,54.5,54.5,54.5,19.49,100
1996-03-20,54.5,54.5,54.5,54.5,19.49,1500
1996-03-21,54.5,54.5,54.5,54.5,19.49,0
1996-03-22,55.5,55.5,55.5,55.5,19.85,400
1996-03-25,56.0,56.0,56.0,56.0,20.03,100
1996-03-26,56.0,56.0,55.5,55.5,19.85,2200
1996-03-27,55.25,56.0,55.0,55.0,19.67,5200
1996-03-28,55.0,55.0,55.0,55.0,19.67,0
1996-03-29,55.5,55.5,55.25,55.25,19.76,18800
1996-04-01,55.5,55.5,55.5,55.5,19.85,0
1996-04-02,55.5,55.75,55.5,55.5,19.85,8000
1996-04-03,56.0,56.0,56.0,56.0,20.03,1300
1996-04-04,56.0,56.0,56.0,56.0,20.03,100
1996-04-08,55.0,55.0,55.0,55.0,19.67,1200
1996-04-09,55.5,55.5,55.5,55.5,19.85,100
1996-04-10,55.0,55.5,54.5,54.5,19.49,10200
1996-04-11,55.0,55.0,54.5,54.5,19.49,7200
1996-04-12,55.0,55.0,55.0,55.0,19.67,2500
1996-04-15,55.5,56.0,55.5,56.0,20.03,5500
1996-04-16,56.0,56.25,56.0,56.0,20.03,2500
1996-04-17,56.5,56.5,56.0,56.0,20.03,2500
1996-04-18,56.0,56.0,56.0,56.0,20.03,0
1996-04-19,56.75,56.75,56.75,56.75,20.29,300
1996-04-22,57.5,57.5,57.0,57.0,20.38,6100
1996-04-23,57.25,57.25,57.0,57.25,20.47,1600
1996-04-24,57.5,57.5,57.0,57.0,20.38,300
1996-04-25,56.5,56.5,56.0,56.0,20.03,5500
1996-04-26,56.25,57.0,56.25,57.0,20.38,2500
1996-04-29,57.25,57.25,57.0,57.0,20.38,900
1996-04-30,57.5,57.75,57.5,57.75,20.65,3900
1996-05-01,58.0,58.25,58.0,58.25,20.83,9900
1996-05-02,58.0,58.0,57.5,57.5,20.56,1900
1996-05-03,57.0,57.5,57.0,57.5,20.56,4000
1996-05-06,57.5,57.5,56.5,56.75,20.29,4100
1996-05-07,56.75,56.75,56.5,56.75,20.29,4200
1996-05-08,56.5,56.75,56.25,56.75,20.29,1400
1996-05-09,57.0,57.75,57.0,57.75,20.65,3200
1996-05-10,57.0,57.25,57.0,57.25,20.47,1500
1996-05-13,57.5,57.75,57.5,57.5,20.56,19300
1996-05-14,57.25,57.5,57.25,57.5,20.56,1600
1996-05-15,57.0,57.75,57.0,57.5,20.56,33300
1996-05-16,57.25,57.5,57.25,57.5,20.56,25400
1996-05-17,57.0,57.75,57.0,57.75,20.65,7700
1996-05-20,57.5,57.75,57.25,57.5,20.56,2000
1996-05-21,57.25,57.5,57.0,57.25,20.47,8900
1996-05-22,57.0,57.0,56.25,56.75,20.29,1800
1996-05-23,56.25,56.25,56.25,56.25,20.12,1300
1996-05-24,56.5,56.75,56.25,56.75,20.29,1900
1996-05-28,56.5,56.5,56.0,56.0,20.03,1600
1996-05-29,56.5,56.5,56.0,56.0,20.03,3100
1996-05-30,56.0,56.5,56.0,56.5,20.2,2800
1996-05-31,56.5,56.75,56.5,56.5,20.2,3800
1996-06-03,56.0,56.0,55.0,55.5,19.85,19600
1996-06-04,55.25,55.75,55.25,55.5,19.85,700
1996-06-05,55.75,56.0,55.5,55.5,19.85,2000
1996-06-06,55.75,55.75,55.5,55.5,19.85,100
1996-06-07,55.5,55.5,55.0,55.5,19.85,500
1996-06-10,55.5,55.75,55.25,55.75,19.94,12400
1996-06-11,55.5,55.5,55.0,55.0,19.67,1000
1996-06-12,55.5,55.5,55.0,55.0,19.67,400
1996-06-13,54.5,54.5,54.0,54.5,19.49,2500
1996-06-14,55.5,55.5,55.0,55.5,19.85,700
1996-06-17,55.75,55.75,55.5,55.75,19.94,400
1996-06-18,56.0,56.0,55.5,56.0,20.03,5000
1996-06-19,56.5,57.25,56.5,57.25,20.47,1200
1996-06-20,57.25,57.5,57.0,57.0,20.38,1000
1996-06-21,57.5,57.5,56.5,56.5,20.2,1500
1996-06-24,56.75,57.5,56.75,57.25,20.47,300
1996-06-25,57.25,57.25,56.75,57.25,20.47,1400
1996-06-26,57.25,57.25,56.0,56.0,20.03,500
1996-06-27,56.0,56.5,56.0,56.5,20.2,600
1996-06-28,56.5,57.0,56.5,57.0,20.38,800
1996-07-01,57.0,57.0,56.5,56.75,20.29,200
1996-07-02,57.0,57.25,56.5,57.0,20.38,500
1996-07-03,57.0,57.0,57.0,57.0,20.38,2500
1996-07-05,56.75,56.75,56.5,56.5,20.2,300
1996-07-08,56.5,56.5,56.25,56.25,20.12,500
1996-07-09,56.5,56.5,56.5,56.5,20.2,0
1996-07-10,57.0,57.5,56.5,56.75,20.29,4400
1996-07-11,56.75,56.75,56.0,56.0,20.03,800
1996-07-12,56.25,56.5,56.0,56.5,20.2,800
1996-07-15,56.5,56.5,55.5,55.5,19.85,200
1996-07-16,56.0,56.0,51.5,53.0,18.95,7600
1996-07-17,54.0,55.5,54.0,55.5,19.85,1000
1996-07-18,56.0,57.0,56.0,57.0,20.38,1000
1996-07-19,56.0,56.5,56.0,56.5,20.2,800
1996-07-22,55.5,55.5,54.5,55.0,19.67,600
1996-07-23,55.5,56.0,55.5,55.5,19.85,600
1996-07-24,55.5,55.5,54.5,55.5,19.85,1000
1996-07-25,56.0,56.0,55.0,55.0,19.67,600
1996-07-26,55.5,55.5,55.0,55.0,19.67,300
1996-07-29,54.5,54.5,53.5,53.5,19.13,600
1996-07-30,54.0,54.0,52.0,53.0,18.95,1700
1996-07-31,53.5,53.5,53.0,53.0,18.95,1100
1996-08-01,53.0,54.5,53.0,53.75,19.22,2000
1996-08-02,53.5,54.0,53.5,54.0,19.31,100
1996-08-05,55.0,55.0,54.75,54.75,19.58,1000
1996-08-06,54.25,54.25,54.0,54.0,19.31,400
1996-08-07,53.75,54.0,53.75,54.0,19.31,900
1996-08-08,54.5,54.5,54.0,54.5,19.49,600
1996-08-09,54.0,54.0,53.5,53.5,19.13,3900
1996-08-12,54.0,54.5,54.0,54.5,19.49,600
1996-08-13,55.0,55.0,55.0,55.0,19.67,100
1996-08-14,55.5,55.5,55.5,55.5,19.85,1300
1996-08-15,54.5,55.0,54.5,55.0,19.67,2600
1996-08-16,55.0,56.0,55.0,56.0,20.03,1300
1996-08-19,55.5,55.5,55.0,55.0,19.67,2700
1996-08-20,55.0,55.5,55.0,55.5,19.85,1200
1996-08-21,56.0,56.5,56.0,56.0,20.03,1300
1996-08-22,55.5,55.5,55.0,55.5,19.85,1000
1996-08-23,55.25,56.0,55.25,55.5,19.85,500
1996-08-26,55.5,56.0,55.5,56.0,20.04,1000
1996-08-27,56.0,56.25,56.0,56.25,20.13,700
1996-08-28,55.75,56.25,55.75,56.25,20.13,1300
1996-08-29,55.75,56.0,55.5,55.5,19.86,500
1996-08-30,55.0,56.5,55.0,56.0,20.04,2200
1996-09-03,55.0,55.0,54.0,54.5,19.5,1600
1996-09-04,54.5,54.5,53.5,54.0,19.32,1600
1996-09-05,53.5,53.5,53.0,53.0,18.96,400
