Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,10.88,10.88,10.88,10.88,6.03,500
1996-03-19,11.0,11.0,11.0,11.0,6.1,100
1996-03-20,11.0,11.0,11.0,11.0,6.1,0
1996-03-21,11.0,11.0,11.0,11.0,6.1,0
1996-03-22,11.0,11.0,11.0,11.0,6.1,0
1996-03-25,11.0,11.0,11.0,11.0,6.1,0
1996-03-26,11.0,11.0,11.0,11.0,6.1,2500
1996-03-27,11.12,11.12,11.12,11.12,6.17,300
1996-03-28,11.12,11.12,11.12,11.12,6.17,0
1996-03-29,11.0,11.0,11.0,11.0,6.1,100000
1996-04-01,11.0,11.0,11.0,11.0,6.1,0
1996-04-02,11.0,11.0,11.0,11.0,6.1,800
1996-04-03,11.0,11.0,11.0,11.0,6.1,0
1996-04-04,11.25,11.25,11.25,11.25,6.24,2400
1996-04-08,11.25,11.25,11.25,11.25,6.24,0
1996-04-09,11.25,11.25,11.25,11.25,6.24,0
1996-04-10,11.25,11.25,11.25,11.25,6.24,0
1996-04-11,10.88,10.88,10.88,10.88,6.03,2600
1996-04-12,10.88,10.88,10.88,10.88,6.03,1600
1996-04-15,10.88,10.88,10.88,10.88,6.03,0
1996-04-16,11.0,11.12,11.0,11.12,6.17,900
1996-04-17,10.88,10.88,10.88,10.88,6.03,138000
1996-04-18,10.94,10.94,10.94,10.94,6.07,10000
1996-04-19,11.0,11.0,11.0,11.0,6.1,500
1996-04-22,11.12,11.12,11.0,11.12,6.17,14900
1996-04-23,11.12,11.12,11.12,11.12,6.17,100
1996-04-24,11.12,11.12,11.12,11.12,6.17,200
1996-04-25,11.12,11.12,11.12,11.12,6.17,1200
1996-04-26,11.12,11.12,11.12,11.12,6.17,300
1996-04-29,11.0,11.0,10.88,10.88,6.03,4700
1996-04-30,10.94,10.94,10.94,10.94,6.07,20000
1996-05-01,10.88,11.0,10.88,11.0,6.1,21100
1996-05-02,11.0,11.0,11.0,11.0,6.1,0
1996-05-03,11.0,11.0,11.0,11.0,6.1,1000
1996-05-06,10.94,10.94,10.94,10.94,6.07,1000
1996-05-07,10.94,10.94,10.94,10.94,6.07,1100
1996-05-08,10.94,10.94,10.94,10.94,6.07,5100
1996-05-09,10.94,10.94,10.88,10.88,6.03,26000
1996-05-10,10.75,10.88,10.75,10.88,6.03,3800
1996-05-13,10.56,10.75,10.56,10.75,5.96,55000
1996-05-14,10.75,10.75,10.75,10.75,5.96,36300
1996-05-15,10.75,10.75,10.75,10.75,5.96,0
1996-05-16,10.75,10.75,10.75,10.75,5.96,0
1996-05-17,10.75,10.75,10.75,10.75,5.96,0
1996-05-20,10.88,10.94,10.88,10.94,6.07,17300
1996-05-21,10.94,10.94,10.94,10.94,6.07,9200
1996-05-22,10.88,10.94,10.88,10.94,6.07,15100
1996-05-23,11.0,11.0,10.94,10.94,6.07,15200
1996-05-24,11.0,11.06,11.0,11.06,6.14,19900
1996-05-28,11.12,11.19,11.12,11.12,6.17,20800
1996-05-29,11.12,11.12,11.12,11.12,6.17,19800
1996-05-30,11.12,11.12,11.12,11.12,6.17,20000
1996-05-31,11.25,11.5,11.25,11.5,6.38,25100
1996-06-03,11.44,11.5,11.44,11.5,6.38,19700
1996-06-04,11.5,11.56,11.5,11.56,6.41,400
1996-06-05,11.62,11.62,11.62,11.62,6.45,2500
1996-06-06,11.75,11.75,11.62,11.62,6.45,20100
1996-06-07,11.62,11.62,11.62,11.62,6.45,200
1996-06-10,11.62,11.62,11.62,11.62,6.45,0
1996-06-11,11.62,11.62,11.62,11.62,6.45,500
1996-06-12,11.69,11.69,11.62,11.62,6.45,30100
1996-06-13,11.5,11.5,11.5,11.5,6.38,5000
1996-06-14,11.56,11.56,11.5,11.5,6.38,200
1996-06-17,11.5,11.5,11.5,11.5,6.38,0
1996-06-18,11.5,11.5,11.5,11.5,6.38,0
1996-06-19,11.5,11.5,11.5,11.5,6.38,1000
1996-06-20,11.38,11.38,11.25,11.25,6.24,2500
1996-06-21,11.25,11.25,11.0,11.12,6.17,2200
1996-06-24,11.12,11.12,11.12,11.12,6.17,0
1996-06-25,11.12,11.12,11.12,11.12,6.17,0
1996-06-26,11.12,11.12,11.12,11.12,6.17,0
1996-06-27,11.06,11.06,11.06,11.06,6.14,100
1996-06-28,10.75,10.88,10.75,10.88,6.03,19200
1996-07-01,10.81,10.81,10.81,10.81,6.0,200
1996-07-02,10.75,10.75,10.75,10.75,5.96,300
1996-07-03,10.75,10.75,10.75,10.75,5.96,200
1996-07-05,10.75,10.75,10.75,10.75,5.96,0
1996-07-08,10.75,10.75,10.75,10.75,5.96,12000
1996-07-09,10.75,10.81,10.69,10.81,6.0,4600
1996-07-10,10.81,10.81,10.81,10.81,6.0,500
1996-07-11,10.81,10.81,10.81,10.81,6.0,300
1996-07-12,10.75,10.75,10.62,10.75,5.96,1200
1996-07-15,10.62,10.69,10.62,10.69,5.93,1100
1996-07-16,10.69,10.69,10.69,10.69,5.93,0
1996-07-17,10.69,10.69,10.69,10.69,5.93,0
1996-07-18,10.69,10.69,10.69,10.69,5.93,4000
1996-07-19,10.69,10.69,10.69,10.69,5.93,0
1996-07-22,10.69,10.69,10.69,10.69,5.93,0
1996-07-23,10.69,10.69,10.69,10.69,5.93,100
1996-07-24,10.69,10.69,10.69,10.69,5.93,0
1996-07-25,10.69,10.69,10.69,10.69,5.93,0
