Date,Open,High,Low,Close,Adj Close,Volume
1996-03-18,24.75,24.75,24.75,24.75,10.03,200
1996-03-19,24.75,24.75,24.75,24.75,10.03,200
1996-03-20,24.75,24.75,24.75,24.75,10.03,11000
1996-03-21,24.75,24.75,24.75,24.75,10.03,0
1996-03-22,24.75,24.75,24.75,24.75,10.03,0
1996-03-25,24.75,24.75,24.75,24.75,10.03,0
1996-03-26,24.75,24.75,24.75,24.75,10.03,0
1996-03-27,24.75,24.75,24.5,24.5,9.93,200
1996-03-28,24.0,24.5,24.0,24.5,9.93,14900
1996-03-29,24.62,24.62,24.62,24.62,9.98,100
1996-04-01,24.75,25.12,24.75,25.12,10.18,102500
1996-04-02,25.12,25.12,25.12,25.12,10.18,0
1996-04-03,25.12,25.12,25.12,25.12,10.18,0
1996-04-04,25.12,25.12,25.12,25.12,10.18,0
1996-04-08,24.62,24.88,24.62,24.88,10.08,2500
1996-04-09,25.12,25.12,25.12,25.12,10.18,600
1996-04-10,25.0,25.12,25.0,25.12,10.18,2500
1996-04-11,25.12,25.12,25.12,25.12,10.18,0
1996-04-12,25.12,25.12,25.12,25.12,10.18,0
1996-04-15,25.0,25.38,25.0,25.38,10.28,34500
1996-04-16,25.5,25.5,25.5,25.5,10.33,300
1996-04-17,25.5,25.5,25.5,25.5,10.33,0
1996-04-18,25.5,25.5,25.5,25.5,10.33,0
1996-04-19,25.88,25.88,25.88,25.88,10.49,500
1996-04-22,26.0,26.0,25.88,25.88,10.49,1100
1996-04-23,25.88,25.88,25.88,25.88,10.49,0
1996-04-24,25.5,25.62,25.5,25.62,10.39,5500
1996-04-25,25.62,25.62,25.62,25.62,10.39,0
1996-04-26,25.62,25.62,25.62,25.62,10.39,0
1996-04-29,25.5,25.5,25.5,25.5,10.33,400
1996-04-30,25.38,25.38,25.38,25.38,10.28,0
1996-05-01,25.38,25.38,25.38,25.38,10.28,0
1996-05-02,25.12,25.12,24.75,24.75,10.03,2600
1996-05-03,24.62,25.0,24.62,24.88,10.08,6200
1996-05-06,25.0,25.0,25.0,25.0,10.13,6800
1996-05-07,24.75,24.75,24.62,24.75,10.03,22300
1996-05-08,24.5,25.0,24.5,25.0,10.13,1100
1996-05-09,25.12,25.25,25.12,25.25,10.23,1500
1996-05-10,25.38,25.38,25.38,25.38,10.28,800
1996-05-13,25.0,25.0,25.0,25.0,10.13,1300
1996-05-14,24.88,25.12,24.88,25.12,10.18,900
1996-05-15,25.12,25.12,25.12,25.12,10.18,0
1996-05-16,25.0,25.0,25.0,25.0,10.13,900
1996-05-17,25.12,25.12,25.12,25.12,10.18,3200
1996-05-20,25.12,25.12,25.12,25.12,10.18,4700
1996-05-21,25.25,25.38,25.25,25.38,10.28,800
1996-05-22,25.12,25.25,25.12,25.12,10.18,9000
1996-05-23,25.12,25.12,25.12,25.12,10.18,0
1996-05-24,25.0,25.0,25.0,25.0,10.13,1100
1996-05-28,25.12,25.12,25.0,25.0,10.13,3200
1996-05-29,25.12,25.38,25.12,25.38,10.28,18800
1996-05-30,25.25,25.25,25.0,25.0,10.13,13700
1996-05-31,25.12,25.12,25.12,25.12,10.18,1200
1996-06-03,25.5,25.5,25.5,25.5,10.33,0
1996-06-04,25.5,25.5,25.5,25.5,10.33,100
1996-06-05,25.5,25.5,25.38,25.38,10.28,600
