Date,Open,High,Low,Close,Adj Close,Volume
2000-05-12,19.62,19.69,19.62,19.69,15.81,5300
2000-05-15,19.44,19.44,19.44,19.44,15.61,5000
2000-05-16,19.81,19.81,19.81,19.81,15.91,300
2000-05-17,19.44,19.44,19.44,19.44,15.61,400
2000-05-18,19.31,19.31,19.25,19.25,15.46,800
2000-05-19,19.31,19.31,19.31,19.31,15.51,18000
2000-05-22,17.94,17.94,17.44,17.44,14.0,70500
2000-05-23,17.94,18.12,17.88,17.88,14.35,51300
2000-05-24,17.69,17.69,17.56,17.69,14.2,10600
2000-05-25,18.12,18.31,17.88,17.88,14.35,44300
2000-05-26,16.94,17.06,16.94,16.94,13.6,21000
2000-05-30,18.12,18.12,17.94,17.94,14.4,32100
2000-05-31,19.12,19.25,19.12,19.25,15.46,55000
2000-06-01,19.31,19.38,19.19,19.19,15.41,11500
2000-06-02,20.19,20.5,20.19,20.5,16.46,10400
2000-06-05,21.19,21.19,21.0,21.0,16.86,3100
2000-06-06,21.12,21.12,20.75,20.75,16.66,10200
2000-06-07,21.5,21.5,20.5,21.25,17.06,44100
2000-06-08,20.44,20.44,20.25,20.25,16.26,12000
2000-06-09,22.12,22.12,22.12,22.12,17.77,1300
2000-06-12,22.56,22.56,22.0,22.0,17.66,12100
2000-06-13,21.0,21.31,21.0,21.12,16.96,14500
2000-06-14,21.5,22.38,21.31,21.62,17.36,67500
2000-06-15,20.0,20.25,20.0,20.0,16.06,5300
2000-06-16,19.88,19.88,19.5,19.5,15.66,22400
2000-06-19,19.75,19.75,19.5,19.69,15.81,3000
2000-06-20,20.75,20.75,20.62,20.62,16.56,3300
2000-06-21,20.75,20.75,20.25,20.38,16.36,22200
2000-06-22,20.38,20.5,20.12,20.12,16.16,17000
2000-06-23,20.12,20.25,20.12,20.25,16.26,2000
2000-06-26,20.62,20.88,20.62,20.75,16.66,27200
2000-06-27,20.81,20.88,20.75,20.81,16.71,30800
2000-06-28,21.0,21.25,21.0,21.19,17.01,1100
2000-06-29,20.88,20.94,20.88,20.94,16.81,1600
2000-06-30,21.0,21.0,21.0,21.0,16.86,10000
2000-07-03,21.69,21.69,21.69,21.69,17.41,3000
2000-07-05,21.5,21.5,21.25,21.38,17.16,10700
2000-07-06,21.44,21.44,21.38,21.38,17.16,2700
2000-07-07,21.75,22.0,21.69,22.0,17.66,24400
2000-07-10,21.75,21.75,21.75,21.75,17.46,3000
2000-07-11,21.38,21.38,21.0,21.0,16.86,1700
