Date,Open,High,Low,Close,Adj Close,Volume
2000-07-14,18.75,18.88,18.75,18.88,10.87,25000
2000-07-17,19.94,20.0,19.94,20.0,11.51,10000
2000-07-18,19.94,19.94,19.94,19.94,11.48,10000
2000-07-19,19.44,19.44,19.44,19.44,11.19,10000
2000-07-20,19.88,19.88,19.88,19.88,11.44,5000
2000-07-21,20.0,20.0,20.0,20.0,11.51,200
2000-07-24,20.0,20.0,20.0,20.0,11.51,0
2000-07-25,20.0,20.0,20.0,20.0,11.51,0
2000-07-26,20.0,20.0,20.0,20.0,11.51,0
2000-07-27,19.75,19.75,19.75,19.75,11.37,100
2000-07-28,20.0,20.0,19.38,19.38,11.15,21300
2000-07-31,19.31,19.38,19.31,19.38,11.15,200
2000-08-01,19.0,19.25,19.0,19.25,11.08,7400
2000-08-02,19.0,19.0,19.0,19.0,10.94,100
2000-08-03,18.88,18.88,18.88,18.88,10.87,10000
2000-08-04,19.38,19.62,19.38,19.62,11.3,700
2000-08-07,19.56,19.62,19.44,19.62,11.3,1100
2000-08-08,19.62,19.62,19.62,19.62,11.3,0
2000-08-09,19.62,19.62,19.62,19.62,11.3,0
2000-08-10,19.0,19.0,19.0,19.0,10.94,200
2000-08-11,19.44,19.44,19.44,19.44,11.19,600
2000-08-14,19.44,19.44,19.44,19.44,11.19,0
2000-08-15,20.25,20.25,20.0,20.0,11.51,5400
2000-08-16,20.0,20.0,20.0,20.0,11.51,0
2000-08-17,20.31,20.31,20.31,20.31,11.69,300
2000-08-18,19.75,19.75,19.75,19.75,11.37,200
2000-08-21,19.75,19.75,19.75,19.75,11.37,300
2000-08-22,19.75,19.75,19.75,19.75,11.37,0
2000-08-23,19.75,19.75,19.75,19.75,11.37,0
2000-08-24,19.25,19.25,19.25,19.25,11.29,15000
2000-08-25,19.5,19.62,19.5,19.62,11.51,2200
2000-08-28,19.75,19.75,19.69,19.69,11.55,500
2000-08-29,19.0,19.38,19.0,19.19,11.25,27300
