Date,Open,High,Low,Close,Adj Close,Volume
2014-07-14,0.36,0.36,0.36,0.36,0.2831,0
2014-07-15,0.36,0.36,0.36,0.36,0.2831,0
2014-07-16,0.36,0.36,0.36,0.36,0.2831,0
2014-07-17,0.34,0.34,0.335,0.335,0.2635,5669
2014-07-18,0.335,0.335,0.335,0.335,0.2635,0
2014-07-21,0.335,0.335,0.335,0.335,0.2635,0
2014-07-22,0.335,0.335,0.335,0.335,0.2635,0
2014-07-23,0.335,0.335,0.335,0.335,0.2635,0
2014-07-24,0.335,0.335,0.335,0.335,0.2635,0
2014-07-25,0.335,0.335,0.335,0.335,0.2635,0
2014-07-28,0.38,0.38,0.38,0.38,0.2989,1000
2014-07-29,0.38,0.38,0.38,0.38,0.2989,1000
2014-07-30,0.38,0.38,0.38,0.38,0.2989,0
2014-07-31,0.37,0.37,0.36,0.36,0.2831,2000
2014-08-01,0.36,0.36,0.36,0.36,0.2831,0
2014-08-04,0.36,0.36,0.36,0.36,0.2831,0
2014-08-05,0.36,0.36,0.36,0.36,0.2831,0
2014-08-06,0.36,0.36,0.36,0.36,0.2831,0
2014-08-07,0.37,0.37,0.315,0.315,0.2477,7000
2014-08-08,0.315,0.315,0.315,0.315,0.2477,0
2014-08-11,0.315,0.315,0.315,0.315,0.2477,0
2014-08-12,0.33,0.33,0.33,0.33,0.2595,501
2014-08-13,0.33,0.33,0.33,0.33,0.2595,0
2014-08-14,0.33,0.33,0.33,0.33,0.2595,0
2014-08-15,0.33,0.33,0.305,0.305,0.2399,2857
2014-08-18,0.305,0.305,0.305,0.305,0.2399,0
2014-08-19,0.33,0.33,0.3,0.3,0.2359,3500
2014-08-20,0.3,0.3,0.3,0.3,0.2359,0
2014-08-21,0.3,0.3,0.3,0.3,0.2359,0
2014-08-22,0.3,0.3,0.3,0.3,0.2359,0
2014-08-25,0.255,0.26,0.25,0.255,0.2006,18642
2014-08-26,0.235,0.235,0.235,0.235,0.1848,2857
2014-08-27,0.235,0.275,0.235,0.275,0.2163,2602
2014-08-28,0.275,0.275,0.275,0.275,0.2163,0
2014-08-29,0.3,0.3,0.3,0.3,0.2359,2000
2014-09-02,0.235,0.235,0.2,0.2,0.1573,12500
2014-09-03,0.205,0.205,0.2,0.2,0.1573,7500
2014-09-04,0.2,0.2,0.2,0.2,0.1573,3500
2014-09-05,0.2,0.2,0.18,0.18,0.1416,29000
2014-09-08,0.195,0.2,0.17,0.17,0.1337,27500
2014-09-09,0.17,0.17,0.17,0.17,0.1337,0
2014-09-10,0.2,0.2,0.2,0.2,0.1573,5000
2014-09-11,0.2,0.2,0.2,0.2,0.1573,0
2014-09-12,0.2,0.2,0.2,0.2,0.1573,40000
2014-09-15,0.2,0.2,0.2,0.2,0.1573,1500
2014-09-16,0.2,0.2,0.2,0.2,0.1573,0
2014-09-17,0.2,0.2,0.2,0.2,0.1573,0
2014-09-18,0.165,0.195,0.15,0.15,0.118,28199
2014-09-19,0.15,0.15,0.15,0.15,0.118,0
2014-09-22,0.12,0.12,0.12,0.12,0.0944,714
2014-09-23,0.12,0.12,0.12,0.12,0.0944,0
2014-09-24,0.145,0.145,0.145,0.145,0.114,2570
2014-09-25,0.18,0.18,0.18,0.18,0.1416,10000
2014-12-29,0.125,0.125,0.125,0.125,0.0983,0
2014-12-30,0.125,0.125,0.125,0.125,0.0983,0
