Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,24.72,24.72,24.7,24.72,20.3,205700
2014-05-02,24.7,24.71,24.7,24.71,20.29,700
2014-05-05,25.42,25.42,25.16,25.29,20.77,1400
2014-05-06,25.25,25.25,25.01,25.01,20.54,3200
2014-05-07,25.04,25.06,25.0,25.06,20.58,1300
2014-05-08,25.28,25.28,25.2,25.2,20.69,1500
2014-05-09,25.1,25.14,25.1,25.14,20.64,1100
2014-05-12,25.51,25.51,25.43,25.46,20.9,1400
2014-05-13,25.52,25.59,25.49,25.49,20.93,1600
2014-05-14,25.58,25.58,25.47,25.49,20.93,2400
2014-05-15,25.46,25.46,25.35,25.38,20.84,3000
2014-05-16,25.3,25.34,25.29,25.34,20.81,1100
2014-05-19,24.86,24.93,24.86,24.9,20.45,7600
2014-05-20,24.82,24.82,24.37,24.4,20.03,7300
2014-05-21,24.37,24.64,24.37,24.55,20.16,3400
2014-05-22,25.19,25.23,25.05,25.1,20.61,3700
2014-05-23,25.01,25.2,25.01,25.07,20.58,4700
2014-05-27,26.26,26.26,25.76,26.01,21.36,70200
2014-05-28,26.2,26.2,25.5,25.86,21.23,7000
2014-05-29,26.38,26.65,26.12,26.41,21.68,326900
2014-05-30,26.44,27.15,26.44,27.15,22.29,738800
2014-06-02,26.94,26.94,26.49,26.49,21.75,112800
2014-06-03,26.0,26.0,25.7,25.92,21.28,75300
2014-06-04,25.65,25.76,25.65,25.75,21.14,112500
2014-06-05,26.01,26.54,25.94,26.54,21.79,48300
2014-06-06,26.96,26.96,26.01,26.63,21.87,134100
2014-06-09,25.48,25.85,25.06,25.85,21.23,44500
2014-06-10,25.38,25.41,25.01,25.39,20.85,4900
2014-06-11,25.34,25.34,24.99,24.99,20.52,7600
2014-06-12,25.0,25.0,25.0,25.0,20.53,400
2014-06-13,25.35,25.66,25.15,25.66,21.07,4600
2014-06-16,24.79,24.79,23.99,24.28,19.94,151400
2014-06-17,23.98,24.17,23.95,23.96,19.67,74700
2014-06-18,24.07,24.32,23.98,24.27,19.93,72000
2014-06-19,24.27,24.27,23.83,23.83,19.57,15700
2014-06-20,23.81,23.96,23.76,23.86,19.59,7500
2014-06-23,23.78,23.78,23.61,23.62,19.39,54800
2014-06-24,23.61,23.8,23.58,23.6,19.38,6200
2014-06-25,23.41,23.41,23.03,23.3,19.13,1900
2014-06-26,22.92,22.92,22.44,22.73,18.66,13400
2014-06-27,22.86,22.88,22.75,22.81,18.73,13900
2014-06-30,22.06,22.06,21.79,21.85,17.94,41700
2014-07-01,22.74,23.3,22.74,22.99,18.88,55200
2014-07-02,23.14,23.79,23.14,23.5,19.3,8200
2014-07-03,23.55,23.71,23.4,23.56,19.34,13200
2014-07-07,23.81,23.81,23.52,23.52,19.31,1600
2014-07-08,23.6,24.12,23.6,24.01,19.72,21800
2014-07-09,24.54,24.61,24.4,24.61,20.21,4500
2014-07-10,24.94,24.95,24.81,24.82,20.38,6300
2014-07-11,24.99,25.0,24.9,24.9,20.45,2800
2014-07-14,25.06,25.1,25.0,25.09,20.6,119000
2014-07-15,25.1,25.58,25.1,25.54,20.97,207800
2014-07-16,25.9,25.9,25.67,25.73,21.13,30400
2014-07-17,25.82,26.05,25.69,25.71,21.11,9900
2014-07-18,25.71,25.93,25.71,25.92,21.28,13600
2014-07-21,25.5,25.52,25.34,25.37,20.83,10800
2014-07-22,25.81,25.95,25.75,25.75,21.14,700
2014-07-23,26.04,26.04,25.61,25.61,21.03,1300
2014-07-24,25.36,25.36,24.88,25.18,20.67,16300
2014-07-25,24.79,24.94,24.79,24.91,20.46,22000
2014-07-28,24.91,25.15,24.91,25.15,20.65,1000
2014-07-29,25.18,25.19,25.09,25.15,20.65,22000
2014-07-30,25.0,25.0,24.84,24.87,20.42,6300
2014-07-31,24.66,25.33,24.66,24.72,20.3,29300
2014-08-01,24.75,24.75,24.69,24.69,20.27,900
2014-08-04,25.32,25.32,24.76,25.13,20.63,67300
2014-08-05,25.11,25.45,25.11,25.45,20.9,5100
2014-08-06,25.52,25.52,25.18,25.34,20.81,10000
2014-08-07,25.05,25.05,25.05,25.05,20.57,200
2014-08-08,25.47,25.83,25.0,25.18,20.67,8700
2014-08-11,26.45,26.45,25.39,25.65,21.06,11700
2014-08-12,25.6,25.62,25.59,25.59,21.01,500
2014-08-13,26.47,26.47,26.3,26.42,21.69,8400
2014-08-14,26.42,26.42,26.42,26.42,21.69,0
2014-08-15,26.33,26.33,26.33,26.33,21.62,600
2014-08-18,26.32,26.43,26.32,26.43,21.7,600
2014-08-19,26.32,26.32,26.28,26.3,21.59,800
2014-08-20,26.55,26.59,26.51,26.59,21.83,9900
2014-08-21,26.66,26.71,26.39,26.39,21.67,56000
2014-08-22,26.34,26.49,26.33,26.43,21.7,4900
2014-08-25,26.59,26.8,26.59,26.8,22.0,5600
2014-08-26,26.64,26.75,26.64,26.65,21.88,1400
2014-08-27,26.42,26.47,26.27,26.47,21.73,130900
2014-08-28,26.02,26.06,25.73,25.98,21.33,34900
2014-08-29,25.56,25.75,25.43,25.48,20.92,47700
2014-09-02,26.19,26.19,25.66,25.66,21.07,12600
2014-09-03,25.8,26.08,25.8,26.08,21.41,4800
2014-09-04,26.49,26.49,26.07,26.07,21.41,162500
2014-09-05,26.3,26.39,26.29,26.3,21.59,6300
2014-09-08,26.4,26.4,26.35,26.35,21.64,500
2014-09-09,26.46,26.49,26.44,26.48,21.74,24000
2014-09-10,26.51,26.51,26.47,26.47,21.74,1300
2014-09-11,26.41,26.48,26.33,26.39,21.67,19500
2014-09-12,26.14,26.36,26.14,26.23,21.54,3300
2014-09-15,26.56,26.71,26.56,26.71,21.93,24200
2014-09-16,26.56,26.58,26.56,26.58,21.82,300
2014-09-17,26.57,26.93,26.54,26.83,22.03,14000
2014-09-18,27.21,27.21,26.99,26.99,22.16,500
2014-09-19,27.02,27.16,26.99,27.06,22.22,269400
2014-09-22,27.01,27.01,26.58,26.64,21.87,11400
2014-09-23,26.53,26.54,26.27,26.28,21.58,10300
2014-09-24,26.24,26.44,26.24,26.38,21.66,5100
2014-09-25,25.99,26.08,25.89,25.99,21.34,5800
2014-09-26,25.97,26.21,25.97,26.21,21.52,30300
2014-09-29,26.1,26.15,26.1,26.15,21.47,700
2014-09-30,26.16,26.29,26.1,26.24,21.55,35200
2014-10-01,26.03,26.03,26.01,26.02,21.36,1100
2014-10-02,26.27,26.64,26.27,26.62,21.86,15500
2014-10-03,26.42,26.77,26.42,26.76,21.97,3900
2014-10-06,26.43,26.59,26.31,26.41,21.68,13700
2014-10-07,26.71,26.72,26.54,26.54,21.79,2800
2014-10-08,26.77,26.86,26.77,26.86,22.05,800
2014-10-09,26.85,26.85,26.36,26.58,21.83,8400
