Date,Open,High,Low,Close,Adj Close,Volume
2008-04-01,50.57,51.93,50.57,51.93,38.01,86100
2008-04-02,51.18,52.06,50.7,50.96,37.3,91800
2008-04-03,50.6,54.4,50.3,50.78,37.17,74300
2008-04-04,50.62,51.0,50.36,50.78,37.17,38400
2008-04-07,51.05,51.17,50.68,50.79,37.18,36800
2008-04-08,50.82,51.05,50.75,50.98,37.32,56200
2008-04-09,50.68,50.8,50.49,50.63,37.06,49800
2008-04-10,50.74,51.17,50.5,51.0,37.33,51400
2008-04-11,50.5,50.5,50.0,50.04,36.63,33400
2008-04-14,50.2,50.23,49.95,50.2,36.75,39300
2008-04-15,50.4,50.4,50.05,50.18,36.73,40800
2008-04-16,51.85,52.55,51.85,52.55,38.47,149400
2008-04-17,52.54,52.63,52.41,52.58,38.49,39800
2008-04-18,52.78,53.0,52.65,52.75,38.61,52800
2008-04-21,52.07,52.21,51.89,52.15,38.17,22000
2008-04-22,52.56,52.56,52.13,52.34,38.31,21500
2008-04-23,51.74,51.92,51.61,51.86,37.96,24700
2008-04-24,51.79,52.37,51.49,52.11,38.14,34900
2008-04-25,51.18,51.44,50.97,51.4,37.62,17100
2008-04-28,51.4,51.54,51.34,51.44,37.65,15500
2008-04-29,51.3,51.34,51.01,51.09,37.4,84700
2008-04-30,51.6,56.55,51.22,51.24,37.51,37800
2008-05-01,51.41,51.83,51.16,51.83,37.94,17300
2008-05-02,52.39,52.39,51.88,51.99,38.06,187300
2008-05-05,52.0,52.17,51.57,51.81,37.92,14900
2008-05-06,51.94,52.46,51.8,52.17,38.19,19800
2008-05-07,52.39,52.45,51.58,51.7,37.84,149300
2008-05-08,51.71,52.13,51.69,52.07,38.11,21800
2008-05-09,51.79,51.79,51.37,51.51,37.7,57300
2008-05-12,50.66,51.14,50.62,51.14,37.43,15000
2008-05-13,50.67,50.73,50.37,50.61,37.05,17800
2008-05-14,51.18,51.31,51.03,51.03,37.35,24400
2008-05-15,51.38,52.08,51.38,52.06,38.11,53600
2008-05-16,52.58,52.84,52.44,52.71,38.58,65200
2008-05-19,52.7,53.31,52.66,52.8,38.65,68500
2008-05-20,53.06,53.06,52.42,52.73,38.6,57300
2008-05-21,53.73,53.76,52.95,53.19,38.93,53800
2008-05-22,53.19,53.93,53.15,53.63,39.26,917100
2008-05-23,53.47,53.47,52.76,52.95,38.76,314400
2008-05-27,51.85,51.89,51.39,51.83,37.94,296100
2008-05-28,50.06,50.21,49.65,50.08,36.66,265200
2008-05-29,49.61,49.98,49.39,49.85,36.49,67900
2008-05-30,50.0,50.38,49.86,50.19,36.74,195400
2008-06-02,48.53,48.53,47.54,47.73,34.94,164300
2008-06-03,47.85,47.85,47.09,47.58,34.83,166400
2008-06-04,47.44,49.04,47.37,47.55,34.81,143200
2008-06-05,47.32,48.03,47.16,47.93,35.08,122300
2008-06-06,47.38,47.38,46.4,46.47,34.02,72800
2008-06-09,46.57,46.57,45.94,46.28,33.88,51900
2008-06-10,46.12,46.12,45.66,46.11,33.75,60400
2008-06-11,45.6,45.66,44.84,45.08,33.0,88200
2008-06-12,45.53,45.86,45.41,45.53,33.33,47400
2008-06-13,45.43,45.61,45.17,45.36,33.2,39700
2008-06-16,44.91,45.34,44.88,45.24,33.12,26500
2008-06-17,44.72,44.97,44.3,44.39,32.49,213300
2008-06-18,43.89,43.89,43.03,43.24,31.65,85100
2008-06-19,42.17,42.26,40.33,41.12,30.1,895000
2008-06-20,42.87,43.4,41.3,42.36,31.01,603100
2008-06-23,42.75,43.3,42.51,42.51,31.12,281800
2008-06-24,42.54,43.31,42.27,42.8,31.33,194500
2008-06-25,43.83,44.34,43.7,43.95,32.17,82900
2008-06-26,44.1,44.1,42.74,42.84,31.36,43500
2008-06-27,43.24,43.73,42.86,43.37,31.75,119000
2008-06-30,43.04,43.98,43.04,43.98,32.19,56600
2008-07-01,42.63,43.55,42.35,42.98,31.46,61200
2008-07-02,42.75,43.17,42.3,42.49,31.1,101200
2008-07-03,42.11,42.15,41.4,41.9,30.67,56700
2008-07-07,41.39,41.39,40.59,40.76,29.84,111400
2008-07-08,40.5,41.59,40.5,41.3,30.23,20500
2008-07-09,40.96,40.96,39.8,39.8,29.13,17800
2008-07-10,40.29,40.99,40.17,40.93,29.96,40700
2008-07-11,40.74,40.97,40.11,40.34,29.53,24300
2008-07-14,40.34,40.42,39.45,39.45,28.88,19400
2008-07-15,38.66,39.6,38.5,39.12,28.64,50600
2008-07-16,37.97,39.0,37.58,38.99,28.54,15900
2008-07-17,38.61,39.22,38.5,39.12,28.64,47700
2008-07-18,37.92,38.55,37.82,37.82,27.68,24700
2008-07-21,39.0,39.5,38.87,38.98,28.53,24300
2008-07-22,39.32,39.66,38.82,39.5,28.91,17200
2008-07-23,39.91,40.09,39.43,39.89,29.2,27900
2008-07-24,39.38,39.62,38.85,39.02,28.56,38100
2008-07-25,39.2,39.2,38.51,38.82,28.42,16800
2008-07-28,39.14,44.82,38.42,38.72,28.34,6400
2008-07-29,38.35,39.07,38.35,39.07,28.6,58300
2008-07-30,38.08,38.76,37.93,38.73,28.35,13900
2008-07-31,38.07,38.36,37.63,37.63,27.54,27700
2008-08-01,38.77,42.4,38.25,38.33,28.06,33900
2008-08-04,38.8,38.8,37.96,38.34,28.06,27200
2008-08-05,37.88,38.98,37.88,38.98,28.53,19200
2008-08-06,38.65,39.18,38.52,39.18,28.68,7000
2008-08-07,40.66,40.66,39.24,40.22,29.44,128700
2008-08-08,39.69,40.36,39.08,40.33,29.52,12100
2008-08-11,40.47,41.22,40.47,40.86,29.91,72000
2008-08-12,40.52,40.75,37.49,40.05,29.32,13200
2008-08-13,40.2,40.57,39.82,40.15,29.39,13300
2008-08-14,40.24,40.74,40.24,40.46,29.62,2600
2008-08-15,40.44,40.59,40.01,40.22,29.44,4200
2008-08-18,39.96,39.96,39.03,39.03,28.57,3400
2008-08-19,38.92,38.92,38.33,38.33,28.06,3200
2008-08-20,38.43,38.69,38.43,38.6,28.25,8300
2008-08-21,38.26,38.34,37.91,38.32,28.05,14000
2008-08-22,39.01,39.21,38.58,38.91,28.48,22900
2008-08-25,38.55,38.55,37.74,37.74,27.63,9500
2008-08-26,37.32,37.61,37.24,37.54,27.48,4300
2008-08-27,38.14,38.84,37.85,38.84,28.43,14100
2008-08-28,38.91,39.5,38.91,39.26,28.74,21400
2008-08-29,38.92,38.92,38.09,38.09,27.88,11500
2008-09-02,37.22,38.1,36.3,36.36,26.62,57700
2008-09-03,36.11,36.46,36.0,36.18,26.48,41900
2008-09-04,36.78,36.84,35.92,36.31,26.58,16000
2008-09-05,35.9,36.48,35.58,36.48,26.7,8400
2008-09-08,38.42,38.42,37.0,37.21,27.24,6100
2008-09-09,36.8,37.16,36.25,36.25,26.53,3700
2008-09-10,36.56,36.97,36.15,36.34,26.6,16200
2008-09-11,35.89,36.2,35.71,36.11,26.43,17100
2008-09-12,36.01,36.64,36.01,36.59,26.78,6700
2008-09-15,35.5,36.35,35.5,35.5,25.99,7300
2008-09-16,34.25,35.88,34.25,35.81,26.21,28400
2008-09-17,33.77,33.83,32.46,32.85,24.05,38200
2008-09-18,33.64,34.98,33.13,34.98,25.61,17400
2008-09-19,36.73,37.04,35.66,36.63,26.81,15700
2008-09-22,35.7,35.7,34.59,34.66,25.37,32000
2008-09-23,35.3,35.3,34.28,34.32,25.12,35000
2008-09-24,35.12,35.12,34.84,35.08,25.68,8100
2008-09-25,35.61,36.36,35.55,36.04,26.38,109600
2008-09-26,35.35,35.68,35.35,35.55,26.02,1600
2008-09-29,34.19,34.42,32.34,32.65,23.9,5500
2008-09-30,34.07,34.47,33.82,34.47,25.23,6800
2008-10-01,33.5,33.93,33.23,33.93,24.84,6800
2008-10-02,33.38,33.39,32.63,32.63,23.88,6300
2008-10-03,33.34,33.71,32.47,32.47,23.77,9100
2008-10-06,30.88,30.88,28.58,30.1,22.03,16700
2008-10-07,29.74,29.74,27.43,27.43,20.08,57100
2008-10-08,27.47,28.0,26.4,26.67,19.52,13700
2008-10-09,27.88,27.89,25.59,25.71,18.82,25200
2008-10-10,24.23,25.81,22.99,24.13,17.66,122400
2008-10-13,26.83,27.86,26.4,27.86,20.39,1800
2008-10-14,28.93,28.93,27.08,27.89,20.42,36300
2008-10-15,26.2,26.2,24.64,24.64,18.04,8500
2008-10-16,25.99,27.06,25.53,26.71,19.55,23400
2008-10-17,25.8,26.92,25.78,26.0,19.03,102800
2008-10-20,26.11,26.91,26.11,26.91,19.7,29700
2008-10-21,25.86,26.45,25.86,26.01,19.04,2700
2008-10-22,25.0,25.17,24.08,24.08,17.63,3800
2008-10-23,24.55,24.55,22.92,24.0,17.57,16100
2008-10-24,21.97,22.77,21.97,22.71,16.62,10700
2008-10-27,20.33,20.76,18.04,20.1,14.71,95400
2008-10-28,20.4,22.08,20.24,22.0,16.1,14200
2008-10-29,20.64,21.32,20.19,21.04,15.4,19200
2008-10-30,21.79,22.37,21.39,22.19,16.24,9400
2008-10-31,22.7,22.87,22.27,22.45,16.43,4400
2008-11-03,23.96,24.55,23.96,24.45,17.9,3200
2008-11-04,25.19,25.66,25.19,25.4,18.59,2500
2008-11-05,24.53,25.26,23.81,23.83,17.44,18800
2008-11-06,24.82,24.82,24.15,24.15,17.68,2800
2008-11-07,25.55,25.55,25.25,25.25,18.48,16100
2008-11-10,24.98,24.98,23.71,23.71,17.36,8700
2008-11-11,23.27,24.48,23.14,23.97,17.55,29700
2008-11-12,23.61,23.61,22.8,22.8,16.69,13500
2008-11-13,22.97,24.24,22.24,24.24,17.74,36300
2008-11-14,23.14,23.55,22.41,23.55,17.24,21900
2008-11-17,22.92,24.14,22.7,23.64,17.3,71200
2008-11-18,22.94,22.96,22.18,22.61,16.55,30000
2008-11-19,21.75,21.75,21.0,21.01,15.38,7700
2008-11-20,20.37,20.44,19.74,19.74,14.45,1200
2008-11-21,20.91,21.23,19.79,21.23,15.54,7100
2008-11-24,20.15,21.17,20.15,21.0,15.37,2900
2008-11-25,21.0,21.32,20.75,21.16,15.49,16800
2008-11-26,21.2,21.68,20.99,21.03,15.39,13500
2008-11-28,21.38,21.38,21.16,21.32,15.61,5700
2008-12-01,20.55,21.0,19.19,19.19,14.05,11500
2008-12-02,20.26,20.9,20.1,20.9,15.3,600
2008-12-03,20.67,20.8,20.43,20.8,15.23,2600
2008-12-04,20.65,20.85,20.5,20.5,15.01,8400
2008-12-05,20.16,20.66,20.16,20.66,15.12,5200
2008-12-08,21.79,22.56,21.77,22.34,16.35,18100
2008-12-09,22.53,22.77,21.85,22.43,16.42,13200
2008-12-10,22.68,22.87,22.27,22.77,16.67,7200
2008-12-11,23.1,23.1,22.67,22.67,16.59,4400
2008-12-12,23.07,23.66,23.07,23.38,17.11,25800
2008-12-15,24.08,24.08,23.2,23.41,17.14,13700
2008-12-16,24.2,25.35,24.2,25.32,18.53,27500
2008-12-17,24.77,25.11,24.49,25.1,18.37,13300
2008-12-18,25.35,25.37,24.83,24.83,18.18,6900
2008-12-19,24.79,25.03,24.54,24.66,18.05,2500
2008-12-22,24.23,24.23,23.67,23.93,17.52,11000
2008-12-23,23.13,23.49,22.79,22.81,17.32,7500
2008-12-24,23.04,23.1,22.99,23.09,17.53,1700
2008-12-26,23.74,23.74,23.45,23.45,17.81,200
2008-12-29,23.47,23.6,22.88,23.41,17.78,9800
2008-12-30,23.51,24.02,23.4,23.71,18.0,11200
2008-12-31,24.2,24.4,23.79,23.79,18.06,7900
2009-01-02,23.79,24.76,23.79,24.76,18.8,7000
2009-01-05,25.02,25.19,24.61,25.15,19.1,54800
2009-01-06,24.9,25.03,24.9,24.97,18.96,4100
2009-01-07,24.44,24.47,24.16,24.35,18.49,25900
2009-01-08,24.49,24.61,24.3,24.3,18.45,5500
2009-01-09,24.49,24.49,23.85,23.91,18.16,900
2009-01-12,23.93,23.93,23.12,23.29,17.68,7200
2009-01-13,22.5,22.85,22.23,22.6,17.16,12600
2009-01-14,22.79,22.79,22.11,22.49,17.08,6800
2009-01-15,21.96,22.43,21.61,22.03,16.73,2900
2009-01-16,22.6,22.71,22.34,22.71,17.24,2500
2009-01-20,22.34,23.3,21.82,21.88,16.61,87700
2009-01-21,22.44,23.02,22.0,22.85,17.35,165400
2009-01-22,22.65,22.75,22.41,22.75,17.27,5300
2009-01-23,22.8,23.15,22.27,23.13,17.56,67200
2009-01-26,23.13,23.5,22.76,22.96,17.43,15300
2009-01-27,23.27,23.8,23.27,23.34,17.72,66200
2009-01-28,23.87,24.31,23.87,24.31,18.46,61400
2009-01-29,23.02,23.04,22.4,22.4,17.01,14200
2009-01-30,22.65,22.68,22.21,22.4,17.01,25800
2009-02-02,22.03,22.63,22.03,22.27,16.91,14600
2009-02-03,22.19,22.76,22.19,22.65,17.2,2400
2009-02-04,22.72,22.85,22.43,22.43,17.03,7600
2009-02-05,22.57,22.96,22.25,22.9,17.39,6000
2009-02-06,23.46,23.92,23.34,23.75,18.03,5500
2009-02-09,23.59,23.74,23.35,23.63,17.94,6800
2009-02-10,23.52,23.52,22.5,22.5,17.08,6600
2009-02-11,23.01,23.28,22.8,23.01,17.47,21100
2009-02-12,22.46,22.67,22.22,22.61,17.17,21400
2009-02-13,23.24,23.3,22.77,23.19,17.61,5000
2009-02-17,22.65,22.65,22.32,22.43,17.03,1700
2009-02-18,22.53,22.54,22.28,22.28,16.92,12800
2009-02-19,22.6,23.8,22.34,22.38,16.99,21300
2009-02-20,21.84,22.43,21.48,21.75,16.52,24400
2009-02-23,21.76,21.76,21.06,21.06,15.99,15200
2009-02-24,21.65,22.76,21.65,22.36,16.98,49400
2009-02-25,22.35,22.43,21.83,22.33,16.96,9100
2009-02-26,22.18,22.38,21.75,21.91,16.64,87700
2009-02-27,21.65,21.89,21.32,21.66,16.45,9400
2009-03-02,20.7,21.07,20.2,20.2,15.34,9000
2009-03-03,20.16,20.53,20.0,20.15,15.3,15800
2009-03-04,20.69,21.55,20.69,21.53,16.35,19200
2009-03-05,19.36,21.12,19.36,20.42,15.51,263200
2009-03-06,21.33,21.33,20.68,21.2,16.1,2100
2009-03-09,20.64,20.98,20.41,20.41,15.5,11800
2009-03-10,21.36,22.19,21.02,22.13,16.8,59300
2009-03-11,21.63,21.63,21.2,21.49,16.32,12600
2009-03-12,21.27,21.87,20.99,21.7,16.48,17700
2009-03-13,21.85,22.02,21.51,21.84,16.58,20700
2009-03-16,22.04,22.49,21.52,21.52,16.34,55200
2009-03-17,21.81,22.3,21.73,22.3,16.93,12700
2009-03-18,21.79,22.48,21.76,22.48,17.07,17900
2009-03-19,22.29,22.35,22.08,22.14,16.81,12900
2009-03-20,22.8,23.02,22.3,22.69,17.23,27400
2009-03-23,23.3,24.02,22.9,24.02,18.24,13600
2009-03-24,23.5,23.5,22.56,22.56,17.13,9900
2009-03-25,23.04,23.05,22.47,22.57,17.14,63700
2009-03-26,23.19,23.4,22.84,23.1,17.54,16200
2009-03-27,22.96,23.09,22.48,22.91,17.4,36400
2009-03-30,22.41,22.41,21.66,22.04,16.74,7800
2009-03-31,22.48,22.66,22.25,22.25,16.89,13500
2009-04-01,22.32,22.65,22.25,22.45,17.05,8900
