Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,25.47,25.47,25.43,25.43,20.39,597100
2014-05-02,25.4,25.4,25.4,25.4,20.37,600
2014-05-05,25.96,26.07,25.96,26.07,20.9,1700
2014-05-06,25.97,26.07,25.88,25.88,20.76,1700
2014-05-07,25.85,25.94,25.83,25.87,20.75,5300
2014-05-08,25.96,25.96,25.9,25.9,20.77,1500
2014-05-09,25.78,25.82,25.78,25.81,20.7,2200
2014-05-12,25.48,25.55,25.48,25.51,20.46,2000
2014-05-13,25.97,25.99,25.93,25.95,20.81,1800
2014-05-14,26.24,26.35,26.0,26.0,20.85,1300
2014-05-15,25.65,25.71,25.64,25.71,20.62,2800
2014-05-16,25.55,25.59,25.54,25.59,20.52,1100
2014-05-19,24.4,24.42,24.24,24.3,19.49,8800
2014-05-20,23.69,23.69,23.22,23.41,18.78,9000
2014-05-21,24.01,24.29,24.01,24.12,19.34,11600
2014-05-22,24.48,24.48,24.3,24.31,19.5,3600
2014-05-23,24.24,24.38,24.23,24.33,19.51,5200
2014-05-27,25.5,25.51,25.06,25.31,20.3,17500
2014-05-28,24.65,24.8,24.34,24.61,19.74,16000
2014-05-29,25.99,26.08,25.56,25.56,20.5,823300
2014-05-30,25.82,26.1,25.7,25.79,20.68,755500
2014-06-02,26.78,26.78,26.25,26.25,21.05,12100
2014-06-03,26.05,26.05,25.86,26.04,20.91,59100
2014-06-04,25.78,25.78,25.5,25.62,20.58,141800
2014-06-05,26.06,26.06,25.78,25.95,20.84,77000
2014-06-06,26.08,26.34,25.83,26.34,21.16,98300
2014-06-09,24.94,24.94,24.55,24.9,20.0,139500
2014-06-10,24.46,24.47,24.25,24.32,19.53,63600
2014-06-11,24.33,24.34,24.1,24.1,19.36,9300
2014-06-12,24.47,24.78,24.41,24.46,19.65,11400
2014-06-13,24.99,24.99,24.45,24.87,19.98,13700
2014-06-16,23.41,23.41,22.85,23.06,18.52,137900
2014-06-17,22.6,22.88,22.58,22.74,18.27,85400
2014-06-18,22.55,23.21,22.55,23.18,18.62,64000
2014-06-19,23.32,23.54,23.21,23.21,18.64,69700
2014-06-20,23.1,23.37,23.1,23.13,18.58,7600
2014-06-23,22.66,22.66,22.04,22.2,17.83,50300
2014-06-24,21.35,21.49,20.93,21.23,17.06,139300
2014-06-25,22.22,22.22,21.86,21.87,17.57,47800
2014-06-26,22.23,22.23,21.84,21.88,17.57,22700
2014-06-27,22.09,22.09,21.85,21.89,17.58,14700
2014-06-30,21.21,21.29,20.79,20.85,16.75,133700
2014-07-01,21.51,21.51,20.94,21.0,16.87,115400
2014-07-02,21.77,22.5,21.77,22.43,18.02,77900
2014-07-03,22.48,22.5,22.3,22.43,18.02,202400
2014-07-07,22.75,23.17,22.75,22.84,18.35,103300
2014-07-08,22.87,22.89,22.56,22.56,18.12,39300
2014-07-09,22.91,22.92,22.85,22.89,18.39,8200
2014-07-10,22.63,23.12,22.63,22.88,18.38,33800
2014-07-11,22.98,23.14,22.98,23.14,18.59,1300
2014-07-14,23.42,23.42,23.08,23.21,18.64,15700
2014-07-15,23.5,23.7,23.49,23.62,18.97,38800
2014-07-16,24.06,24.06,23.8,23.95,19.24,21500
2014-07-17,24.16,24.22,23.9,23.92,19.21,36100
2014-07-18,24.19,24.19,23.81,24.17,19.41,7700
2014-07-21,23.59,23.59,23.28,23.49,18.87,88900
2014-07-22,23.25,23.4,23.25,23.26,18.68,600
2014-07-23,23.19,23.25,23.1,23.11,18.56,15800
