Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.5,102.5,101.14,101.32,83.14,26500
2010-09-10,101.68,101.86,101.3,101.78,83.52,8600
2010-09-13,102.96,103.14,102.5,103.06,84.57,33700
2010-09-14,102.84,103.48,102.38,103.04,84.56,59400
2010-09-15,102.62,103.38,102.4,103.3,84.77,9200
2010-09-16,103.02,103.32,102.7,103.26,84.74,59500
2010-09-17,103.88,103.88,103.02,103.36,84.82,49300
2010-09-20,103.74,105.04,103.46,105.04,86.2,19000
2010-09-21,105.02,105.44,104.28,104.72,85.93,19200
2010-09-22,104.56,105.04,103.96,104.16,85.47,18100
2010-09-23,103.32,104.34,103.12,103.3,84.77,33300
2010-09-24,103.94,104.9,103.86,104.84,86.5,24100
2010-09-27,104.98,104.98,104.34,104.34,86.09,15000
2010-09-28,104.32,105.02,103.42,105.02,86.65,49800
2010-09-29,104.58,104.92,104.22,104.52,86.24,15900
2010-09-30,105.2,105.68,103.96,104.36,86.1,44700
2010-10-01,105.08,105.16,104.16,104.72,86.4,17100
2010-10-04,105.26,105.26,103.5,103.84,85.67,88700
2010-10-05,105.02,106.2,104.82,106.12,87.56,19800
2010-10-06,106.12,106.28,105.62,105.94,87.41,276900
2010-10-07,106.5,106.5,105.32,105.88,87.36,49900
2010-10-08,106.02,106.74,105.66,106.68,88.02,61500
2010-10-11,106.72,106.84,106.28,106.5,87.87,14200
2010-10-12,106.38,107.24,105.74,107.12,88.38,42000
2010-10-13,107.58,108.28,107.24,107.76,88.91,74400
2010-10-14,107.7,107.82,106.8,107.36,88.58,19100
2010-10-15,108.04,108.08,106.72,107.56,88.74,54900
2010-10-18,107.62,108.44,107.44,108.34,89.39,22800
2010-10-19,107.14,107.68,106.02,106.62,87.97,38500
2010-10-20,106.94,108.16,106.94,107.76,88.91,22800
2010-10-21,108.26,108.76,107.3,107.92,89.04,29400
2010-10-22,108.16,108.2,107.94,108.18,89.26,24800
2010-10-25,109.02,109.28,108.46,108.5,89.52,29600
2010-10-26,107.92,108.56,107.88,108.48,89.5,15000
2010-10-27,107.74,108.22,107.22,108.14,89.22,17100
2010-10-28,108.76,108.82,107.76,108.22,89.29,19200
2010-10-29,108.1,108.42,108.0,108.3,89.35,13400
2010-11-01,108.92,109.42,107.76,108.36,89.4,51500
2010-11-02,109.22,109.42,108.86,109.2,90.1,26100
2010-11-03,109.42,109.66,108.32,109.66,90.48,31800
2010-11-04,110.9,111.8,110.74,111.72,92.18,49000
