Date,Open,High,Low,Close,Adj Close,Volume
2010-05-07,22.2,22.2,21.79,21.82,18.99,1600
2010-05-10,23.69,23.69,23.6,23.69,20.61,1000
2010-05-11,23.29,23.5,23.29,23.5,20.45,200
2010-05-12,23.5,23.5,23.5,23.5,20.45,0
2010-05-13,23.61,23.84,23.59,23.84,20.75,4800
2010-05-14,23.55,23.55,23.02,23.03,20.04,5500
2010-05-17,23.16,23.16,23.06,23.13,20.13,1400
2010-05-18,23.33,23.33,23.33,23.33,20.3,300
2010-05-19,22.48,22.5,22.13,22.35,19.45,3700
2010-05-20,21.45,21.45,21.09,21.1,18.36,7500
2010-05-21,21.11,21.46,21.11,21.25,18.49,2900
2010-05-24,20.9,20.9,20.89,20.89,18.18,900
2010-05-25,19.78,20.26,19.78,19.88,17.3,4700
2010-05-26,21.81,21.81,21.81,21.81,18.98,300
2010-05-27,22.24,22.24,22.24,22.24,19.35,300
2010-05-28,22.31,22.31,22.04,22.21,19.33,4600
2010-06-01,22.21,22.21,22.21,22.21,19.33,0
2010-06-02,22.48,22.48,22.48,22.48,19.56,1800
2010-06-03,22.97,22.97,22.78,22.83,19.87,14500
2010-06-04,22.41,22.41,21.96,22.03,19.17,5000
2010-06-07,22.4,22.4,22.13,22.24,19.35,2600
2010-06-08,22.44,22.8,22.43,22.64,19.7,6900
2010-06-09,22.86,22.86,22.86,22.86,19.89,200
2010-06-10,22.63,22.85,22.63,22.85,19.88,2200
2010-06-11,22.86,22.86,22.8,22.8,19.84,400
2010-06-14,23.22,23.22,23.09,23.09,20.09,37300
2010-06-15,23.26,23.44,23.24,23.44,20.4,17900
2010-06-16,23.5,23.68,23.49,23.66,20.59,4000
2010-06-17,23.95,23.98,23.7,23.8,20.71,48200
2010-06-18,24.47,24.49,24.33,24.48,21.3,2000
2010-06-21,24.78,24.8,24.47,24.47,21.29,9900
2010-06-22,24.65,24.67,24.18,24.18,21.04,10400
2010-06-23,24.39,24.39,24.11,24.18,21.11,9300
2010-06-24,24.34,24.95,23.93,24.04,20.99,117200
2010-06-25,24.46,24.75,24.44,24.75,21.61,1500
2010-06-28,24.71,24.71,24.45,24.62,21.49,5700
2010-06-29,23.92,23.92,23.45,23.45,20.47,2800
2010-06-30,24.16,24.2,24.16,24.2,21.13,300
2010-07-01,23.76,23.86,23.55,23.83,20.8,4900
2010-07-02,23.83,23.83,23.83,23.83,20.8,0
