Date,Open,High,Low,Close,Adj Close,Volume
2012-01-24,25.94,25.94,25.33,25.59,20.8,4800
2012-01-25,25.88,26.0,25.42,26.0,21.13,3000
2012-01-26,26.24,26.24,26.04,26.13,21.24,2500
2012-01-27,25.96,26.45,25.96,26.45,21.5,1500
2012-01-30,26.22,26.22,25.77,26.09,21.21,2200
2012-01-31,26.74,26.74,25.92,26.13,21.24,23300
2012-02-01,27.01,27.01,26.63,26.78,21.77,4700
2012-02-02,26.78,26.78,26.57,26.69,21.69,1000
2012-02-03,27.61,27.61,26.89,27.18,22.09,5400
2012-02-06,27.02,27.14,27.0,27.05,21.99,1800
2012-02-07,27.07,27.2,26.84,27.2,22.11,11700
2012-02-08,27.51,27.63,27.42,27.63,22.46,1200
2012-02-09,27.79,27.79,27.58,27.73,22.54,3100
2012-02-10,27.49,27.72,27.36,27.63,22.46,8700
2012-02-13,27.99,27.99,27.91,27.98,22.74,5500
2012-02-14,27.86,27.86,27.56,27.56,22.4,800
2012-02-15,27.56,27.56,27.56,27.56,22.4,0
2012-02-16,27.51,28.26,27.51,28.26,22.97,1100
2012-02-17,28.26,28.29,28.26,28.28,22.99,2700
2012-02-21,28.77,28.77,28.6,28.6,23.25,1000
2012-02-22,28.83,28.85,28.83,28.85,23.45,800
2012-02-23,28.82,28.82,28.78,28.8,23.41,14100
2012-02-24,29.43,29.46,29.43,29.45,23.94,7800
2012-02-27,29.32,29.5,29.25,29.38,23.88,51500
2012-02-28,29.55,29.77,29.45,29.76,24.19,38000
2012-02-29,29.76,29.99,29.49,29.62,24.07,14800
2012-03-01,29.56,29.63,29.43,29.63,24.08,37000
2012-03-02,29.57,29.57,29.29,29.37,23.87,8000
2012-03-05,29.36,29.36,28.96,29.02,23.59,9200
2012-03-06,27.87,27.87,27.59,27.59,22.42,5500
2012-03-07,28.17,28.17,28.17,28.17,22.9,500
2012-03-08,28.83,29.22,28.82,29.21,23.74,46000
2012-03-09,28.67,28.76,28.64,28.67,23.3,16900
2012-03-12,28.54,28.55,28.47,28.54,23.2,5300
2012-03-13,28.61,28.88,28.61,28.88,23.47,10300
2012-03-14,28.67,28.67,28.38,28.38,23.07,10400
2012-03-15,28.65,28.73,28.65,28.73,23.35,3000
2012-03-16,29.07,29.12,29.07,29.1,23.65,1500
2012-03-19,29.15,29.15,29.12,29.15,23.69,1500
2012-03-20,28.7,30.42,28.67,30.42,24.73,900
2012-03-21,27.76,28.48,27.76,28.35,23.04,2700
