Date,Open,High,Low,Close,Adj Close,Volume
2013-11-13,14.95,14.95,14.92,14.95,12.01,600
2013-11-14,14.95,14.95,14.95,14.95,12.01,0
2013-11-15,15.09,15.09,15.05,15.05,12.09,1400
2013-11-18,15.22,15.22,15.19,15.19,12.21,1000
2013-11-19,15.19,15.19,15.19,15.19,12.21,0
2013-11-20,15.16,15.16,14.95,14.95,12.01,800
2013-11-21,14.99,14.99,14.99,14.99,12.05,200
2013-11-22,14.99,14.99,14.99,14.99,12.05,0
2013-11-25,15.17,15.2,15.17,15.19,12.21,2500
2013-11-26,15.23,15.27,15.23,15.27,12.27,3600
2013-11-27,15.48,15.49,15.45,15.49,12.45,4800
2013-11-29,15.72,15.79,15.72,15.79,12.69,17200
2013-12-02,15.65,15.68,15.6,15.64,12.57,3900
2013-12-03,15.63,15.63,15.61,15.61,12.54,2800
2013-12-04,15.33,15.34,15.18,15.34,12.33,2100
2013-12-05,15.43,15.43,15.36,15.37,12.35,2500
2013-12-06,15.25,15.43,15.25,15.43,12.4,1300
2013-12-09,15.49,15.49,15.49,15.49,12.45,1700
2013-12-10,15.71,15.71,15.66,15.66,12.58,2100
2013-12-11,15.64,15.64,15.59,15.59,12.53,3600
2013-12-12,15.54,15.54,15.4,15.41,12.38,3600
2013-12-13,15.34,15.39,15.34,15.39,12.37,1300
2013-12-16,15.49,15.49,15.46,15.46,12.42,1000
2013-12-17,15.46,15.46,15.42,15.42,12.39,3400
2013-12-18,15.43,15.43,15.42,15.42,12.39,500
2013-12-19,15.41,15.43,15.4,15.4,12.38,3100
2013-12-20,15.54,15.55,15.54,15.55,12.5,1900
2013-12-23,15.74,15.74,15.74,15.74,12.65,1700
2013-12-24,15.69,15.69,15.69,15.69,12.61,300
2013-12-26,15.78,15.8,15.76,15.8,12.7,2400
2013-12-27,15.85,15.88,15.83,15.83,12.72,3300
2013-12-30,15.87,15.88,15.87,15.88,12.76,900
2013-12-31,15.84,15.84,15.82,15.82,12.71,1100
2014-01-02,15.74,15.79,15.72,15.79,12.69,12800
2014-01-03,16.08,16.08,16.04,16.04,12.89,5000
2014-01-06,16.13,16.13,16.05,16.07,12.91,5400
2014-01-07,16.36,16.39,16.26,16.34,13.13,7100
2014-01-08,16.54,16.59,16.54,16.56,13.31,30900
2014-01-09,16.78,16.81,16.71,16.74,13.45,13100
2014-01-10,16.85,16.85,16.79,16.85,13.54,19400
2014-01-13,16.91,17.01,16.91,17.01,13.67,21800
2014-01-14,16.77,16.82,16.65,16.74,13.45,14100
2014-01-15,16.85,16.85,16.79,16.82,13.52,26800
2014-01-16,16.87,16.89,16.75,16.81,13.51,36600
2014-01-17,16.82,16.82,16.64,16.64,13.37,17100
2014-01-21,16.75,16.76,16.62,16.64,13.37,13800
2014-01-22,16.49,16.49,16.17,16.28,13.08,126500
2014-01-23,16.59,16.59,16.34,16.38,13.16,419600
2014-01-24,16.28,16.32,16.11,16.23,13.04,18300
2014-01-27,16.17,16.17,15.97,16.05,12.9,5400
2014-01-28,16.2,16.28,16.19,16.21,13.03,18600
2014-01-29,16.12,16.2,15.95,16.18,13.0,25800
2014-01-30,16.12,16.14,16.0,16.08,12.92,2800
2014-01-31,15.83,15.88,15.7,15.83,12.72,4700
2014-02-03,15.87,15.87,15.52,15.54,12.49,14100
2014-02-04,15.64,15.8,15.64,15.71,12.62,16500
2014-02-05,15.82,15.89,15.76,15.87,12.75,11300
2014-02-06,16.27,16.33,16.26,16.28,13.08,8600
2014-02-07,16.41,16.47,16.37,16.43,13.2,12700
2014-02-10,16.49,16.49,16.34,16.43,13.2,8000
2014-02-11,16.6,16.66,16.57,16.66,13.39,7600
